K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-142166.31451244967,0.4900929051862319,72.8873748239378,1.0470521138487554,0.5821310461240652,0.2905930948937007,"[253, 17]"
3,-141988.3453475765,0.28278191918395973,46.41970965492068,1.2372293932333656,0.21970798070260966,0.18982726957209695,"[219, 48, 3]"
4,-141924.2390766287,0.1270830994286164,41.94636043141024,1.7911578721048076,0.2845633681845142,0.1682232974619927,"[139, 114, 15, 2]"
5,-141652.342644779,0.14444169290028733,49.943276587530114,1.4089189440576722,0.29039317945288146,0.09191206109447148,"[177, 50, 29, 9, 5]"
6,-141685.37578777733,0.13048723867897621,30.03544081693763,1.7258370690030767,0.2461117991232502,0.09421065686158472,"[208, 36, 7, 7, 6, 6]"
7,-141492.03814570376,0.14746232540925644,48.60274863904185,1.4832007143039747,0.2908893330889912,0.07084800458845979,"[113, 61, 61, 20, 8, 5, 2]"
8,-141159.75188831665,0.07992561725982623,41.10475464482238,1.8630750950179154,0.3245513255987478,0.08099036760825876,"[113, 50, 41, 24, 16, 13, 11, 2]"
9,-140951.1763033824,0.10560850659314845,42.502259541553535,1.5249838934180038,0.29871263470216025,0.051400782985756045,"[78, 62, 58, 41, 9, 7, 7, 5, 3]"
10,-140924.33438776885,0.10038567866776196,42.0802610309983,1.5184584857591636,0.29397166876137343,0.05282289705782608,"[70, 68, 58, 34, 12, 9, 8, 7, 3, 1]"
11,-140527.3282676552,0.0850261174856741,43.198033147565674,1.6187463317579052,0.38475834172142087,0.08067798105090562,"[101, 45, 42, 24, 15, 13, 12, 8, 6, 3, 1]"
12,-140378.98641630306,0.09372102839364697,41.8301858508922,1.5280711819240966,0.3357351392975345,0.06851661818212168,"[88, 50, 41, 29, 17, 10, 9, 8, 7, 7, 3, 1]"
