K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-226666.31866107462,0.394470152653506,103.46584985877065,1.2125647421937658,0.7387273419772014,0.16782780212489348,"[230, 40]"
3,-226236.80140879558,0.19888213847212954,96.2677603677775,1.4952202900260207,0.5088491970487784,0.2067491187394229,"[128, 111, 31]"
4,-226010.9322230596,0.14062177231185946,65.70939891553672,1.7179425498993444,0.44304978380559723,0.1703472487252638,"[102, 96, 57, 15]"
5,-225940.41708707207,0.11613535086045114,56.79694294407699,1.6035664011365345,0.39856474278794735,0.06380779079622116,"[122, 59, 57, 27, 5]"
6,-225623.88326263678,0.13169072596380088,48.9963337115717,1.5870315840538642,0.4430855171177763,0.1676490986237517,"[103, 97, 41, 14, 11, 4]"
7,-225411.4801418602,0.1259923683133666,48.166614701557464,1.5020730225859686,0.5301219430042274,0.1512744076917547,"[97, 63, 41, 40, 15, 13, 1]"
8,-225227.9296359847,0.12206447691497715,43.90395138563748,1.5012789824655786,0.49072423783686714,0.14376038958372833,"[89, 62, 51, 38, 14, 10, 4, 2]"
9,-224641.24466423038,0.09007298139257716,39.179947249687956,1.8506455035036247,0.4525252423113696,0.11386402004616034,"[88, 63, 46, 18, 16, 14, 12, 9, 4]"
10,-224401.93797231608,0.07346415790189345,36.753214302027835,1.8256030457525108,0.4673464181113586,0.14348520258205216,"[98, 54, 33, 22, 21, 13, 13, 11, 3, 2]"
11,-224197.39646697382,0.07561109298485039,39.01778039762122,1.4217720302227148,0.44961880796525466,0.07958763891939623,"[76, 69, 41, 22, 18, 15, 12, 9, 5, 2, 1]"
12,-224006.45368425024,0.1071022074225549,40.58542301806303,1.610823667450651,0.4365392935007775,0.07048272365368216,"[53, 50, 47, 46, 28, 14, 10, 10, 4, 3, 3, 2]"
