stopcode,lsoa
BP4641,E01002037
BP4661,E01004761
BP1768,E01004094
C82,E01000550
33662,E01001051
35567,E01001064
BP3468,E01001225
35373,E01000400
6643,E01004377
35456,E01001714
BP1356,E01001110
BP5542,E01002814
BP5917,E01000084
BP5326,E01003375
BP5325,E01003375
PC05512,E01002902
PCO5458,E01004545
H0577,E01004189
TS0026,E01001733
BP6504,E01000422
BP5040,E01033737
BP6056,E01002770
BP4893,E01035718
BP4892,E01004733
DS27,E01003318
PCO5556,E01002624
PCO5534,E01000960
PCO5707,E01002968
33521,E01001261
RR60,E01034219
PCO5301,E01034209
PCO5755,E01001997
PCO5533,E01003102
PCO5812,E01000676
PCO6056,E01004750
RR61,E01001758
RR62,E01001758
PCO5436,E01000214
33980,E01000594
BP4404,E01032739
BP1098,E01003193
33873,E01033082
BP3560,E01000005
34400,E01004373
27611,E01004236
BP1803,E01003106
37155,E01001388
33479,E01004750
BP1230,E01002726
BP3599,E01002716
BP5373,E01002444
PCO5290,E01002704
BP037,E01001880
BP2622,E01000914
BP4367,E01000364
BP4366,E01000364
BP3820,E01000586
BP1829,E01035718
H0299,E01000270
BP3052,E01001437
BP4264,E01001769
BP6567,E01000442
R0801,E01000214
H0174,E01000655
C20,E01000544
OC556,E01034026
35506,E01000969
BP6572,E01000620
15148,E01004219
R0888,E01003820
BP2421,E01001240
BP757,E01002443
BP2324,E01000589
BP725,E01003611
BP1289,E01034602
H0616,E01003154
H0613,E01003154
H0612,E01003154
H0608,E01003120
BP072,E01003481
W40,E01034156
33888,E01000253
3350,E01002816
34079,E01033885
34051,E01003778
36890,E01033735
33287,E01000807
33636,E01001361
3355,E01004691
FC14,E01004235
FC105,E01002353
30625,E01035718
BP3569,E01002537
BP1536,E01001135
34378,E01004537
BP2762,E01000774
BP980,E01002129
29647,E01002401
29575,E01001898
29519,E01002704
BP2681,E01003827
H0581,E01004189
H0570,E01004129
BP1926,E01003853
26587,E01003310
23432,E01004727
37403,E01002902
37339,E01000556
34377,E01002557
33460,E01034153
3349,E01002865
35514,E01001465
25706,E01001723
13724,E01003958
34869,E01000510
32784,E01033737
40035,E01000335
H0611,E01003148
H0703,E01000270
1515,E01000313
BP1104,E01001758
BP258,E01035493
R0309,E01000550
H0083,E01000166
H0569,E01004123
H0582,E01004189
26434,E01002770
H0607,E01003120
23987,E01035718
BP970,E01033084
BP1598,E01001261
BP4206,E01003259
BP4261,E01002029
BP4635,E01003590
PCO5424,E01004765
BP4530,E01002990
BP4313,E01003102
BP4473,E01004750
BP2262,E01002593
29569,E01001079
BP1233,E01004244
36005,E01004110
R0718,E01004165
C11,E01003852
35738,E01002724
BP223,E01001336
34048,E01000308
37083,E01004553
37669,E01004750
BP3870,E01033868
8068,E01003543
34859,E01003061
BP2450,E01003074
34658,E01003099
34402,E01003085
BP4118,E01002987
BP990,E01002968
36592,E01002827
6849,E01002511
34019,E01004352
36801,E01002542
BP2007,E01002003
37649,E01001912
BP3883,E01001750
BP1284,E01033735
70342,E01001529
BP1895,E01001337
BP1596,E01001318
BP2429,E01035708
BP1065,E01000799
80004,E01000208
BP3493,E01033708
40059,E01000668
LG51,E01004582
BP1080,E01002015
35805,E01001207
BP1801,E01004761
BP977,E01004232
898,E01002859
29538,E01002732
BP3879,E01002801
35723,E01003905
26374,E01034612
70118,E01002226
8926,E01001877
36949,E01001750
37130,E01033735
BP3352,E01001247
36679,E01032572
BP2411,E01001078
BP1897,E01003515
40056,E01033737
36596,E01004675
T251,E01002604
42,E01001202
BP4671,E01004682
BP4314,E01003102
BP2304,E01001242
20680,E01002704
28600,E01000807
BP1560,E01001794
9570,E01003782
BP2414,E01003875
36574,E01004601
H0571,E01004123
BP1963,E01004048
H0615,E01003154
BP3201,E01003243
27859,E01002535
33295,E01001347
BP4402,E01004731
BP4405,E01032739
BP4409,E01035718
BP4459,E01004086
BP4462,E01004711
BP4470,E01004750
BP4472,E01004750
34699,E01004376
BP4523,E01035710
BP4312,E01003102
BP4499,E01002452
BP4500,E01002513
BP4525,E01004765
BP4329,E01001485
PCO5444,E01034473
BP4584,E01035718
BP4592,E01004761
BP4614,E01004691
BP4664,E01004736
BP4640,E01002037
3351,E01035718
29908,E01035718
25973,E01000257
BP392,E01000134
R0075,E01033791
35421,E01000515
BP632,E01000643
BP1652,E01002142
BP3546,E01032780
BP2428,E01035708
BP2732,E01000933
BP1844,E01002728
SL03,E01001063
BP4060,E01001065
BP4061,E01001065
BP3469,E01001225
33889,E01001261
BP180,E01001212
35724,E01001666
33105,E01001581
34040,E01001581
35848,E01001682
R0534,E01033735
35964,E01001665
BP1617,E01033712
BP891,E01033708
BP1618,E01001840
BP3691,E01033706
BP4196,E01034174
BP4263,E01001769
PCO5396,E01001898
BP4663,E01000221
BP4676,E01000221
BP640,E01001869
BP2752,E01001877
34062,E01002066
70363,E01002034
27736,E01002245
BP4158,E01034602
36640,E01034612
BP2302,E01034604
