dataset,w,covariance,K,silhouette,calinski_harabasz,davies_bouldin,overnight_separation,top_overnight_share,top_overnight_cluster_size,smallest,is_bic_best_K
bus_weekday,1.0,full,2,0.17960129711901254,160.1547574129071,3.4659298955189746,0.08382618576932198,0.3399388316058011,548,548,False
bus_weekday,1.0,full,3,0.08401027635534984,175.9643931700657,4.016630888313676,0.09273965326656053,0.366149774146309,195,195,False
bus_weekday,1.0,full,4,0.03420264346097518,180.6742021053077,3.094549129064377,0.08688235377145494,0.3790610354598973,118,118,False
bus_weekday,1.0,full,5,0.011069862575915254,151.46836676699658,3.890922039161333,0.07005099042366776,0.3460312954433914,433,34,True
bus_weekday,1.0,full,6,-0.004199849394708421,138.03430314298438,3.942505957531979,0.0780983575614266,0.3810078449434838,33,33,False
bus_weekday,1.0,full,7,-0.018700879135526715,117.50035141371696,4.343107068163777,0.0883816224985715,0.4219721214494047,72,44,False
bus_weekday,1.0,full,8,-0.030657724100694537,108.96894187956788,5.547301397135525,0.07429765694631371,0.37446812807018326,75,58,False
bus_weekday,1.0,full,9,-0.040547631589310046,107.40738609842404,4.278913775833437,0.0907958507428861,0.4395823291738126,63,63,False
bus_weekday,1.0,full,10,-0.04936502075197701,103.30782660369456,4.631631855478001,0.08048199211391198,0.4109021095916631,45,33,False
bus_weekday,1.0,full,11,-0.056417781201912716,106.49328862142337,4.623666205572102,0.09781244299463186,0.435204274649924,35,35,False
bus_weekday,1.0,full,12,-0.06213169972074789,96.9744085036426,4.829201357440866,0.08279480312469527,0.40304289902149404,45,39,False
bus_weekday,0.5,full,2,0.25023557727573564,100.9007408390358,3.7541801122546583,0.09690931153908514,0.36404284880888343,329,329,False
bus_weekday,0.5,full,3,0.08191035919728554,106.2316082621705,4.501972464680264,0.10003412737631465,0.3617791412687909,332,332,False
bus_weekday,0.5,full,4,0.051693281429195215,221.24371824134423,3.9466560983118746,0.08828526954813748,0.3694956249114652,251,251,False
bus_weekday,0.5,full,5,0.02631596774311771,165.75298182696852,4.204838486538121,0.08171206192872166,0.39613231975167207,208,81,False
bus_weekday,0.5,full,6,0.01651902194833341,136.4197002226236,5.1163855096290165,0.0829965406709044,0.378525026601937,187,48,False
bus_weekday,0.5,full,7,-0.006732409343149034,143.11719813246825,4.619262831180189,0.09760754073508295,0.44534647779178843,78,71,False
bus_weekday,0.5,full,8,-0.010871475111433458,116.05628559562165,4.523583568829608,0.08591739399902829,0.4013470927914707,46,42,True
bus_weekday,0.5,full,9,-0.027613072376155737,113.80813002819657,4.252941560345472,0.08166314696768416,0.4034604814180461,47,36,False
bus_weekday,0.5,full,10,-0.05203920382344397,113.92267225257463,4.003139082639359,0.08236427280792859,0.43133910343793175,99,32,False
bus_weekday,0.5,full,11,-0.06053961405406365,109.70947299482923,3.9331070700982136,0.08341194452797104,0.43414776763136226,110,29,False
bus_weekday,0.5,full,12,-0.05898080173030131,111.26527401730655,4.5467156256493775,0.08067969424658257,0.4265754596136282,109,22,False
bus_weekday,0.3,full,2,0.24489270042519223,89.11140786236265,4.068611272455637,0.09441198347459062,0.36012357725012145,348,348,False
bus_weekday,0.3,full,3,0.06331955359950767,115.69154729014572,4.90296401914576,0.09043107548134013,0.361318060601264,216,216,False
bus_weekday,0.3,full,4,0.05489164623459725,229.0607958336706,4.067691221591109,0.0883932906056094,0.3692226999141288,253,253,False
bus_weekday,0.3,full,5,0.03213044617557002,172.1170759136461,3.781818667978105,0.09008572341246006,0.3804147369250523,191,62,False
bus_weekday,0.3,full,6,-0.01550267322905453,145.84592382188671,3.6182085269887736,0.08957152212687686,0.3803586741234074,231,21,False
bus_weekday,0.3,full,7,-0.02580356322525339,123.91780678800365,5.430103802053076,0.09579586506320346,0.34359439363783395,306,13,True
bus_weekday,0.3,full,8,-0.048711036902929224,132.51138914575375,4.005763455164716,0.0964354319619851,0.38786291449844,172,10,False
bus_weekday,0.3,full,9,-0.04703733342163552,121.43589878472908,3.9178944564935003,0.08827584272474774,0.3735057545895245,183,20,False
bus_weekday,0.3,full,10,-0.060937294800633916,120.3506258430018,4.120708910622893,0.09724893758743525,0.3825133480457027,33,19,False
bus_weekday,0.3,full,11,-0.0529556463645426,112.50721840053644,3.709337138563643,0.1018590352051722,0.4103484679846294,98,25,False
bus_weekday,0.3,full,12,-0.06729967581072052,103.79269549166493,4.374957990097007,0.09382705256490728,0.4143488059316827,93,18,False
bus_weekday,0.0,full,2,0.14114733979550867,106.21634653223084,4.590826988317871,0.08154898484109226,0.33116986490404826,734,734,False
bus_weekday,0.0,full,3,0.05055458589935466,107.40954778428994,5.220653927667411,0.0857101686026386,0.35155569060923253,470,470,False
bus_weekday,0.0,full,4,0.036941199152621895,220.80451982357653,4.23924488975706,0.08077073800144985,0.3542674581513797,356,356,False
bus_weekday,0.0,full,5,0.00313345089961936,163.44272997463375,5.329778952761042,0.08329864939285199,0.37331087852427147,299,299,False
bus_weekday,0.0,full,6,-0.02328692904276553,160.5796203006138,6.024909861618994,0.07880811758226965,0.34839630275417144,315,199,True
bus_weekday,0.0,full,7,-0.03561252936940393,149.605725711574,5.051023572088909,0.08319340278002102,0.36581371614936214,167,167,False
bus_weekday,0.0,full,8,-0.062415214999624276,136.37771276502235,4.659009731260765,0.07477541328664208,0.3530743545680454,183,104,False
bus_weekday,0.0,full,9,-0.0639026439868405,136.2594409892334,4.556715661921164,0.0762363669922116,0.37362567375591943,192,45,False
bus_weekday,0.0,full,10,-0.06603086606388106,130.4455802890351,4.215069459741019,0.08034976786080995,0.41080124294659703,95,95,False
bus_weekday,0.0,full,11,-0.07759862531853046,120.22469079565957,4.4422747798584306,0.07984062411636719,0.40867445494947013,137,87,False
bus_weekday,0.0,full,12,-0.08626193266772028,111.86588060189197,4.318144793321027,0.08872029887134959,0.43432023145697496,43,43,False
