covariance,K,BIC
spherical,2,-427238.89419548266
spherical,3,-440173.97983734467
spherical,4,-449840.41891800426
spherical,5,-454725.6671733383
spherical,6,-458587.7503549758
spherical,7,-461993.0234607399
spherical,8,-464494.6615491551
spherical,9,-466348.8311891405
spherical,10,-468342.60272912204
spherical,11,-469793.09387290373
spherical,12,-470962.6658733739
diag,2,-571472.3254923763
diag,3,-587641.2603075571
diag,4,-594448.0724890351
diag,5,-598918.5344198741
diag,6,-603133.9513473539
diag,7,-605278.2069050595
diag,8,-606820.2044235081
diag,9,-607980.1226012546
diag,10,-608983.9655638464
diag,11,-610165.6167229422
diag,12,-610543.4070513186
tied,2,-576523.9519367625
tied,3,-577104.4248838155
tied,4,-579402.8748871569
tied,5,-580601.3272791153
tied,6,-581420.5087572347
tied,7,-582621.6527207487
tied,8,-583719.4923724957
tied,9,-584220.2837584406
tied,10,-584896.0791592894
tied,11,-584917.9648990404
tied,12,-585533.8453060852
full,2,-595169.9563233685
full,3,-607079.87327061
full,4,-610512.5435409029
full,5,-610763.2083690336
full,6,-611588.0180971739
full,7,-610265.5450378307
full,8,-609642.7942926936
full,9,-608167.7515586677
full,10,-606918.0897766644
full,11,-605175.9271413945
full,12,-603390.4445196543
