dataset,w,covariance,K,silhouette,calinski_harabasz,davies_bouldin,overnight_separation,top_overnight_share,top_overnight_cluster_size,smallest,is_bic_best_K
bus_weekend,1.0,full,2,0.22325729946130113,122.37087162742456,3.21892086183426,0.1304346165716918,0.3895272510052412,310,310,False
bus_weekend,1.0,full,3,0.1106794890973428,153.3287409719121,5.241693971196933,0.1137796476529679,0.3481090532158261,250,250,False
bus_weekend,1.0,full,4,0.03363798751813764,119.29960868856857,5.674087725611191,0.11061745412721327,0.38995088297167657,57,57,False
bus_weekend,1.0,full,5,0.017121384992188193,99.25638990175243,6.541055340869795,0.11489371094244519,0.40619715125501077,54,54,False
bus_weekend,1.0,full,6,-0.023188368025304426,92.93570568426894,5.697995901046632,0.09002326347634082,0.34005606455377596,427,27,True
bus_weekend,1.0,full,7,-0.0350271737319015,89.34610178518946,5.189802442072097,0.09166165684111104,0.37656800205861973,376,26,False
bus_weekend,1.0,full,8,-0.06775013303360854,86.57788806689136,5.682103576979749,0.09699465685969351,0.3777331595160178,270,25,False
bus_weekend,1.0,full,9,-0.06052875329990873,80.95736286015938,5.356080372917205,0.09959570918203338,0.3883537157462794,244,27,False
bus_weekend,1.0,full,10,-0.06893753423949472,75.23252721286144,5.287534045978402,0.10227566191277214,0.3991227113251468,159,25,False
bus_weekend,1.0,full,11,-0.0767571882049967,71.3893277868128,5.329165419955685,0.09706138485901217,0.4148293373347427,189,26,False
bus_weekend,1.0,full,12,-0.0771572532215736,65.97427145841691,5.070179365555697,0.11381669327072437,0.4534993255176762,27,20,False
bus_weekend,0.5,full,2,0.24066317512616767,118.57041576311342,3.378161562679258,0.12920071187226345,0.3875850067157193,317,317,False
bus_weekend,0.5,full,3,0.05288332858887365,131.38363607826173,6.138418867536029,0.09488697615837352,0.31042905164491275,749,749,False
bus_weekend,0.5,full,4,0.04537250913133377,103.94422839816825,4.963626910703669,0.12222739780763749,0.4192126272941817,54,54,False
bus_weekend,0.5,full,5,0.031600590898577634,92.06961192583715,5.7731932059461135,0.10411848853502798,0.36658185907390367,33,33,False
bus_weekend,0.5,full,6,-0.0354791788053285,92.17941634591918,5.195787266792032,0.1050840020306199,0.4013965899262764,35,35,False
bus_weekend,0.5,full,7,-0.030559577947730957,85.16158475900474,5.305408671096977,0.10195394927627151,0.3817500657722728,346,29,True
bus_weekend,0.5,full,8,-0.025770635155710802,78.13190011058276,5.604263926407067,0.09177802668569136,0.39353757345178786,305,24,False
bus_weekend,0.5,full,9,-0.06090835941879938,77.78927745115249,5.358672921906424,0.09586852066940527,0.39345158994216467,235,27,False
bus_weekend,0.5,full,10,-0.08023373457397877,69.32284039570294,4.976361624003967,0.09230113278708427,0.38426909219734207,230,27,False
bus_weekend,0.5,full,11,-0.0799031850109071,79.2829654852334,4.856538570401152,0.10057573719546754,0.396288374836001,171,19,False
bus_weekend,0.5,full,12,-0.07579830814833019,69.44333393229068,4.573702279432433,0.16171031453111318,0.7147583296428248,9,9,False
bus_weekend,0.3,full,2,0.09840438642818805,197.79487435070652,3.8422204452915274,0.10129543607244895,0.271185593676705,2414,1328,False
bus_weekend,0.3,full,3,0.050809601660945246,122.49259514028836,5.941990832288149,0.09515000078623012,0.31098839093855823,744,744,False
bus_weekend,0.3,full,4,-0.04373660023510024,106.09070968475096,5.278992565561949,0.0947940817718207,0.34125787238570565,341,341,False
bus_weekend,0.3,full,5,0.03940089605663932,85.84932096406679,5.180931120098586,0.11741564110827883,0.4257029058848851,98,98,False
bus_weekend,0.3,full,6,-0.02736424829865771,88.5301249111775,5.359127196662725,0.1009995183196915,0.39609469827657595,84,84,False
bus_weekend,0.3,full,7,-0.019576330338944906,73.63092146711013,5.308551556009137,0.10848308079918537,0.42066850635193326,79,33,False
bus_weekend,0.3,full,8,-0.03519263957671764,77.14158321901327,5.248767742033886,0.11670036942971716,0.460464286759046,69,43,True
bus_weekend,0.3,full,9,-0.044550022724926634,71.06297345848787,5.588589427412646,0.1066508505089176,0.39978813108075234,48,38,False
bus_weekend,0.3,full,10,-0.06865843612412027,68.63115609345923,5.268462087683623,0.1054649578181642,0.43183721392735896,52,33,False
bus_weekend,0.3,full,11,-0.07317477561842164,65.63498494386774,5.2329782249712915,0.10715236959509934,0.4597019076134919,111,31,False
bus_weekend,0.3,full,12,-0.07971037506074587,61.46525167013811,5.162112800866715,0.10044806009845599,0.3982967311938845,56,24,False
bus_weekend,0.0,diag,2,0.0916549071654857,196.02249127179292,3.809748803822868,0.10419897672452842,0.2713039374173182,2448,1294,False
bus_weekend,0.0,diag,3,0.06554924423417478,219.22148661716295,3.526010383234096,0.08523665417129864,0.27124320798426244,1427,1045,False
bus_weekend,0.0,diag,4,-0.008230373416646572,156.02148659302085,4.300875392485224,0.10710470302913896,0.3833583122047326,461,461,False
bus_weekend,0.0,diag,5,-0.03273106521199244,140.00116217833613,4.667503113193046,0.10163180462809512,0.367020041284145,306,306,False
bus_weekend,0.0,diag,6,-0.04210071828334608,113.92334192678467,5.5086806430016475,0.10555186413303014,0.3826424768180817,277,277,False
bus_weekend,0.0,diag,7,-0.05047838690239963,108.65297879519782,5.645452605733487,0.10216947105558091,0.37844532130505737,275,275,False
bus_weekend,0.0,diag,8,-0.06386889983104613,108.98164031030741,5.270083759394062,0.10990968596755891,0.44608067193514855,232,227,False
bus_weekend,0.0,diag,9,-0.08022786042061618,94.20803228755508,5.396684010541545,0.11207908870403041,0.460916281541963,173,173,False
bus_weekend,0.0,diag,10,-0.07629949554185012,92.49822584087757,4.827813037308237,0.11265793731962888,0.4717794395707062,156,156,False
bus_weekend,0.0,diag,11,-0.08895650980129718,78.45217002265721,5.566870552078273,0.10605181280326455,0.4497540066456811,177,177,False
bus_weekend,0.0,diag,12,-0.08685774608187137,83.87597609336544,5.437752429276249,0.10805309429074303,0.4435650487672793,211,90,True
