covariance,K,BIC
spherical,2,-425791.26097116014
spherical,3,-433704.9621149239
spherical,4,-438276.47737194056
spherical,5,-441574.8397906767
spherical,6,-444118.8899804627
spherical,7,-446511.7029372756
spherical,8,-448186.18328014616
spherical,9,-449486.5843286627
spherical,10,-450909.8145456908
spherical,11,-451791.78565835283
spherical,12,-452687.2609332986
diag,2,-475706.8426556796
diag,3,-484436.2904716765
diag,4,-496803.52217116044
diag,5,-502479.60829607997
diag,6,-507271.17406294256
diag,7,-509579.1297772862
diag,8,-511387.33404840744
diag,9,-512788.084759326
diag,10,-514031.547118451
diag,11,-515160.9221833439
diag,12,-516033.3134326241
tied,2,-479067.9882860377
tied,3,-478432.09491663607
tied,4,-498218.40272598824
tied,5,-498593.55125089095
tied,6,-500242.7197690067
tied,7,-501688.504394309
tied,8,-503793.7132134705
tied,9,-502632.9242529331
tied,10,-504414.9159261233
tied,11,-519354.6691187863
tied,12,-520943.58143861045
full,2,-522597.9739400147
full,3,-538857.7019630466
full,4,-552377.9479700674
full,5,-553408.8987254999
full,6,-554805.4330464755
full,7,-557496.7158909583
full,8,-556293.7787908725
full,9,-555304.171214339
full,10,-553624.6135216353
full,11,-552157.5595102024
full,12,-550671.3655224087
