covariance,K,BIC
spherical,2,-123759.46247831149
spherical,3,-127097.46600288646
spherical,4,-129152.78634350968
spherical,5,-130291.89987239482
spherical,6,-131058.12619177726
spherical,7,-131452.82115802867
spherical,8,-132035.93119659467
spherical,9,-132258.26747975984
spherical,10,-132706.71009064786
spherical,11,-132950.29530957053
spherical,12,-133131.75105204218
diag,2,-129090.01313723136
diag,3,-131561.42471075003
diag,4,-133106.0367851937
diag,5,-133882.0299562054
diag,6,-134161.1580174872
diag,7,-134037.797124084
diag,8,-134580.267343428
diag,9,-134224.18638284405
diag,10,-134157.32225119858
diag,11,-134027.7563536371
diag,12,-133792.41896706252
tied,2,-149166.60403188874
tied,3,-149050.8631267444
tied,4,-148844.53653330493
tied,5,-148669.03597552958
tied,6,-148608.87736197878
tied,7,-148486.99153781412
tied,8,-148224.5964822566
tied,9,-148044.4450845273
tied,10,-147793.32626687855
tied,11,-147622.37867490045
tied,12,-147590.5302360698
full,2,-142347.47892875888
full,3,-134542.1738373691
full,4,-125980.34197928307
full,5,-117330.08138202367
full,6,-108591.20596367904
full,7,-99690.50613278584
full,8,-90851.40546219604
full,9,-81912.33034187306
full,10,-72936.29699185913
full,11,-63940.784825611714
full,12,-55087.45195106995
