covariance,K,BIC
spherical,2,-202447.72026227144
spherical,3,-206183.9884220627
spherical,4,-208652.36570323605
spherical,5,-209949.67990605976
spherical,6,-211111.07508431934
spherical,7,-211759.76104114825
spherical,8,-212261.57002851376
spherical,9,-212630.71829494555
spherical,10,-213431.12271822023
spherical,11,-214180.12434222244
spherical,12,-214302.4514634712
diag,2,-220685.19327616206
diag,3,-225855.67336515523
diag,4,-227706.24385975988
diag,5,-228213.595094031
diag,6,-228478.10643995123
diag,7,-228370.39055767047
diag,8,-228101.98884996813
diag,9,-228017.39356908068
diag,10,-227614.97294965805
diag,11,-227218.94350223176
diag,12,-226874.90184563657
tied,2,-234637.1508830578
tied,3,-234244.72209051362
tied,4,-234182.18237046862
tied,5,-233890.57235513686
tied,6,-233579.42829410988
tied,7,-233395.0126397809
tied,8,-233055.43081784045
tied,9,-232832.53630418278
tied,10,-232441.45664485375
tied,11,-232050.32062410895
tied,12,-231797.23270979326
full,2,-215630.06563963892
full,3,-195018.38375859306
full,4,-173479.58456496955
full,5,-152161.05622925807
full,6,-130894.77235737609
full,7,-108584.88407836674
full,8,-87121.60099665276
full,9,-64981.30846562644
full,10,-43086.34882165774
full,11,-21084.405013027426
full,12,1043.9539893543697
