mode,metric,n,n_clusters,kruskal_H,kruskal_p,epsilon_squared,p_bh
bus,log_total_activity,4100,3,2125.6570678109147,0.0,0.5183444148916072,0.0
bus,direction_balance,4100,3,39.77127240880412,2.3108828381636235e-09,0.009219251259166249,2.3108828381636235e-09
bus,post_midnight_share,4100,3,1188.4679811762921,8.46168644651735e-259,0.28959433272548013,1.69233728930347e-258
bus,deep_night_share,4100,3,815.8666139963605,6.867770693152984e-178,0.19864940541771064,1.0301656039729474e-177
bus,post_midnight_persistence,4099,3,1214.6705130202267,1.7284205944219305e-264,0.2960621369678288,5.185261783265792e-264
bus,weekend_ratio,4100,3,169.43665274205705,1.6117524571833775e-37,0.04086811148207397,1.934102948620053e-37
rail,log_total_activity,270,5,108.89110874734934,1.2544775726867877e-22,0.3958155047069786,2.5089551453735755e-22
rail,direction_balance,270,5,176.5406934683001,4.1246083751393045e-37,0.6510969564841513,2.4747650250835827e-36
rail,midnight_share_common_window,270,5,81.90656303222113,6.870395811805793e-17,0.2939870303102684,1.030559371770869e-16
rail,night_tube_extension_share,270,5,33.01504231920045,1.1860399296598633e-06,0.10949072573283188,1.1860399296598633e-06
rail,common_window_persistence,270,5,70.2899506165769,1.971419687881902e-14,0.25015075704368644,2.3657036254582823e-14
rail,weekend_common_ratio,270,5,127.72916428206793,1.1911652406322027e-26,0.4669025067247846,3.573495721896608e-26
