covariance,K,BIC
spherical,2,-1700137.6856957935
spherical,3,-1736663.8918316565
spherical,4,-1762818.9996107728
spherical,5,-1782578.6266266294
spherical,6,-1792363.401990482
spherical,7,-1801225.8617183063
spherical,8,-1808131.5442113462
spherical,9,-1814164.878782143
spherical,10,-1817617.6842345386
spherical,11,-1821443.6657865422
spherical,12,-1824443.1310115152
diag,2,-1999168.704086512
diag,3,-2075302.840513231
diag,4,-2104589.1038839654
diag,5,-2126734.547303921
diag,6,-2141170.805038743
diag,7,-2148282.292127367
diag,8,-2159634.577735024
diag,9,-2161811.019394934
diag,10,-2167318.263505227
diag,11,-2173245.5453736605
diag,12,-2176993.834461188
tied,2,-2142354.429203513
tied,3,-2151783.2896017763
tied,4,-2153807.0228067474
tied,5,-2158358.161849029
tied,6,-2156936.792110932
tied,7,-2168522.1645038375
tied,8,-2162882.460247766
tied,9,-2166539.227256912
tied,10,-2166252.8269442758
tied,11,-2166891.5472387103
tied,12,-2171504.4435109873
full,2,-2221929.148801034
full,3,-2297631.868217264
full,4,-2295104.0049574287
full,5,-2291177.8576061777
full,6,-2274481.3179021147
full,7,-2260887.068235987
full,8,-2244406.0375447436
full,9,-2223234.5511955204
full,10,-2204633.204062949
full,11,-2187088.9054666697
full,12,-2166186.928422159
