K,BIC,silhouette,calinski_harabasz,davies_bouldin,ARI,ARI_sd,sizes
2,-2221929.148801034,0.12673713784415908,214.0097162250242,3.6721962242981356,0.5829450570333652,0.2822534931169327,"[2336, 1764]"
3,-2297631.868217264,0.1690742401881395,99.7773144718566,6.178418027166465,0.8206985513213623,0.044135690967518494,"[2763, 1001, 336]"
4,-2295104.0049574287,0.02770133744175152,100.13847257694908,6.3215244626505225,0.40913104244637594,0.025219007092426648,"[1798, 1435, 618, 249]"
5,-2291177.8576061777,0.02520303956717875,85.25067531627114,5.455811261737854,0.4833857566404645,0.05074548584683278,"[1741, 1242, 511, 490, 116]"
6,-2274481.3179021147,0.025117313496453426,72.07779135116954,5.1508589759658525,0.5142311694378966,0.0597856883195884,"[1731, 1205, 510, 487, 97, 70]"
7,-2260887.068235987,0.019687502608216587,72.5302930200433,6.347956545724446,0.5333102266941018,0.07780660275392356,"[1691, 1107, 503, 461, 133, 126, 79]"
8,-2244406.0375447436,0.0014863093999343557,63.14102852601823,6.194392194195988,0.4841191678669178,0.07952923279653598,"[1447, 1152, 579, 505, 143, 127, 87, 60]"
9,-2223234.5511955204,-0.013484897861201637,82.85345120710654,5.554306562717204,0.4843858609712076,0.04502850697820375,"[1358, 1066, 877, 224, 202, 161, 87, 64, 61]"
10,-2204633.204062949,-0.025816984172041185,63.063374881483675,5.826989875876382,0.4861894771656249,0.08880702879382123,"[1306, 1091, 643, 430, 267, 150, 103, 87, 21, 2]"
11,-2187088.9054666697,-0.025925812158726316,75.77553455990372,4.413467630546702,0.4561033836546784,0.07247948923764609,"[1165, 1051, 643, 564, 146, 128, 121, 102, 73, 55, 52]"
12,-2166186.928422159,-0.0056183542197261235,75.40098377442595,5.02753883001299,0.5319907072962903,0.07968013184246862,"[1481, 994, 408, 330, 328, 248, 99, 84, 60, 56, 11, 1]"
