covariance,K,BIC
spherical,2,-919435.6833751758
spherical,3,-930827.6552553996
spherical,4,-939354.2665638943
spherical,5,-943788.7533639963
spherical,6,-945609.979930021
spherical,7,-948200.3687876412
spherical,8,-950273.7525165987
spherical,9,-951448.1030284395
spherical,10,-953536.9325685363
spherical,11,-954099.3289912748
spherical,12,-954831.374698431
diag,2,-966684.4062989502
diag,3,-971849.7200803735
diag,4,-972699.3231431356
diag,5,-974893.2925598536
diag,6,-975013.527502057
diag,7,-974472.0506967701
diag,8,-972937.5214551565
diag,9,-971510.3788800118
diag,10,-969691.4609762803
diag,11,-967004.9593903628
diag,12,-964990.4992325804
tied,2,-732247.4440623269
tied,3,-730496.0536500334
tied,4,-729046.9682559352
tied,5,-727331.3641269888
tied,6,-725463.3434954176
tied,7,-723947.2917215931
tied,8,-722166.7561819329
tied,9,-720372.6995854964
tied,10,-718606.1264526243
tied,11,-716939.2515939852
tied,12,-715279.5113300967
full,2,-406271.54807204776
full,3,-76567.49051565945
full,4,256374.61032420653
full,5,588024.9068039951
full,6,919962.98811558
full,7,1252600.4137953075
full,8,1585147.4789833007
full,9,1918401.6150000591
full,10,2251215.391369785
full,11,2584520.291929379
full,12,2918433.8993637245
