unit,cluster,max_posterior,entropy
500,0,0.9999999999827196,4.4399185880409163e-10
501,7,1.0,2.456111743856697e-51
502,7,1.0,5.199918681599344e-27
503,5,1.0,8.502706148160276e-14
505,3,1.0,4.552460428979792e-36
506,4,1.0,5.719629869440408e-64
507,2,1.0,2.1148333687353502e-21
508,0,0.9998891904718346,0.001120023084388314
509,0,1.0,4.9378695214547234e-24
510,0,1.0,8.723960753174583e-33
511,7,1.0,6.136182454011805e-13
512,0,1.0,1.8137201017590097e-19
513,7,1.0,2.140999569806754e-110
514,3,1.0,3.376092949307749e-17
515,3,1.0,1.1472361729203443e-16
516,1,1.0,1.0798711215434517e-12
517,5,0.9978225454324955,0.015522004907085203
518,3,1.0,2.7466292896274003e-44
519,1,1.0,7.257884266454985e-19
520,6,1.0,3.8148911164256865e-35
521,7,1.0,2.7141959595055767e-48
522,0,1.0,4.4906367196928257e-23
524,2,0.9999999992342055,1.6838609328236345e-08
525,5,1.0,4.664523639802541e-15
526,0,1.0,5.034639250082111e-17
527,0,1.0,5.442099656584152e-35
528,6,0.99902673301751,0.007722255802985895
529,0,1.0,4.974396886080502e-16
530,1,0.9999999910776296,1.7429518832762759e-07
531,0,1.0,1.0588242125312324e-13
532,3,1.0,1.5642903539588857e-34
534,1,1.0,1.955483002778057e-22
535,5,1.0,1.3810164910764348e-66
536,7,1.0,1.677157609959273e-105
537,0,1.0,4.1384277952213215e-16
539,4,1.0,2.9824841932199096e-77
540,5,1.0,5.3731859158100214e-70
541,7,1.0,7.228086395172063e-125
542,2,1.0,1.3861472732108772e-81
543,4,1.0,2.038372448965819e-75
544,4,1.0,5.1162828201354536e-108
545,1,1.0,5.008597718446156e-13
546,4,1.0,1.3760198214050283e-51
547,6,1.0,6.307332725472866e-96
548,6,1.0,4.264226434807973e-70
549,0,1.0,2.145050146215953e-51
550,0,1.0,1.6192617331873443e-15
551,0,0.9999999997016857,6.842029410945827e-09
552,0,1.0,3.511504404979368e-37
553,2,1.0,1.5417960901309032e-185
554,4,1.0,8.235826496843429e-56
555,3,1.0,4.00112923955309e-40
556,3,1.0,1.7162816088431977e-45
557,4,0.9999999822075553,3.352912903572846e-07
558,0,0.9999999999993179,1.9823192423077932e-11
560,0,0.9991888204920322,0.006584032193829926
561,1,0.999999324421652,1.059287979018108e-05
562,1,0.9999999999997726,7.993566362897867e-12
563,1,0.9999999999995453,1.5699564872640412e-11
564,4,0.9999903666335,0.0001209047074537942
565,0,1.0,1.0916538172224973e-33
566,3,1.0,1.3965045238328013e-32
567,0,1.0,3.93192264906104e-34
568,0,0.9999987500390115,1.8239927176431598e-05
569,1,1.0,4.841710640851134e-32
570,1,0.9999999999984084,4.5736221259608494e-11
571,3,0.9999999999970441,8.243049584369036e-11
572,0,0.9999999994547579,1.2174454213301764e-08
574,5,1.0,1.3603952095837925e-16
575,7,1.0,1.1416091001254583e-35
576,3,0.9999999999997726,5.128156243673774e-12
577,7,1.0,8.939008941711467e-86
578,0,1.0,5.836181575537934e-29
579,1,1.0,1.1852408966593775e-18
580,6,1.0,6.169913861465306e-14
581,1,0.9999999954711711,9.155252148731541e-08
582,3,0.9999999999997726,9.521745437115736e-12
583,1,1.0,1.5448138620451358e-26
584,0,0.9997227124253276,0.0025483707859286085
585,1,1.0,1.6988293006298255e-12
586,7,1.0,1.121170529284186e-48
587,4,1.0,6.028715930252722e-74
588,7,1.0,4.0485144116028193e-73
589,3,1.0,1.1526957642516194e-22
590,2,1.0,6.591818667866079e-15
591,1,1.0,1.957070497636342e-12
592,3,1.0,8.059874378781626e-25
593,5,1.0,1.149377591204709e-44
594,5,0.9999999312965452,1.215084654911275e-06
595,1,0.9999893171275204,0.00013296825398847106
596,1,1.0,6.490784734399092e-41
597,3,1.0,2.905842938397858e-22
598,3,0.9999972437344027,3.804096504300075e-05
599,3,1.0,9.56029956982783e-21
601,1,0.9853540594892644,0.0763966694421413
602,0,1.0,4.6908081292249885e-27
603,5,1.0,6.30191644756613e-28
604,0,1.0,1.6606574620656355e-46
605,3,0.999999488188354,8.11507491778608e-06
606,0,0.9966082112659533,0.022678461245574877
607,2,1.0,7.043910224049632e-15
608,0,1.0,1.1618644262028808e-22
609,1,1.0,1.9550331382302608e-23
610,4,1.0,5.3907648196948574e-30
611,3,0.9999999995336566,1.0484712962580196e-08
612,3,0.9999931436385341,8.838076433116263e-05
613,6,1.0,2.476406151299422e-74
614,2,1.0,9.708757495371054e-16
615,4,1.0,1.5600768783184077e-16
616,6,1.0,7.824674685435051e-39
617,0,1.0,2.604669603831467e-40
618,7,1.0,7.056979049043299e-22
619,5,1.0,3.8791525827838925e-100
620,1,0.9999999999997726,9.40440238062874e-12
621,4,1.0,1.1519607804951282e-35
622,1,0.9999988992557666,1.6651047207213928e-05
623,1,0.9991153159063234,0.007103869475633504
624,3,1.0,8.197246337903525e-34
625,5,1.0,2.8100018812860427e-25
626,2,1.0,9.616534863217652e-66
627,0,0.9999999623616993,6.832197915894681e-07
628,1,1.0,4.365764652133674e-43
629,6,1.0,2.7706919690743697e-31
630,1,1.0,6.899460305034793e-30
631,2,1.0,2.8851277403502425e-144
632,0,0.999999999712827,6.607304672250718e-09
633,0,1.0,1.2260080171480191e-16
634,7,1.0,2.7048593343479157e-34
635,5,1.0,1.1664536402117358e-42
636,0,1.0,4.243039359713119e-30
637,1,0.9999999999974989,6.68001248580005e-11
638,0,0.9999911500915983,0.00011182238604171888
639,7,1.0,2.0135681750061637e-124
640,5,1.0,1.1822764022412332e-36
641,1,1.0,7.2583174343499e-24
642,1,1.0,1.1217488792278037e-19
643,4,0.9999999707590637,5.368554904151863e-07
645,7,1.0,1.292728733052816e-119
646,4,1.0,5.784362070853364e-43
647,0,1.0,8.617235735749693e-30
648,5,1.0,1.4729200761651618e-20
649,3,0.9999999884432782,2.227688048056327e-07
650,3,0.99999999997749,5.737097063889123e-10
653,1,1.0,3.833864686958646e-27
654,0,1.0,7.412280695433109e-18
655,0,1.0,8.488535527999062e-28
656,0,0.9991000426387839,0.007211100100511635
657,3,1.0,7.820490533808049e-26
659,3,0.9999999999995453,1.4565048164441178e-11
660,1,0.9999988991570865,1.6203783785633893e-05
661,0,1.0,6.3198533114035135e-21
662,3,0.9999999859403488,2.682591240749374e-07
663,5,1.0,8.255642098697028e-22
664,0,1.0,4.333677792450462e-32
665,5,0.9999997545749312,3.9808620963874515e-06
667,0,1.0,2.8110959299995528e-19
668,6,1.0,8.07704885440559e-25
669,2,1.0,2.4923208617851073e-36
670,1,1.0,4.244687638159748e-15
671,1,1.0,5.77635530189794e-31
672,0,1.0,1.4471245482845799e-15
673,3,0.9999998906480474,1.8621196284234152e-06
674,2,1.0,5.540137565632026e-134
675,4,0.9999998810205923,2.016023434835368e-06
676,3,0.9999999999968168,8.537817299436508e-11
677,3,0.9999999863605353,2.6065491131721434e-07
678,1,1.0,8.121313613388302e-13
679,3,1.0,4.245179874612151e-25
680,0,0.9999999974490947,5.302370113515949e-08
681,6,1.0,3.118335632851636e-19
682,1,1.0,1.0823007558677031e-22
683,3,1.0,3.1070193019405536e-28
684,0,0.9999999999547526,1.1224176505573096e-09
685,7,1.0,1.0071112774372346e-43
686,4,1.0,1.1610787194122147e-31
687,4,1.0,9.782115026583208e-13
688,4,1.0,6.186341340711464e-125
690,1,1.0,7.62271714439383e-15
691,4,0.9997153682448245,0.002615442579621973
692,0,0.9999999999843112,4.045313956770723e-10
693,0,0.999999999981128,4.866126964582696e-10
694,1,1.0,2.50693209311728e-25
695,7,1.0,1.3501910255694479e-73
696,1,1.0,1.7095506538665338e-20
697,7,1.0,3.864455638631919e-75
698,6,0.9999999999354259,1.5818203447060663e-09
700,5,1.0,9.994063936250281e-16
702,4,0.9999999999997726,6.710594617269039e-12
703,0,1.0,8.638982637809603e-45
704,0,1.0,1.300143326934648e-25
705,0,1.0,2.071663269373249e-24
706,0,0.9999999977681,4.6693569349117665e-08
707,3,1.0,5.04900391288371e-28
708,2,1.0,6.644326267890634e-25
709,4,0.9999403859195091,0.0006395620674763715
710,0,0.9983429857350368,0.012265068745758695
711,0,1.0,1.0724950101614428e-33
712,0,1.0,1.6671248534949034e-24
713,0,0.9999756957563423,0.00028253312425325326
714,0,1.0,8.859120310002637e-30
715,1,1.0,1.6007739127850985e-55
716,6,1.0,2.8711501584438516e-49
717,1,0.9567586920169849,0.17811519528823758
718,2,1.0,9.585114333021453e-56
719,3,1.0,4.129527382018314e-17
720,3,1.0,5.084808176553474e-43
721,3,1.0,1.1953346870762512e-21
723,1,1.0,6.206789118938139e-33
724,7,0.9999999999145075,2.0686331896319188e-09
725,4,1.0,2.12055349939159e-58
726,0,1.0,9.071810556185067e-38
727,0,1.0,7.212791628668343e-13
728,2,1.0,2.1268569901662952e-106
729,5,1.0,1.1847128986866999e-43
730,0,1.0,2.931017669324922e-27
731,5,1.0,3.468652909880218e-27
733,6,1.0,2.7181984151599717e-27
734,0,0.999994222548003,7.546373757975178e-05
735,0,1.0,1.200325499078862e-23
736,4,1.0,1.7049185224304258e-18
737,4,1.0,9.33388032136319e-40
738,3,1.0,1.6773658955100526e-29
739,3,1.0,1.2039200432453971e-31
740,1,1.0,4.3324077875979784e-30
741,5,1.0,1.3414716304126e-17
742,0,1.0,4.363158641459809e-15
743,0,1.0,1.3970127465516497e-29
745,7,1.0,3.69214335469829e-72
746,1,0.9999999999997726,3.721052529264349e-12
747,5,0.999998995096171,1.4883247462513895e-05
748,4,0.9999962196930996,5.0980096677426626e-05
751,3,1.0,9.458056417204594e-34
752,5,1.0,1.0024992105855675e-19
753,0,1.0,1.814534513871315e-49
754,1,1.0,1.001375935829353e-15
755,5,1.0,3.083423099309729e-59
756,0,1.0,1.4829987725167606e-36
757,3,1.0,1.9725170261541403e-14
758,0,1.0,6.156077549030673e-13
759,0,0.9999999999993179,1.7480779669871382e-11
760,1,0.9999999980404937,4.125008111367008e-08
761,2,1.0,1.345594303610952e-12
762,4,1.0,8.124639358581496e-16
763,1,1.0,2.6028815570979897e-36
764,7,0.9990822467853925,0.00733571434309631
765,0,1.0,4.419524028136248e-15
766,1,1.0,1.2031897015060315e-13
767,4,1.0,1.6599039930635027e-25
768,0,1.0,1.12687951594889e-23
769,0,1.0,4.2453489290985746e-37
770,6,1.0,2.8802670658370304e-23
771,0,1.0,5.3337178084876476e-24
773,5,0.9999992035380717,1.2022774083116107e-05
774,1,1.0,2.029453805945994e-19
775,5,1.0,9.570113678102628e-16
776,1,1.0,7.834195606324663e-43
777,0,0.9999911354363579,0.00011810266513050818
778,6,1.0,1.402955701552839e-34
779,6,1.0,3.0076991552187133e-69
780,2,1.0,5.533725131877675e-162
781,2,1.0,1.2829108254318768e-135
783,2,1.0,1.956645560309936e-254
784,7,1.0,6.66549874409763e-21
787,6,0.9989673956667214,0.008131918878019936
788,6,1.0,1.3714625042071129e-14
789,2,1.0,1.0572407867554382e-122
831,1,1.0,2.0391143050219864e-13
832,5,1.0,1.273987505590187e-16
852,7,1.0,8.037164980531961e-14
884,6,1.0,6.458185492310957e-26
