unit,raw_k5,ilr_k5,raw_k6,ilr_k6,Station,Fare Zone,lon,lat,best_matched_ilr_for_raw_k5,follows_k5_best_match
500,0,0,2,2,Acton Town,3,-0.2800217640856027,51.50264555083834,4,False
501,3,3,3,1,Barbican,1,-0.0987999629121527,51.520208600153815,3,True
502,3,3,3,1,Aldgate,1,-0.0758489668880275,51.51449244157986,3,True
503,2,3,0,1,Aldgate East,1,-0.07115364166807,51.51542691621208,0,False
505,4,1,2,4,Alperton,4,-0.299949349972513,51.540730963558445,1,True
506,4,1,1,5,Amersham,9,-0.6077052134228341,51.674145407023566,1,True
507,1,3,4,1,Angel,1,-0.1047264384023203,51.53148758749647,2,False
508,0,0,2,2,Archway,2/3,-0.1350520245238837,51.56453819250787,4,False
509,0,4,2,2,Arnos Grove,4,-0.1330451742909319,51.61645247794506,4,True
510,0,4,2,0,Arsenal,2,-0.1072853032769284,51.55861585603557,4,True
511,3,2,0,3,Baker Street,1,-0.1570581597729946,51.5230020037108,3,False
512,0,0,2,2,Balham LU,3,-0.1526912294756308,51.44362737290878,4,False
513,3,2,3,3,Bank and Monument,1,-0.088908087271181,51.513425435909184,3,False
514,0,1,2,4,Barking,4,0.080182080144555,51.539885097485445,4,False
515,4,4,1,0,Barkingside,4,0.0886252042343672,51.58570377518845,1,False
516,0,0,2,2,Barons Court,2,-0.2146840501234848,51.49029837209941,4,False
517,2,3,0,1,Bayswater,1,-0.1879225224209527,51.51232394663448,0,False
518,4,1,1,4,Becontree,5,0.1273417848283317,51.54034470776378,1,True
519,0,0,2,2,Belsize Park,2,-0.1646209868164118,51.55032570077621,4,False
520,2,0,5,2,Bethnal Green LU,2,-0.0546903019258305,51.527237667207054,0,True
521,3,3,3,1,Blackfriars LU,1,-0.103629638137254,51.51162476747557,3,True
522,0,0,2,2,Blackhorse Road,3,-0.041793873795219,51.586840594392974,4,False
524,3,2,4,3,Bond Street,1,-0.1496811425789451,51.51437958002913,3,False
525,2,3,0,1,Borough,1,-0.0933129512735988,51.5011913652754,0,False
526,0,4,2,2,Boston Manor,4,-0.3255952087308763,51.495219674970095,4,True
527,0,4,2,2,Bounds Green,3/4,-0.124341977871115,51.60706378685743,4,True
528,2,3,0,4,Bow Road,2,-0.0252032121690731,51.526902665586434,0,False
529,0,4,2,0,Brent Cross,3,-0.2137847584215133,51.57666898367216,4,True
530,0,3,2,4,Bromley-by-Bow,2/3,-0.0114614594625467,51.52476012571751,4,False
531,4,4,1,0,Buckhurst Hill,5,0.0468240751565627,51.625982897027,1,False
532,4,4,1,0,Burnt Oak,4,-0.263993694832954,51.602834176714175,1,False
