iteration,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
1,3,0,1,1.0,1.0,1.0
1,3,1,0,0.8586956521739131,0.8586956521739131,1.0
1,3,2,2,0.8,1.0,0.8
1,4,0,1,0.8783783783783784,1.0,0.8783783783783784
1,4,1,0,0.8771929824561403,0.9615384615384616,0.9090909090909091
1,4,2,3,0.925531914893617,0.9456521739130435,0.9775280898876404
1,4,3,2,0.8524590163934426,0.8524590163934426,1.0
1,5,0,0,0.0,0.0,0.0
1,5,1,2,0.835820895522388,0.8615384615384616,0.9655172413793104
1,5,2,1,0.7090909090909091,1.0,0.7090909090909091
1,5,3,3,0.5571428571428572,0.639344262295082,0.8125
1,5,4,4,0.5106382978723404,0.9056603773584906,0.5393258426966292
1,6,0,3,0.0,0.0,0.0
1,6,1,4,0.5555555555555556,0.5714285714285714,0.9523809523809523
1,6,2,2,0.6777777777777778,0.9838709677419355,0.6853932584269663
1,6,3,1,0.8421052631578947,0.9411764705882353,0.8888888888888888
1,6,4,0,0.5737704918032787,0.5737704918032787,1.0
1,6,5,5,0.9354838709677419,0.9666666666666667,0.9666666666666667
1,7,0,6,0.6931818181818182,0.9838709677419355,0.7011494252873564
1,7,1,5,0.6111111111111112,0.8461538461538461,0.6875
1,7,2,0,0.3541666666666667,0.5,0.5483870967741935
1,7,3,3,0.2,0.25806451612903225,0.47058823529411764
1,7,4,1,0.7843137254901961,0.7843137254901961,1.0
1,7,5,4,0.6666666666666666,0.7857142857142857,0.8148148148148148
1,7,6,2,0.7307692307692307,0.76,0.95
1,8,0,2,0.16981132075471697,0.21428571428571427,0.45
1,8,1,7,0.4375,0.5675675675675675,0.65625
1,8,2,3,0.75,0.75,1.0
1,8,3,0,0.5769230769230769,0.9090909090909091,0.6122448979591837
1,8,4,6,0.0,0.0,0.0
1,8,5,4,0.53125,0.8095238095238095,0.6071428571428571
1,8,6,5,0.5806451612903226,0.6923076923076923,0.782608695652174
1,8,7,1,0.6808510638297872,0.8205128205128205,0.8
2,3,0,2,0.7619047619047619,0.7619047619047619,1.0
2,3,1,1,0.6388888888888888,1.0,0.6388888888888888
2,3,2,0,0.0,0.0,0.0
2,4,0,1,0.7386363636363636,1.0,0.7386363636363636
2,4,1,2,0.8793103448275862,0.9807692307692307,0.8947368421052632
2,4,2,0,0.9247311827956989,0.9347826086956522,0.9885057471264368
2,4,3,3,0.6229508196721312,0.6229508196721312,1.0
2,5,0,3,0.0,0.0,0.0
2,5,1,1,0.46153846153846156,0.46153846153846156,1.0
2,5,2,4,0.7959183673469388,1.0,0.7959183673469388
2,5,3,2,0.6,0.639344262295082,0.9069767441860465
2,5,4,0,0.5416666666666666,0.9811320754716981,0.5473684210526316
2,6,0,0,0.16981132075471697,0.2903225806451613,0.2903225806451613
2,6,1,2,0.825,0.9428571428571428,0.868421052631579
