representation,K,cluster,n,log_total_activity_mean,log_entry_activity_mean,log_exit_activity_mean,zero_total_mean,zero_entry_mean,zero_exit_mean
raw,5,0,119,9.68203622784878,8.459240966812084,9.31498634042618,19.915966386554622,10.235294117647058,9.680672268907562
raw,5,1,15,10.99315814586269,10.490075993952559,10.019107465486648,10.6,5.4,5.2
raw,5,2,44,10.612544496395303,9.741034875987733,10.037223163950062,18.84090909090909,9.5,9.340909090909092
raw,5,3,38,10.60044499877371,10.152685640281016,9.530553117948179,29.342105263157894,14.552631578947368,14.789473684210526
raw,5,4,54,8.803615769275003,7.323130377074912,8.530261870378633,46.592592592592595,24.185185185185187,22.40740740740741
ilr,5,0,52,10.3586516682233,9.358460243057,9.87465551763334,1.6153846153846154,0.8653846153846154,0.75
ilr,5,1,65,8.835904857100454,7.431551964364809,8.53308534899915,50.86153846153846,26.107692307692307,24.753846153846155
ilr,5,2,39,11.170813441667459,10.690249407624343,10.14015056393823,1.794871794871795,1.0256410256410255,0.7692307692307693
ilr,5,3,61,9.974383171912297,9.143470438083376,9.333211190835229,55.98360655737705,27.9672131147541,28.016393442622952
ilr,5,4,53,9.530962310693726,8.103683212320728,9.2505391689222,2.150943396226415,1.6603773584905661,0.49056603773584906
