run,seed,K,ARI,minimum_matched_cluster_jaccard,BIC,converged,n_iter,convergence_warnings
1,10043,3,1.0,1.0,76238.15141469284,True,11,0
1,10043,4,1.0,1.0,67853.19921911579,True,11,0
1,10043,5,0.5103886321228533,0.0,62906.36369799455,True,11,0
1,10043,6,0.744117044856197,0.5405405405405406,58563.07181471234,True,8,0
1,10043,7,0.63722746936071,0.3953488372093023,59519.181973490966,True,11,0
1,10043,8,0.6242805919797851,0.0,59524.83248101226,True,26,0
2,10044,3,1.0,1.0,76238.15141468904,True,14,0
2,10044,4,1.0,1.0,67853.19921911579,True,11,0
2,10044,5,0.512499375874272,0.0,62974.340270831904,True,11,0
2,10044,6,0.7652279512631676,0.6081081081081081,58580.53274404963,True,24,0
2,10044,7,0.6927747919351702,0.0,58769.36101986737,True,14,0
2,10044,8,0.6473087619592682,0.0,57564.16238005202,True,31,0
3,10045,3,1.0,1.0,76238.15141468919,True,6,0
3,10045,4,1.0,1.0,67853.19921911579,True,11,0
3,10045,5,0.5187615428191854,0.0,63499.717233983574,True,11,0
3,10045,6,0.8759222306011022,0.8524590163934426,58995.404234711925,True,13,0
3,10045,7,0.8377252190230606,0.0,59564.73605839265,True,7,0
3,10045,8,0.7313216190960461,0.0,58874.558296076066,True,9,0
4,10046,3,1.0,1.0,76238.1514146891,True,15,0
4,10046,4,1.0,1.0,67853.19921911579,True,11,0
4,10046,5,1.0,1.0,63478.03011367316,True,8,0
4,10046,6,0.6751194348217334,0.6081081081081081,59207.44162641157,True,24,0
4,10046,7,0.5881376152482961,0.425,59040.19139597284,True,10,0
4,10046,8,0.9004510660969689,0.631578947368421,59294.397657741836,True,11,0
5,10047,3,1.0,1.0,76238.15141469284,True,11,0
5,10047,4,1.0,1.0,67853.19921911579,True,11,0
5,10047,5,0.5323023872143423,0.0,63227.02993357839,True,11,0
5,10047,6,0.7655109222837199,0.5540540540540541,58561.052758489954,True,15,0
5,10047,7,0.5283135553784102,0.26,59336.62696865516,True,9,0
5,10047,8,0.6929022831919615,0.0,59015.39109487129,True,13,0
6,10048,3,1.0,1.0,76238.15141468882,True,14,0
6,10048,4,1.0,1.0,67853.19921911579,True,11,0
