unit,cluster,max_posterior,entropy
500,1,1.0,3.6168320340690225e-115
501,0,1.0,-0.0
502,0,1.0,-0.0
503,0,1.0,-0.0
505,0,1.0,-0.0
506,0,1.0,-0.0
507,0,1.0,-0.0
508,1,1.0,1.9695231319698206e-86
509,1,1.0,7.366200543262277e-148
510,1,1.0,5.0917274254362236e-204
511,2,1.0,6.837501284306112e-75
512,1,1.0,1.7017860961547636e-32
513,2,1.0,-0.0
514,0,1.0,-0.0
515,1,1.0,6.528930835454871e-306
516,1,1.0,6.094169172290611e-96
517,0,1.0,-0.0
518,0,1.0,-0.0
519,1,1.0,7.513486952883432e-62
520,1,1.0,2.4320587977316686e-23
521,0,1.0,-0.0
522,1,1.0,2.1983504224169815e-115
524,2,1.0,-0.0
525,0,1.0,-0.0
526,1,1.0,1.372556493675258e-124
527,1,1.0,1.1155361687664967e-156
528,0,1.0,-0.0
529,1,1.0,3.60711239269808e-119
530,0,1.0,-0.0
531,1,1.0,3.203918075643188e-122
532,1,1.0,9.157206395573212e-95
534,1,1.0,3.837338508383935e-61
535,2,1.0,-0.0
536,0,1.0,-0.0
537,1,1.0,4.607689905143505e-127
539,0,1.0,-0.0
540,2,1.0,2.418816737186361e-243
541,2,1.0,4.584131196862547e-244
542,2,1.0,-0.0
543,0,1.0,-0.0
544,0,1.0,-0.0
545,0,1.0,-0.0
546,0,1.0,-0.0
547,2,1.0,1.0100275617555112e-16
548,1,1.0,4.613633584147209e-40
549,1,1.0,5.256265725809675e-106
550,1,1.0,-0.0
551,1,1.0,5.812253708637894e-119
552,1,1.0,4.5638909747818565e-152
553,2,1.0,-0.0
554,0,1.0,-0.0
555,0,1.0,-0.0
556,0,1.0,-0.0
557,0,1.0,-0.0
558,1,1.0,1.3407912620521294e-132
560,1,1.0,5.097908373003549e-107
561,0,1.0,-0.0
562,2,1.0,3.5238835955869114e-40
563,1,1.0,2.4475314747133927e-105
564,0,1.0,-0.0
565,1,1.0,5.707182070293085e-140
566,0,1.0,-0.0
567,0,1.0,-0.0
568,1,1.0,6.443659451861945e-144
569,0,1.0,-0.0
570,0,1.0,-0.0
571,0,1.0,-0.0
572,0,1.0,-0.0
574,2,1.0,-0.0
575,0,1.0,-0.0
576,1,1.0,-0.0
577,0,1.0,-0.0
578,1,1.0,1.2302754494055316e-142
579,1,1.0,1.777168365530265e-18
580,1,1.0,7.286972499569553e-28
581,0,1.0,-0.0
582,1,1.0,5.288327976755851e-124
583,2,1.0,8.64800154500642e-59
584,1,1.0,2.856462032174255e-100
585,0,1.0,-0.0
586,2,1.0,-0.0
587,0,1.0,-0.0
588,0,1.0,-0.0
589,0,1.0,-0.0
590,2,1.0,-0.0
591,0,1.0,-0.0
592,1,1.0,4.6792657633905245e-289
593,2,1.0,6.473110500069222e-116
594,2,1.0,4.414725420423066e-28
595,0,1.0,-0.0
596,0,1.0,-0.0
597,0,1.0,-0.0
598,0,1.0,-0.0
599,0,1.0,-0.0
601,1,1.0,2.4432527999163143e-128
602,1,1.0,8.1930694473976e-165
603,2,1.0,1.0991329703088937e-147
604,1,1.0,5.273015282473013e-108
605,0,1.0,-0.0
606,0,1.0,-0.0
607,2,1.0,-0.0
608,1,1.0,2.5418855172481385e-86
609,1,1.0,9.912014429888865e-57
610,0,1.0,-0.0
611,1,1.0,3.303487207299484e-74
612,1,1.0,4.6693018282013113e-107
613,1,1.0,1.1945602769484338e-38
614,2,1.0,1.8414086616975505e-304
615,0,1.0,-0.0
616,1,1.0,2.128515311420433e-49
617,0,1.0,-0.0
618,0,1.0,-0.0
619,0,1.0,4.366278006295594e-199
620,0,1.0,-0.0
621,0,1.0,-0.0
622,1,1.0,9.714150082219463e-86
623,0,1.0,-0.0
624,1,1.0,9.188608040683e-79
625,2,1.0,3.7727407998126624e-222
626,2,1.0,-0.0
627,0,1.0,-0.0
628,0,1.0,-0.0
