NLC,log_total_activity,log_entry_activity,log_exit_activity,zero_total,zero_entry,zero_exit
500,9.900117233629757,8.685195238875933,9.548169681752416,0,0,0
501,9.763135557775504,9.310251159721467,8.753264390205088,56,28,28
502,10.141453496672005,9.412903989725091,9.482574223863113,61,30,31
503,10.852123313706395,10.13449617417782,10.182908927189365,56,28,28
505,9.192189540525368,7.911088349281647,8.866972475062441,52,26,26
506,8.809403446988116,6.980931834846156,8.634443200655276,59,31,28
507,10.961974224387292,10.365292629723237,10.162091157044008,65,33,32
508,10.288211767296763,9.205840844673231,9.87457744270768,4,2,2
509,9.457935713504192,8.046381773432687,9.178636901574754,0,0,0
510,9.155991291768897,7.9336692804606885,8.807228040385208,0,0,0
511,11.224762557366093,10.840865993512818,10.081607157252865,0,0,0
512,10.721506547924276,9.709305416777896,10.26989890653264,2,1,1
513,11.726880749144003,11.423078958153457,10.387473570205685,0,0,0
514,11.142054672042764,9.836906133301952,10.825811564074309,44,20,24
515,8.463713010869435,6.5736088609331285,8.300199365252912,8,8,0
516,9.92181274125504,8.909688046484717,9.470203917659179,0,0,0
517,9.72410570444014,8.795422346342827,9.221556214501854,60,30,30
518,9.208222139683038,7.668068558294252,8.967108123762875,48,24,24
519,9.801259288913778,8.947902402725166,9.246260275619798,4,2,2
520,10.754195759477975,9.86913745492849,10.222029442274032,4,2,2
521,10.483855242406724,9.936358121461987,9.620233641815336,62,31,31
522,10.599518059563001,9.282885592232937,10.287527615187544,0,0,0
524,11.938459956186104,11.651326684740324,10.550543562225213,0,0,0
525,9.789849542098736,9.098094654829497,9.095420311732816,64,32,32
526,8.513167373941327,7.140855632743835,8.221049609391487,2,1,1
527,9.776311988676133,8.271726234795416,9.525215748475304,0,0,0
528,9.850368849858341,8.778075375574646,9.431560095122133,52,26,26
529,8.80076572358546,7.637078955018165,8.426534799798686,2,1,1
530,9.665823526766992,8.480244802034003,9.301251952545632,52,26,26
531,9.008912687693428,7.567142907535387,8.739219173688117,2,1,1
532,9.311020235982124,7.767129211242552,9.070910904043034,2,1,1
534,9.742160634868902,8.756141695769992,9.27535164859655,0,0,0
535,11.383498086293173,10.874333226627048,10.464739550406836,4,2,2
536,9.537952459671743,8.9873324719253,8.678703101727017,60,31,29
537,9.063333548960966,7.537671532664631,8.818249557276605,2,2,0
539,8.558235564660068,7.0785680423567845,8.300084555904245,52,26,26
540,10.05842397312035,9.36613256709828,9.364506001723033,4,2,2
541,10.082361950182387,9.79811808636089,8.685850435291972,5,3,2
542,11.327495635675918,10.93711273539091,10.19805610841559,2,1,1
543,8.195868496488867,6.328660882539708,8.028302918322645,54,30,24
544,6.8512541204946995,5.089512133587517,6.66409613062964,68,34,34
545,8.91853607170738,7.882914338955836,8.480229989597262,40,20,20
546,8.27982414811249,6.924620127595996,7.981901699540984,52,26,26
547,10.679622411837123,9.67539353716078,10.223436475627139,2,1,1
548,10.250548456635869,9.211741351383587,9.813838425757313,3,2,1
549,10.26705937533279,9.000971699904387,9.935916108118612,2,1,1
550,8.6933906284708,7.304585496747914,8.406767456251275,10,10,0
551,10.157324643184776,8.658108036709853,9.904667009202123,2,1,1
552,10.056408860692013,8.70097014438799,9.758284127995502,2,1,1
553,11.033412674694105,10.645815449107356,9.898127607338134,0,0,0
554,7.945667817577619,6.093044637690327,7.775506758696489,58,30,28
555,9.11294836331454,7.6926092972766495,8.836507083054112,48,24,24
556,9.727079957267032,8.276629099283728,9.459978107960845,48,24,24
557,8.659033858735034,7.288452578251655,8.366291346285688,39,20,19
558,9.405919700605802,8.125518229986303,9.080406346934435,1,1,0
560,11.136921863213686,9.963735094527218,10.766778217323973,0,0,0
561,8.894165063213391,7.742540006324823,8.514388977351713,38,18,20
562,11.169840544199053,10.226418547577294,10.676725000610137,1,1,0
563,9.530322120767467,8.410905631615538,9.135206835361673,0,0,0
564,8.933577322908604,7.451741606246475,8.675986845338812,48,24,24
565,9.98360424902099,8.590206870203696,9.698340068649104,2,1,1
566,10.702723387465795,9.40118128265703,10.385146400920517,50,26,24
567,10.095776407208414,8.837016238123494,9.761750631666187,54,28,26
568,9.611290966203123,8.179860492966624,9.33830060850764,2,2,0
569,10.001874184492268,9.356438695359737,9.2587196358738,44,22,22
570,11.07567723701096,10.241794569704268,10.505907989033686,63,32,31
571,9.078150406524527,7.3700673882021555,8.878358680256984,39,18,21
572,9.377596913713205,7.692620989438921,9.172582656061321,40,22,18
574,11.755687108834202,11.059860420391935,11.06522792275273,2,1,1
575,10.524487714161223,10.064225996684366,9.527280867310237,48,20,28
576,8.162988073904419,6.505524629176723,7.951851053796489,6,6,0
577,11.76385837381222,11.3465072604422,10.688625283115345,44,22,22
578,9.936581597262448,8.632685581820862,9.61991867656506,2,1,1
579,10.295261996993345,9.536763076391866,9.663519997970887,0,0,0
580,11.480882232221656,10.479608235372508,11.022964099518227,0,0,0
581,10.095662440935747,9.347475536561385,9.45476131801711,52,26,26
582,9.882254501525296,8.327377810522144,9.645057216501995,2,1,1
583,10.812272044721896,10.102698909864788,10.135325015541536,1,0,1
584,10.111823377135593,8.933025579448032,9.744220691990977,2,1,1
585,8.961909609094132,7.924271120265202,8.524702789582424,40,18,22
586,9.81135106188802,9.48315733244188,8.537782876138838,5,3,2
587,7.105577525860799,5.084846669905178,6.964315721564348,67,34,33
588,9.810015481199743,9.40154903160347,8.717542688121044,47,22,25
589,9.360483924493959,7.908347386476274,9.093932229756627,54,28,26
590,11.652793083007897,11.358354730427724,10.286532011089063,1,1,0
591,9.429091273929515,8.60060891787187,8.855270463494643,59,30,29
592,9.34889300169078,7.511821858209944,9.175496062162289,5,5,0
593,11.435689103175447,10.794871961797092,10.68734433299809,0,0,0
594,9.586224889400775,8.806765975278804,8.97265486703387,3,2,1
595,9.312143941656386,8.02926294546934,8.987594395081409,58,29,29
596,9.089320551263487,8.169173341208062,8.581245284023746,58,30,28
597,9.87903282699915,8.550250505189267,9.57149048132989,24,14,10
598,10.32502592513562,9.077604690474782,9.98645499985123,54,28,26
599,9.791280290841387,9.223506854267873,8.954885911507368,38,16,22
601,9.853267649221825,8.648757033132997,9.496898194709889,2,1,1
602,9.541188116498299,8.09014818427417,9.27428251564981,2,2,0
603,11.192737363506305,10.462673385052138,10.535219096735226,0,0,0
604,9.859473337729323,8.572305275541007,9.536510572915027,3,2,1
605,10.462942028029742,9.958106445580219,9.537670503148908,54,28,26
