K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
3,0,200,0.8061861163838896,0.2146781505181316,1.0,0.5,1.0,0.5,1.0,0.8063492063492064,0.2146410927335358,1.0,0.5,1.0,0.5,1.0,0.9996323803593118,0.0025997762910375125,1.0,0.9998031496062992,1.0,0.9710144927536232,1.0,0.0,0.545
3,1,200,0.7694457082602927,0.13159727024992598,0.7919772256728779,0.6388888888888888,0.989247311827957,0.6388888888888888,1.0,0.9467934782608696,0.07242261286019142,1.0,0.8040760869565218,1.0,0.7065217391304348,1.0,0.8212999273245873,0.17170563942600656,0.9070584477802619,0.6388888888888888,1.0,0.6388888888888888,1.0,0.0,0.53
3,2,200,0.44264191825192756,0.41838693993016984,0.7142857142857143,0.0,0.9811320754716981,0.0,1.0,0.5153846153846154,0.48265399786679974,0.8269230769230769,0.0,1.0,0.0,1.0,0.4634726720804002,0.4335634098208189,0.7409937888198758,0.0,1.0,0.0,1.0,0.465,0.43
4,0,200,0.7548236795514325,0.17079622718318477,0.7838739573679332,0.37984065934065936,0.9846153846153847,0.3516483516483517,1.0,0.8653846153846154,0.1606845562809909,0.9230769230769231,0.4153846153846154,1.0,0.36923076923076925,1.0,0.8581739640504219,0.13737987647715194,0.9069711538461538,0.5158730158730159,1.0,0.5158730158730159,1.0,0.105,0.57
4,1,200,0.7469693450486454,0.271378316653461,0.8125,0.0,1.0,0.0,1.0,0.8542307692307693,0.2987916988303738,0.9807692307692307,0.0,1.0,0.0,1.0,0.8000431593240421,0.2623431404083628,0.8387096774193549,0.0,1.0,0.0,1.0,0.11,0.735
4,2,200,0.8609154997722841,0.10546539277496919,0.8702664796633941,0.6388888888888888,1.0,0.4673913043478261,1.0,0.9168478260869566,0.08114951252929933,0.9130434782608695,0.782608695652174,1.0,0.4673913043478261,1.0,0.9415503683808683,0.10876212609102251,0.9888875169774046,0.6388888888888888,1.0,0.6231884057971014,1.0,0.005,0.875
4,3,200,0.7216564130288302,0.2137611465061269,0.7484177215189873,0.0,0.9838709677419355,0.0,1.0,0.7977868852459017,0.21975944863580676,0.8688524590163934,0.0,1.0,0.0,1.0,0.855986695526284,0.2048063041772393,0.9246212121212121,0.0,1.0,0.0,1.0,0.105,0.5
5,0,200,0.0914691752429414,0.19569003013792086,0.0,0.0,0.6186755485893418,0.0,0.9230769230769231,0.13653846153846153,0.29418048841368394,0.0,0.0,0.9615384615384616,0.0,1.0,0.12749618890703326,0.26732313114837963,0.0,0.0,0.8802222222222222,0.0,1.0,0.935,0.01
5,1,200,0.6651593510266468,0.1720340331820326,0.6548466593647316,0.4046972049689441,0.9288419913419914,0.3472222222222222,1.0,0.728,0.16925006882957705,0.7230769230769231,0.4303846153846154,1.0,0.38461538461538464,1.0,0.8884160990474307,0.13465204289000035,0.9523809523809523,0.590115718418515,1.0,0.5675675675675675,1.0,0.24,0.365
5,2,200,0.6520712922806701,0.15932515389969892,0.6510869565217392,0.025000000000000012,0.8572259136212624,0.0,0.9069767441860465,0.9403846153846155,0.1919473119001504,1.0,0.025000000000000012,1.0,0.0,1.0,0.6790718000941428,0.15595059895898936,0.6695402298850575,0.4813291139240509,0.9435714285714287,0.0,1.0,0.045,0.32
