iteration,K,sample_unique_n,model_seed,ARI,converged,n_iter,convergence_warnings
1,3,164,632977323,0.8987029091260663,True,11,0
1,4,164,632977324,0.8558509273850402,True,15,0
1,5,164,632977325,0.5782188396986578,True,15,0
1,6,164,632977326,0.6339595390111574,True,14,0
1,7,164,632977327,0.591787480102495,True,9,0
1,8,164,632977328,0.5087739492842193,True,8,0
2,3,163,118960737,0.5596512688392723,True,5,0
2,4,163,118960738,0.7651285810144445,True,8,0
2,5,163,118960739,0.5178008452633991,True,12,0
2,6,163,118960740,0.6194267547423475,True,9,0
2,7,163,118960741,0.5935193556406215,True,8,0
2,8,163,118960742,0.4556428007004496,True,6,0
3,3,167,1469943248,0.9831795250811697,True,13,0
3,4,167,1469943249,0.8284167710551125,True,13,0
3,5,167,1469943250,0.7069839959716443,True,15,0
3,6,167,1469943251,0.7239418799172289,True,13,0
3,7,167,1469943252,0.5130949780712893,True,11,0
3,8,167,1469943253,0.4425822620064545,True,13,0
4,3,181,1193935257,0.48867513973739063,True,9,0
4,4,181,1193935258,0.9464688316402876,True,9,0
4,5,181,1193935259,0.5215504528415994,True,10,0
4,6,181,1193935260,0.6476377151886317,True,16,0
4,7,181,1193935261,0.5686991671059551,True,8,0
4,8,181,1193935262,0.5319983182095698,True,8,0
5,3,180,471353691,0.510038713277608,True,5,0
5,4,180,471353692,0.6030421655273943,True,5,0
5,5,180,471353693,0.6016367367933345,True,10,0
5,6,180,471353694,0.5807403150792461,True,7,0
5,7,180,471353695,0.6185363495895088,True,10,0
5,8,180,471353696,0.5034300155169337,True,11,0
6,3,173,2132632902,0.9750266320764348,True,6,0
6,4,173,2132632903,0.5846083118671325,True,8,0
6,5,173,2132632904,0.4900051925998237,True,9,0
6,6,173,2132632905,0.5415855083658351,True,9,0
6,7,173,2132632906,0.6313499263459547,True,7,0
6,8,173,2132632907,0.5315900515491881,True,6,0
7,3,177,1233315643,0.4940359274122463,True,5,0
7,4,177,1233315644,0.8995122311872413,True,10,0
7,5,177,1233315645,0.5266185046107525,True,13,0
7,6,177,1233315646,0.5853233600673232,True,7,0
7,7,177,1233315647,0.486823768887887,True,8,0
7,8,177,1233315648,0.5146332651411689,True,10,0
8,3,168,1811022109,0.49819623427691817,True,4,0
8,4,168,1811022110,0.6055144450137889,True,4,0
8,5,168,1811022111,0.5425285133535644,True,8,0
8,6,168,1811022112,0.6005690981772168,True,7,0
8,7,168,1811022113,0.5795734128763056,True,8,0
8,8,168,1811022114,0.4852064439192464,True,10,0
9,3,174,1813092649,0.9831795250811697,True,9,0
9,4,174,1813092650,0.8006398001342411,True,9,0
9,5,174,1813092651,0.649387121143818,True,9,0
9,6,174,1813092652,0.6699988555407039,True,9,0
9,7,174,1813092653,0.5986692313972152,True,14,0
9,8,174,1813092654,0.5096568249091169,True,10,0
10,3,176,1877618520,0.991535408954452,True,11,0
10,4,176,1877618521,0.885161119801621,True,15,0
10,5,176,1877618522,0.48989652787115195,True,11,0
10,6,176,1877618523,0.5796589074248732,True,9,0
10,7,176,1877618524,0.6147088373582346,True,7,0
10,8,176,1877618525,0.47228352358747566,True,12,0
11,3,172,1540158091,0.852372694241703,True,7,0
11,4,172,1540158092,0.7758157846395559,True,7,0
11,5,172,1540158093,0.5728836051690083,True,10,0
11,6,172,1540158094,0.5144566393567311,True,11,0
11,7,172,1540158095,0.5417655548574547,True,9,0
11,8,172,1540158096,0.4640008858556773,True,6,0
12,3,168,1604333067,0.4919196768837773,True,7,0
12,4,168,1604333068,0.8984359130274441,True,7,0
12,5,168,1604333069,0.7181128836870669,True,7,0
12,6,168,1604333070,0.68721436982775,True,7,0
12,7,168,1604333071,0.5313490182021736,True,8,0
12,8,168,1604333072,0.5027009002870174,True,6,0
13,3,173,1777891919,0.991535408954452,True,15,0
13,4,173,1777891920,0.5388160187478475,True,6,0
13,5,173,1777891921,0.5528242007719524,True,15,0
13,6,173,1777891922,0.637835394045861,True,11,0
13,7,173,1777891923,0.7028272899034127,True,12,0
13,8,173,1777891924,0.49421503791176086,True,6,0
14,3,169,1408476246,0.8586782988987562,True,6,0
14,4,169,1408476247,0.8552466583836885,True,9,0
14,5,169,1408476248,0.5536629923667453,True,7,0
14,6,169,1408476249,0.5624111415341047,True,11,0
14,7,169,1408476250,0.5857302259003385,True,7,0
14,8,169,1408476251,0.5042046723043553,True,5,0
15,3,173,1624574620,0.5205108353998035,True,6,0
15,4,173,1624574621,0.8305349064985086,True,6,0
15,5,173,1624574622,0.58642835925402,True,6,0
15,6,173,1624574623,0.5932096102572807,True,8,0
15,7,173,1624574624,0.5628234694613296,True,5,0
15,8,173,1624574625,0.4418038854890418,True,11,0
16,3,158,914765683,0.49819623427691817,True,5,0
16,4,158,914765684,0.6564723915188477,True,7,0
16,5,158,914765685,0.5193587148330405,True,6,0
16,6,158,914765686,0.5038988654404909,True,9,0
16,7,158,914765687,0.5058633222324218,True,14,0
16,8,158,914765688,0.5530094640463254,True,6,0
17,3,171,515628282,0.8781189170174396,True,5,0
17,4,171,515628283,0.7989573228857406,True,6,0
17,5,171,515628284,0.5286314797243777,True,5,0
17,6,171,515628285,0.6309149948669245,True,7,0
17,7,171,515628286,0.6407623171907769,True,5,0
17,8,171,515628287,0.4853312040694591,True,8,0
18,3,163,938725325,0.8781189170174396,True,5,0
18,4,163,938725326,0.6178500113255735,True,8,0
18,5,163,938725327,0.5168013714749295,True,5,0
18,6,163,938725328,0.676158476771606,True,6,0
18,7,163,938725329,0.6063217227877425,True,7,0
18,8,163,938725330,0.6648084161943479,True,10,0
19,3,173,794891074,0.5330101889858117,True,5,0
19,4,173,794891075,0.7853657704216865,True,10,0
19,5,173,794891076,0.5847558241242662,True,10,0
19,6,173,794891077,0.6690636894070724,True,12,0
19,7,173,794891078,0.6212649517191123,True,10,0
19,8,173,794891079,0.5982798716794345,True,14,0
20,3,175,1380410574,0.48874140356088824,True,7,0
20,4,175,1380410575,0.9533366608627449,True,7,0
20,5,175,1380410576,0.7825089794211124,True,11,0
20,6,175,1380410577,0.6046337494906607,True,6,0
20,7,175,1380410578,0.4991062671207528,True,9,0
20,8,175,1380410579,0.47076784923798365,True,8,0
21,3,181,795848717,0.991545926969134,True,10,0
21,4,181,795848718,0.829401090665256,True,10,0
21,5,181,795848719,0.5301088452437027,True,10,0
21,6,181,795848720,0.7525789968464829,True,11,0
21,7,181,795848721,0.5715994935415726,True,9,0
21,8,181,795848722,0.6074101664591421,True,9,0
22,3,170,1317707640,0.4940359274122463,True,5,0
22,4,170,1317707641,0.8034695040118917,True,5,0
22,5,170,1317707642,0.5028443839556286,True,8,0
22,6,170,1317707643,0.6498437906160835,True,9,0
22,7,170,1317707644,0.5633984005502765,True,7,0
22,8,170,1317707645,0.469052091045281,True,13,0
23,3,171,325254400,0.9132171740291588,True,6,0
23,4,171,325254401,0.5035787412285809,True,4,0
23,5,171,325254402,0.5422219923478161,True,6,0
23,6,171,325254403,0.6927214373505624,True,8,0
23,7,171,325254404,0.5628932255217048,True,9,0
23,8,171,325254405,0.524289613568437,True,10,0
