K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_silhouette_share
2,0,144,0.7222258751267554,0.05434580036441988,0.7317746156243042,0.5829961651678807,0.7772243635509168,0.42247808283811306,0.7814898149955484,0.0
2,1,126,0.5588262316876924,0.10168513152736557,0.5875812836819313,0.2914210112241766,0.657719977319619,0.09686788671172582,0.6698054571935473,0.0
3,0,126,0.5497125643409516,0.10308377886237773,0.5787217070657584,0.2777879833102871,0.6505993822920138,0.08388188160154965,0.662801659182217,0.0
3,1,92,0.2018385575538808,0.07053260747127398,0.21777982378696265,0.01506722391577018,0.2861641799339482,0.0007391389899999639,0.29659334586047625,0.0
3,2,52,-0.014626711836960526,0.08536803052458523,-0.004842461521536481,-0.1804063079041746,0.09894675495833592,-0.20851979097465623,0.13311969585680866,0.5192307692307693
4,0,65,0.11652173518717063,0.09729588528993835,0.14529087653543005,-0.10530620756776349,0.23991477015964743,-0.22953771487622673,0.2535174676144671,0.13846153846153847
4,1,52,-0.014626711836960526,0.08536803052458523,-0.004842461521536481,-0.1804063079041746,0.09894675495833592,-0.20851979097465623,0.13311969585680866,0.5192307692307693
4,2,92,0.2018385575538808,0.07053260747127398,0.21777982378696265,0.01506722391577018,0.2861641799339482,0.0007391389899999639,0.29659334586047625,0.0
4,3,61,0.14232103110037128,0.10325716483825419,0.15100522968726804,-0.05172743688186471,0.3003198915354064,-0.10188600628134815,0.30224064220483415,0.13114754098360656
5,0,52,0.05944972845656682,0.051023428270849026,0.060421599103664674,-0.023582665060149353,0.15948684150334844,-0.042830086612322,0.16341938602663114,0.09615384615384616
5,1,65,0.11635565733576914,0.09721290933414259,0.14529087653543005,-0.10530620756776349,0.23991477015964743,-0.22953771487622673,0.2535174676144671,0.13846153846153847
5,2,39,-0.029357473918173362,0.08422449746425667,-0.024027102898212388,-0.15790746986733983,0.09197484314040591,-0.2293527731275647,0.10740875256267793,0.5128205128205128
5,3,61,0.14232103110037128,0.10325716483825419,0.15100522968726804,-0.05172743688186471,0.3003198915354064,-0.10188600628134815,0.30224064220483415,0.13114754098360656
5,4,53,0.07255260696568275,0.05541823057314808,0.07786186062919438,-0.04456883417615406,0.1532851180517145,-0.059597733572091666,0.15778623297141736,0.09433962264150944
6,0,31,0.0004928512355729964,0.094050515657485,-0.005035828597014025,-0.1631320931794188,0.14172000152651004,-0.20412740636199864,0.14235181795189028,0.5483870967741935
6,1,35,0.12251981664345979,0.1657886230940703,0.1644619871542259,-0.19922735659287313,0.32365517179608627,-0.22663502875140112,0.3265227700639083,0.2571428571428571
6,2,62,0.1645689051519757,0.05818316968223617,0.168543737712062,0.02729168873447429,0.23981943466600644,0.0008934280758826344,0.26302993619507475,0.0
6,3,51,-0.04299813004671224,0.09973140497407146,-0.03147195391694802,-0.22555385259456026,0.08787670824302415,-0.23972497313645788,0.12852950636299518,0.5882352941176471
6,4,61,0.22460816948304033,0.1052723888075959,0.23821238212329596,-0.02330337450860072,0.37197116791583107,-0.09116863391589174,0.3760113367199477,0.04918032786885246
6,5,30,-0.04752844585856231,0.12385289942668341,-0.03130251158816283,-0.3287767006311703,0.13307379606119724,-0.344126346478231,0.13910332847775922,0.6333333333333333
7,0,62,0.1645689051519757,0.05818316968223617,0.168543737712062,0.02729168873447429,0.23981943466600644,0.0008934280758826344,0.26302993619507475,0.0
7,1,39,0.12645563213589991,0.08655597750801185,0.11496341109837188,-0.0024593793773915653,0.25327009447912996,-0.09233629272970585,0.25681525790467985,0.02564102564102564
7,2,34,0.02446099497380385,0.08198075440615152,0.029500687577539552,-0.1321884632742563,0.148643016270177,-0.1333052995828581,0.1538936233048786,0.3235294117647059
7,3,31,0.0004928512355729964,0.094050515657485,-0.005035828597014025,-0.1631320931794188,0.14172000152651004,-0.20412740636199864,0.14235181795189028,0.5483870967741935
7,4,51,-0.04299813004671224,0.09973140497407146,-0.03147195391694802,-0.22555385259456026,0.08787670824302415,-0.23972497313645788,0.12852950636299518,0.5882352941176471
7,5,28,-0.09019206842238602,0.1283422098050343,-0.07064696244212867,-0.34164706370591735,0.09145046411486381,-0.40828145003955946,0.09212053442649504,0.75
7,6,25,0.19381281195532277,0.17472280760780587,0.2671299785010971,-0.19753478313649656,0.3575924289818422,-0.2327616234521889,0.36115195662471883,0.12
8,0,42,0.03937475872581706,0.06812921809562834,0.034447620834242285,-0.07012197236321431,0.15166448522212592,-0.08041401881552764,0.152636520924038,0.2857142857142857
8,1,37,0.02786951550122843,0.0894559440366938,0.04009243950420292,-0.1417966050719054,0.1610354226712002,-0.14360654382482813,0.16468760244625325,0.32432432432432434
8,2,28,0.22447864062702125,0.16987428092347526,0.29103740123539984,-0.16324848396161953,0.4159509351997664,-0.17697615703310624,0.4213279607643938,0.14285714285714285
8,3,33,0.1513612324385666,0.07114546723272352,0.16036605172045146,-0.017834041700341717,0.2466416637883608,-0.0490912122459087,0.2569144148657149,0.09090909090909091
8,4,2,0.2834090061520771,0.07016817918756774,0.2834090061520771,0.21674923592388773,0.35006877638026646,0.21324082696450936,0.35357718533964483,0.0
8,5,63,0.0876509883156147,0.04481341752711876,0.09033235689306407,-0.0028511489646311267,0.15971794525375843,-0.03287521599175412,0.17009965614852682,0.031746031746031744
8,6,26,-0.06803789238382246,0.12473156599462464,-0.0688239448052346,-0.32845789899261096,0.11826977842654798,-0.425260835454876,0.13458462362139773,0.7307692307692307
8,7,39,-0.031236155941417616,0.08273867560076578,-0.020552406130494763,-0.15430575028042662,0.08841362785620052,-0.22951747149245716,0.10494201604773824,0.5128205128205128
9,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,26,-0.02950029459828499,0.12094607560949244,-0.011968888503010259,-0.2696017345481466,0.14199273187602407,-0.387728391926637,0.14715551307077473,0.6153846153846154
9,2,38,0.2235399725611089,0.10834670121321603,0.24607396036831974,0.009258119931874129,0.34540021133892707,-0.019625629574478148,0.35756711283006554,0.02631578947368421
9,3,30,-0.03359301808901493,0.12318782839018624,-0.027467289405062413,-0.2832214706205023,0.1411535590157234,-0.3229218888280576,0.14773417205216402,0.5666666666666667
9,4,36,0.050317334909141226,0.08681706876847661,0.0763599332153872,-0.10194213689293169,0.18016555461802441,-0.11189227561482532,0.20809430424260636,0.2777777777777778
9,5,40,-0.10879304730148517,0.10382723316127977,-0.09907862782552652,-0.3085537163640214,0.05555799365148963,-0.3204842257244093,0.0789178313436035,0.8
9,6,23,0.24908575898438695,0.11901406282039752,0.3156919857063505,0.020363954241167145,0.3654820161663138,-0.034720013921307864,0.37049259120629735,0.043478260869565216
9,7,35,0.04327377920663121,0.19582085994736773,0.06356447496078346,-0.3247055731188761,0.27468895819123385,-0.3631409932419808,0.2793229420199303,0.2857142857142857
9,8,41,0.10822379952108085,0.0867545542000774,0.10581852944612635,-0.03874151062694453,0.23934212268155877,-0.10531676247741684,0.24271465118514185,0.12195121951219512
10,0,29,0.08727921496530958,0.09747240857037767,0.09972076459662756,-0.06009382700171643,0.2250819321199526,-0.09447328820707901,0.2421399743879642,0.27586206896551724
10,1,56,0.13151804216523144,0.04942378004855773,0.13185341340856765,0.02480125932802854,0.2110425749248165,-0.005986482722497562,0.22302164401547414,0.017857142857142856
10,2,28,0.1328508716385905,0.20554177438950064,0.23552484073767888,-0.35285778215940167,0.3296202860957484,-0.3605416804027956,0.33183304766455163,0.25
10,3,20,0.10216639682495807,0.09768024390113533,0.11742235850476127,-0.09435444237734836,0.2590527279682869,-0.13540268184204493,0.26400863406430375,0.1
10,4,16,-0.04556112048661825,0.13772004677795663,-0.06428730325812013,-0.2953573604753886,0.1632931872316745,-0.32922768287682386,0.16821654780666492,0.625
10,5,40,-0.02790572832603716,0.08375081852874892,-0.041532083824536874,-0.15041141455214557,0.12276592776049519,-0.16109268965732493,0.126279055773109,0.65
10,6,3,0.44134322943680176,0.03683101927965387,0.46056283115559465,0.39334574617238227,0.4730040512402473,0.38980800485747635,0.4736588522973343,0.0
10,7,10,0.054660461785021555,0.149503678616437,0.10010159394970575,-0.22395885488459102,0.2194057855257606,-0.24687903851454698,0.2265414508114961,0.3
10,8,45,0.010585394730343709,0.08571270563301378,0.01582773818955494,-0.15112774695636216,0.13343600709561382,-0.16811248355550706,0.1688707684855813,0.4888888888888889
10,9,23,0.14025068501139043,0.07799293148127091,0.15449890095275762,-0.005187283979805675,0.2486017073320727,-0.05226971098799885,0.25934702285937633,0.043478260869565216
11,0,41,-0.04122044820284765,0.06364358205099781,-0.043010881698972846,-0.16313051554637015,0.06669837579160039,-0.17995455198926916,0.0726237374252032,0.7317073170731707
11,1,33,0.23090522594858667,0.11518828642636862,0.2580230020792242,-0.001066967071954382,0.38161831844392896,-0.07841938774031801,0.3898108028755842,0.030303030303030304
11,2,28,0.15545367462975102,0.20688559113425883,0.2369286915649335,-0.3290531135849856,0.35957906186176686,-0.3411904939917772,0.36594738808692934,0.17857142857142858
11,3,34,0.04003571334006049,0.07760891872112416,0.05580602561682904,-0.0761099136850835,0.17409358091869861,-0.14145735272679757,0.18323345279206224,0.29411764705882354
11,4,16,0.03448226491226628,0.12035747894524738,0.05555516186089447,-0.18998126362050424,0.2063402649132791,-0.19223794763230084,0.21252583406720663,0.3125
11,5,18,0.10620746480407355,0.09276561333873225,0.0989208147733445,-0.07633953715451958,0.24724144004245227,-0.13147730465245036,0.253376222503941,0.1111111111111111
11,6,5,0.23089470542747423,0.14628985747010217,0.3006008078498037,-0.024883062757437274,0.3414770682681404,-0.0559199016826962,0.3449283186601292,0.2
11,7,44,0.13513476948678463,0.07780381009040613,0.1542593975908616,0.0014404652553965786,0.23756411934008193,-0.029029313419923326,0.241553171058088,0.022727272727272728
