representation,K,metric,eta_squared
raw,3,log_total_activity,0.3438390012002834
raw,3,log_entry_activity,0.4808437199264844
raw,3,log_exit_activity,0.1985910776222341
raw,3,zero_total,0.028703251478348242
raw,3,zero_entry,0.03512690541113678
raw,3,zero_exit,0.022659489686681845
raw,4,log_total_activity,0.33767143284144824
raw,4,log_entry_activity,0.47621644775443034
raw,4,log_exit_activity,0.2016084827489979
raw,4,zero_total,0.048927964071890366
raw,4,zero_entry,0.05348288482793704
raw,4,zero_exit,0.04452132819825522
raw,5,log_total_activity,0.4073611998058334
raw,5,log_entry_activity,0.5426735325446456
raw,5,log_exit_activity,0.2710605404090817
raw,5,zero_total,0.17658275836737589
raw,5,zero_entry,0.18834350169757066
raw,5,zero_exit,0.16313198095587159
raw,6,log_total_activity,0.3971231744256347
raw,6,log_entry_activity,0.5393984886829947
raw,6,log_exit_activity,0.25892175096883874
raw,6,zero_total,0.2415590679184267
raw,6,zero_entry,0.24808593182273983
raw,6,zero_exit,0.2327010890538709
raw,7,log_total_activity,0.3909052829176104
raw,7,log_entry_activity,0.538127213757855
raw,7,log_exit_activity,0.24549652324262833
raw,7,zero_total,0.26329133792257614
raw,7,zero_entry,0.26626131224269783
raw,7,zero_exit,0.25744794839745555
raw,8,log_total_activity,0.40247735914378197
raw,8,log_entry_activity,0.5334090662604056
raw,8,log_exit_activity,0.2750652289469122
raw,8,zero_total,0.2850101987793605
raw,8,zero_entry,0.2880194554067583
raw,8,zero_exit,0.2787199923277581
ilr,3,log_total_activity,0.3211148458915904
ilr,3,log_entry_activity,0.3589247361384026
ilr,3,log_exit_activity,0.23542767245953147
ilr,3,zero_total,0.9377143621229008
ilr,3,zero_entry,0.9216160452272147
ilr,3,zero_exit,0.9410656032707201
ilr,4,log_total_activity,0.44987101891709513
ilr,4,log_entry_activity,0.53581721552661
ilr,4,log_exit_activity,0.31923283933766017
ilr,4,zero_total,0.9420613134043972
ilr,4,zero_entry,0.9238567227564227
ilr,4,zero_exit,0.9481816809081011
ilr,5,log_total_activity,0.48818930163909274
ilr,5,log_entry_activity,0.5949270938074583
ilr,5,log_exit_activity,0.3435062622611001
ilr,5,zero_total,0.942101951558372
ilr,5,zero_entry,0.924197736279827
ilr,5,zero_exit,0.9481844989020382
ilr,6,log_total_activity,0.5232419806983785
ilr,6,log_entry_activity,0.6066792829157203
ilr,6,log_exit_activity,0.3894415122768076
ilr,6,zero_total,0.9428447107834742
ilr,6,zero_entry,0.9262808976297252
ilr,6,zero_exit,0.9479564326147997
ilr,7,log_total_activity,0.4915940647777544
ilr,7,log_entry_activity,0.5885684867406257
ilr,7,log_exit_activity,0.35621532206588424
ilr,7,zero_total,0.9490597839454508
ilr,7,zero_entry,0.9324060933097457
ilr,7,zero_exit,0.9540148964753998
ilr,8,log_total_activity,0.5489211919010493
ilr,8,log_entry_activity,0.6430161932039578
ilr,8,log_exit_activity,0.4207563639102158
ilr,8,zero_total,0.9561595919132111
ilr,8,zero_entry,0.940621272482486
ilr,8,zero_exit,0.960966004611183
