unit,cluster,max_posterior,entropy
500,6,1.0,7.126995091600059e-51
501,8,1.0,8.784963840958673e-54
502,8,1.0,9.965143205331254e-100
503,8,1.0,9.207584161413964e-83
505,1,1.0,3.630939622606808e-85
506,5,1.0,1.1833155499355817e-63
507,8,1.0,5.539350123499457e-266
508,11,1.0,2.782255251688927e-82
509,6,1.0,3.323108594690631e-89
510,4,1.0,1.911575229277963e-48
511,0,0.9999999932904435,1.3298161767449232e-07
512,11,1.0,3.4962421125987927e-73
513,0,1.0,6.262006987262526e-203
514,7,1.0,2.3162740435081967e-159
515,4,1.0,-0.0
516,6,0.9999999979929388,4.220166279168183e-08
517,8,1.0,3.0907381894332665e-30
518,1,1.0,2.6832673150531003e-89
519,11,1.0,4.774895880542742e-98
520,11,1.0,5.630344224787234e-150
521,8,1.0,7.486047136155969e-130
522,6,1.0,3.984050802065722e-37
524,0,1.0,1.2008073316401963e-295
525,8,1.0,2.2241402950798046e-54
526,6,1.0,3.055529081338817e-64
527,6,1.0,1.4058789466336889e-90
528,7,1.0,8.251650420633463e-70
529,6,1.0,1.761599603189725e-49
530,7,1.0,1.0284423721305405e-31
531,4,1.0,9.56295843202865e-105
532,4,1.0,1.5933905564285507e-30
534,11,1.0,2.2919245734153725e-34
535,9,1.0,-0.0
536,5,1.0,8.63261479319248e-48
537,6,1.0,2.2876131408070454e-23
539,5,1.0,1.2320034029335104e-170
540,11,1.0,2.1355447165590493e-32
541,0,1.0,3.279283647411532e-190
542,0,1.0,-0.0
543,5,1.0,1.1295543908887618e-164
544,5,1.0,2.2456710346850326e-306
545,7,1.0,1.614114562155246e-40
546,5,1.0,2.642977144267866e-208
547,11,1.0,1.23077743425509e-77
548,11,1.0,3.0616541558279036e-72
549,11,1.0,1.914647144148274e-23
550,4,1.0,2.29431182193e-312
551,6,1.0,3.977971026510086e-76
552,6,1.0,8.695082488849998e-90
553,0,1.0,-0.0
554,5,1.0,2.1085810201788358e-136
555,1,1.0,7.962674993806333e-88
556,1,1.0,5.418745214531098e-115
557,5,1.0,2.2407160925413717e-157
558,6,1.0,1.2382273444720355e-77
560,4,0.9999999999618487,9.533815184413835e-10
561,7,1.0,3.677017523180819e-64
562,11,1.0,9.928101924224927e-74
563,6,1.0,4.406682832107088e-57
564,1,1.0,2.102876578298003e-59
565,6,1.0,4.997940705604594e-59
566,1,1.0,1.4128993097036754e-40
567,7,1.0,1.954698778234711e-16
568,6,1.0,8.72074778177558e-31
