lsoa,tier,total_activity
E01000001,3_reliable_core,2786.14103
E01000002,2_below_reliable_threshold,104.74833
E01000003,0_no_recorded_activity,
E01000005,3_reliable_core,12380.10901
E01000006,0_no_recorded_activity,
E01000007,3_reliable_core,10134.6106
E01000008,0_no_recorded_activity,
E01000009,3_reliable_core,12366.52623
E01000011,3_reliable_core,660.67767
E01000012,3_reliable_core,1509.22083
E01000013,3_reliable_core,4766.06251
E01000014,0_no_recorded_activity,
E01000015,2_below_reliable_threshold,1.81088
E01000016,2_below_reliable_threshold,110.70556
E01000017,3_reliable_core,1268.87044
E01000018,2_below_reliable_threshold,239.47937
E01000019,2_below_reliable_threshold,232.41289
E01000020,2_below_reliable_threshold,343.35764
E01000021,3_reliable_core,567.4993
E01000022,0_no_recorded_activity,
E01000024,3_reliable_core,1770.72874
E01000025,0_no_recorded_activity,
E01000027,3_reliable_core,1813.19829
E01000028,0_no_recorded_activity,
E01000029,3_reliable_core,775.30886
E01000030,3_reliable_core,700.17215
E01000031,2_below_reliable_threshold,326.12029
E01000032,3_reliable_core,597.81785
E01000033,0_no_recorded_activity,
E01000034,3_reliable_core,935.89282
E01000035,3_reliable_core,1559.36796
E01000036,3_reliable_core,1377.68542
E01000037,0_no_recorded_activity,
E01000038,2_below_reliable_threshold,276.38262
E01000039,2_below_reliable_threshold,28.14198
E01000040,3_reliable_core,917.44285
E01000041,3_reliable_core,457.29978
E01000042,2_below_reliable_threshold,333.32689
E01000043,2_below_reliable_threshold,232.72266
E01000044,0_no_recorded_activity,
E01000045,3_reliable_core,1314.21196
E01000046,0_no_recorded_activity,
E01000049,2_below_reliable_threshold,124.01941
E01000050,3_reliable_core,2528.45067
E01000051,0_no_recorded_activity,
E01000052,3_reliable_core,1207.38758
E01000053,3_reliable_core,654.09486
E01000054,0_no_recorded_activity,
E01000055,0_no_recorded_activity,
E01000056,2_below_reliable_threshold,48.87568
E01000057,2_below_reliable_threshold,299.14556
E01000058,2_below_reliable_threshold,332.64933
E01000059,0_no_recorded_activity,
E01000060,3_reliable_core,4685.79433
E01000061,3_reliable_core,1594.3102
E01000062,2_below_reliable_threshold,152.15299
E01000063,2_below_reliable_threshold,300.84599000000003
E01000064,3_reliable_core,846.65155
E01000065,3_reliable_core,509.96264
E01000066,0_no_recorded_activity,
E01000067,3_reliable_core,815.50215
E01000068,2_below_reliable_threshold,356.51837
