variant,closure,K,n,silhouette,activity_eta2,zero_bin_eta2,timing_mean_eta2,weekend_ratio_eta2,bootstrap_ari_mean,bootstrap_min_jaccard,central_outer_tv,ari_vs_canon_clr_k4,ari_vs_canon_raw_k3
canon_raw_share,full-week,3,3372,0.0574353222096217,0.5020049520798681,0.5394870327970629,0.2789053016952701,0.0346271257328497,0.6215644764057806,0.4220505206791909,0.3756231671554252,,
canon_raw_share,full-week,4,3372,0.0323162425448742,0.540064318087946,0.5826933620396824,0.3071677372954329,0.0664389774488261,0.7822505822490056,0.5220926001914543,0.4175953079178885,,
canon_clr,full-week,3,3372,0.1996164104463224,0.557795672042049,0.8303747280737467,0.1885416605160178,0.0522156039305663,0.8741666725833372,0.8826695904622677,0.3526759530791788,,
canon_clr,full-week,4,3372,0.1519243008238901,0.5731434379776869,0.9188235592565528,0.1950398497925946,0.0581337676524097,0.7860653921240734,0.4010328996494766,0.36066715542522,,
daytype_raw_share,day-type,3,3372,0.0747592839319093,0.4164073502639601,0.7859178234231693,0.2612643628524704,0.0425087220586967,0.6388296859256427,0.4795244758941661,0.1971041055718475,0.378289631743316,0.5834985750525338
daytype_raw_share,day-type,4,3372,0.0415230280544146,0.4589296832272003,0.765930700902728,0.2735493967984295,0.0674491490783956,0.7187485677914623,0.4499545209412082,0.3023460410557185,0.3560762797112536,0.5547851069007168
daytype_clr_a1,day-type,3,3372,0.2418836538801479,0.4959927151974073,0.8660976936782521,0.1853313987966206,0.0529825921262337,0.8555048041734423,0.7489820222648372,0.3272727272727272,0.5014902354965015,0.427500981583865
daytype_clr_a1,day-type,4,3372,0.2002331127956089,0.5168414895208142,0.9131586628259668,0.1931354876440161,0.0557287370806813,0.9008959138938312,0.7218820192183422,0.3417155425219941,0.5597140142693412,0.4334857584206235
daytype_clr_a033,day-type,3,3372,0.312438173956915,0.4409902251496981,0.8891163747048169,0.1845896271190335,0.0515752406596672,0.9280278113978008,0.8368910147015475,0.2622800586510264,0.4564024429094668,0.4100450252149134
daytype_clr_a033,day-type,4,3372,0.265409597689511,0.4600686616622337,0.9228755677540836,0.1816203966618306,0.0557192439462306,0.8306995394498214,0.4891213746600846,0.2622800586510264,0.5292367801292468,0.3768174448215007
daytype_raw_share_strict,day-type,3,2493,0.0999552357075265,0.1382732468521899,0.0277482745199335,0.2493683861209764,0.0810080763340947,0.6839305876185977,0.7048865998100122,0.3429917398038203,0.0301973754910572,0.1387890909601402
daytype_raw_share_strict,day-type,4,2493,0.038047221773061,0.4128696797320833,0.4901694740869098,0.3489935656026336,0.0819509670344293,0.2580437674782675,0.3632119346434989,0.5305240061951472,0.2899449260784878,0.3128405464779225
