K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,ari_vs_canon_clr_k4,n_shared_clr_k4,ari_vs_canon_raw_k3,n_shared_raw_k3,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean
2,-228712.5346236017,0.3703482676909902,1.1546642951191013,0.4268996073111509,0.7126248464837007,0.4664887307236062,0.17963938827528853,0.06770060701370859,0.1516965440804693,0.03558824309172312,0.04908809930375547,0.13301217978982213,0.3579199734248456,3372,0.40421324436815764,3372,0.9646063770476081,0.015896152112378135,0.9808818067302185
3,-316584.1665899895,0.31243817395691503,2.115670365376627,0.44099022514969816,0.8891163747048169,0.1895017793594306,0.24061454044952094,0.11588020051778229,0.19727414038979732,0.04030982578514538,0.05157524065966721,0.1845896271190335,0.45640244290946685,3372,0.41004502521491343,3372,0.9280278113978007,0.07069918777074989,0.8368910147015475
4,-336442.4075725634,0.26540959768951106,2.3032500390798356,0.46006866166223376,0.9228755677540835,0.13345195729537365,0.24006531954985788,0.10725669965163247,0.1975391707840015,0.04347511162549748,0.055719243946230644,0.1816203966618306,0.5292367801292468,3372,0.37681744482150076,3372,0.8306995394498214,0.07549057550178945,0.48912137466008465
5,-330840.26908584766,0.23763686366517686,2.986789134401952,0.48706654727622356,0.933057613579747,0.01749703440094899,0.24456744416063966,0.11330908363083736,0.20013634999694566,0.04388509665041009,0.05538534611286215,0.1860042925961409,0.5097288839517474,3372,0.40405854016704346,3372,0.8006820002413392,0.0977563207676047,0.09079771329318215
6,-337170.7768608754,0.13091831068516768,3.3970103977780286,0.6026116083525567,0.9372553724594567,0.018979833926453145,0.2623004717867633,0.11816190127965082,0.21926120882109884,0.05348770798879326,0.06157263116793454,0.19990786062917099,0.7443604002417468,3372,0.334117482900828,3372,0.649267268230638,0.13092946618117493,0.054829116671180046
7,-322000.43035610975,0.12402091135833528,3.2909399862632527,0.6000740053056499,0.9507843437992277,0.03529062870699881,0.2720639039853855,0.13409555934092665,0.2282947579924823,0.053532649122135505,0.06184662244873734,0.21148474043959817,0.7522804831651146,3372,0.31095883445941297,3372,0.6618353012900844,0.09304905008735839,0.09233865991072687
8,-317129.5668138795,0.11953910927342914,3.2153611894359884,0.6015520837195112,0.9441293561532005,0.01631079478054567,0.275343390043896,0.14390032571282624,0.23085303401488527,0.05510568960929988,0.06390437782608836,0.21669891659053583,0.7634160935639606,3372,0.3079145646685434,3372,0.6762684157397754,0.11377713045693559,0.06962210093532577
9,-293199.5788778603,0.11997513397562512,3.245536477438404,0.6076113205819144,0.9473940266387443,0.01601423487544484,0.2792715064913433,0.14953582108357788,0.23337318835714177,0.05659560712161301,0.06377111679834654,0.22072683864402098,0.7460629557534662,3372,0.3088846288177862,3372,,,
10,-277376.0902751061,0.10117858929388483,3.2636388101186165,0.6346969829112802,0.9516691218289889,0.01601423487544484,0.28602304526419614,0.1539903829087503,0.2407856070721016,0.057393871599799445,0.062458797164779055,0.22693301174834934,0.7581746918975658,3372,0.28980815765870116,3372,,,
11,-260554.00393085688,0.10644186146132986,3.4437832031034445,0.6460812470867433,0.9513973135945443,0.01542111506524318,0.2974344710520956,0.17079491350407544,0.24942262473435417,0.056372711076948245,0.06472869746080046,0.23921733643017506,0.6904648266423773,3372,0.29314159184356803,3372,,,
12,-239752.06186749623,0.11025640383017185,2.972258906904342,0.6366516678830381,0.9558519080760203,0.01631079478054567,0.3019374484894871,0.1886272977893027,0.2511149786953175,0.062052316264498336,0.0627337640417246,0.24722657499136913,0.7122410263956608,3372,0.291658596994925,3372,,,
