K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.9438543726091868,0.9717813051146384
2,2,0.9612256908449643,0.9805996472663139
2,3,0.9589003667313608,0.9793753682969947
2,4,0.9577387610211189,0.9787485242030697
2,5,0.9542581611670973,0.9770588235294118
2,6,0.9450075325716273,0.9724178403755869
2,7,0.9392487665061057,0.9694117647058823
2,8,0.965884787269968,0.9829009433962265
2,9,0.9507839005260807,0.9752066115702479
2,10,0.9300713451826312,0.9645599527466037
2,11,0.9589003677804663,0.9792776791000593
2,12,0.9623894097000915,0.9811653914067098
2,13,0.946161396748771,0.9730679156908665
2,14,0.953099368150818,0.9764982373678026
2,15,0.9243583257012313,0.961629279811098
2,16,0.9577387586923746,0.9787860931054803
2,17,0.9346544248436003,0.9669811320754716
2,18,0.9496272211337321,0.9746012994683992
2,19,0.9152540919276431,0.9569575471698113
2,20,0.9323614791060024,0.9657412876550502
3,1,0.7986482640276789,0.619625137816979
3,2,0.7909773238191051,0.6426193118756937
3,3,0.8079628118239478,0.659477866061294
3,4,0.8126653208514674,0.6647662485746865
3,5,0.8121521671837999,0.667420814479638
3,6,0.7986867950200955,0.6537180910099889
3,7,0.9570150000035812,0.9411057692307693
3,8,0.9479305847554519,0.9274486094316807
3,9,0.9517033151315373,0.9342105263157895
3,10,0.9422270348158814,0.9212121212121213
3,11,0.7992243544572736,0.6544444444444445
3,12,0.8132474657098051,0.6477541371158393
3,13,0.8131922789207672,0.6655251141552512
3,14,0.8300838291986582,0.6818181818181818
3,15,0.7830065133954291,0.6399132321041214
3,16,0.9231655781176503,0.8907563025210085
3,17,0.8122997036415649,0.637125748502994
3,18,0.9412676057988412,0.9198564593301436
3,19,0.8212675370608128,0.6724537037037037
3,20,0.9533725997354967,0.9383886255924171
4,1,0.9159750345852912,0.7554945054945055
4,2,0.9263063287075587,0.7467105263157895
4,3,0.9220915483012848,0.8461538461538461
4,4,0.6113596806992754,0.0
4,5,0.9426070800696028,0.8306709265175719
4,6,0.9266536404242443,0.8327759197324415
4,7,0.9168098310537689,0.7313915857605178
4,8,0.9219841362630059,0.760989010989011
4,9,0.918458723763445,0.7513368983957219
4,10,0.8883455642256901,0.6779141104294478
4,11,0.8959098418664088,0.7936962750716332
4,12,0.8714241949430275,0.5479166666666667
4,13,0.9214640133448213,0.7080745341614907
4,14,0.9250197210146444,0.7513368983957219
4,15,0.9178008320840157,0.7672131147540984
4,16,0.9396366596347377,0.8187919463087249
4,17,0.9116956510052431,0.8029411764705883
4,18,0.8851063345272756,0.7435064935064936
4,19,0.9351430718541989,0.8060200668896321
4,20,0.9241263895090845,0.7647058823529411
5,1,0.657263882140186,0.0
5,2,0.8463267421575449,0.6995708154506438
5,3,0.621492414580511,0.0
5,4,0.7520857244906446,0.4162371134020619
5,5,0.7880881103935858,0.5915492957746479
5,6,0.8281788042013802,0.4501108647450111
5,7,0.7915658351859096,0.6628959276018099
5,8,0.8059897556439,0.5
5,9,0.6246181202182698,0.0
5,10,0.8480316147110587,0.7478260869565218
5,11,0.8239935392287535,0.5477272727272727
5,12,0.8152689915301494,0.45085470085470086
5,13,0.8472926826351712,0.5034324942791762
5,14,0.7948823177031747,0.4955947136563877
5,15,0.6454800912606533,0.07710843373493977
5,16,0.6614090949669992,0.421875
5,17,0.813998057865383,0.484375
5,18,0.6123742200990968,0.0
5,19,0.8239028643097237,0.5091324200913242
5,20,0.8204767223535636,0.474835886214442
6,1,0.7745481273063974,0.21052631578947367
6,2,0.8688127355183144,0.19491525423728814
6,3,0.8900626175638076,0.22058823529411764
6,4,0.6470158257930424,0.18594104308390022
6,5,0.8545863911625595,0.13636363636363635
6,6,0.7677786219392816,0.33026315789473687
6,7,0.8431474010143322,0.12878787878787878
6,8,0.630025254262126,0.0014326647564469914
6,9,0.8920318859414794,0.208955223880597
6,10,0.8476125182691531,0.3486238532110092
6,11,0.7091107296483232,0.24087591240875914
6,12,0.7414355001206239,0.0
6,13,0.8728686510706452,0.4392523364485981
6,14,0.6579087719127282,0.0
6,15,0.8731736008709232,0.4036697247706422
6,16,0.6340533730549509,0.1018957345971564
6,17,0.7903879351634192,0.40540540540540543
6,18,0.7611548566357353,0.3333333333333333
6,19,0.8516717835754409,0.2805755395683453
6,20,0.751254194187212,0.35714285714285715
7,1,0.6492690680180234,0.09448818897637795
7,2,0.8224513568647466,0.2358490566037736
7,3,0.8218965737925159,0.07317073170731707
7,4,0.7618451679926428,0.07964601769911504
7,5,0.7532636078376399,0.1
7,6,0.7330834970350641,0.0
7,7,0.7921470140963305,0.0
7,8,0.7818802158255942,0.015384615384615385
7,9,0.7437866391817102,0.1676300578034682
7,10,0.7851477985020079,0.006944444444444444
7,11,0.7704421739187268,0.04065040650406504
7,12,0.7792532292174474,0.02976190476190476
7,13,0.815668429490997,0.1437125748502994
7,14,0.719062289526142,0.008
7,15,0.7048769800206541,0.176056338028169
7,16,0.6699748518413511,0.0
7,17,0.7852670953712126,0.11711711711711711
7,18,0.7974971254207047,0.17355371900826447
7,19,0.7914437532528441,0.0
7,20,0.7176845331687337,0.18357487922705315
8,1,0.5191939943045673,0.0
8,2,0.7983100401639147,0.010582010582010581
8,3,0.7071735475378894,0.04779411764705882
8,4,0.6603020441351454,0.0
8,5,0.691935177611066,0.0
8,6,0.7293318425752938,0.007462686567164179
8,7,0.6833152262279595,0.014492753623188406
8,8,0.5543031299364074,0.0
8,9,0.6939537624142347,0.0
8,10,0.797414255374727,0.0
8,11,0.7087925665675525,0.11513157894736842
8,12,0.7562474430875568,0.060810810810810814
8,13,0.6463392772380154,0.0
8,14,0.8266071138486971,0.20202020202020202
8,15,0.7116690305404664,0.026525198938992044
8,16,0.8121587256540165,0.01293103448275862
8,17,0.7526752647711926,0.023255813953488372
8,18,0.6545410245407072,0.017543859649122806
8,19,0.6490447627311351,0.0
8,20,0.6770938049152665,0.003484320557491289
