covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,-1004300.8552456154,-1005200.9746595263,True,3.646193999999923,1577,0.4676749703440095
spherical,3,-1029705.7561999197,-1031058.9969514456,True,0.6950185000000602,898,0.26631079478054565
spherical,4,-1046955.130494794,-1048761.492583935,True,1.0028375000001688,674,0.19988137603795966
spherical,5,-1059027.0280645366,-1061286.5114912926,True,1.603970499999832,499,0.14798339264531435
spherical,6,-1068305.6841223303,-1071018.2888867012,True,1.2821592999998757,411,0.12188612099644128
spherical,7,-1074867.9121429417,-1078033.6382449276,True,1.2716017000002466,379,0.11239620403321471
spherical,8,-1080410.0458285252,-1084028.893268126,True,1.2923376999997345,310,0.09193357058125741
spherical,9,-1084678.3533634662,-1088750.3221406823,True,1.3950734000000011,258,0.07651245551601424
spherical,10,-1088501.3293504878,-1093026.4194653188,True,2.406127600000218,224,0.066429418742586
spherical,11,-1092053.0551559785,-1097031.2666084245,True,2.349135699999806,166,0.04922894424673784
spherical,12,-1094440.5151845082,-1099871.847974569,True,2.3940089999996417,128,0.03795966785290629
diag,2,-1246129.3629354201,-1247898.9854566464,True,1.3179958000000624,1252,0.37129300118623965
diag,3,-1291677.753168151,-1294335.24858065,True,0.8837825000000521,641,0.19009489916963226
diag,4,-1313127.7446533672,-1316673.1129571388,True,1.0442253999999593,479,0.14205219454329773
diag,5,-1332782.037175908,-1337215.2783709522,True,1.7456999000000906,449,0.13315539739027282
diag,6,-1347146.4970361837,-1352467.6111225006,True,2.3769962999999734,330,0.09786476868327403
diag,7,-1354597.9253009136,-1360806.9122785032,True,1.6942242000000078,302,0.08956109134045077
diag,8,-1359465.2552235185,-1366562.1150923807,True,1.5652396000000408,246,0.07295373665480427
diag,9,-1364288.3628959362,-1372273.095656071,True,2.30566620000036,173,0.051304863582443655
diag,10,-1368617.792150035,-1377490.3978014425,True,2.3138007000006837,169,0.05011862396204033
diag,11,-1372315.9257810132,-1382076.4043236934,True,2.258833699999741,130,0.03855278766310795
diag,12,-1375150.5691274256,-1385798.9205613784,True,2.4273345000001427,103,0.030545670225385527
tied,2,-1485911.6940078854,-1502891.49764581,True,2.7840855000004012,243,0.07206405693950178
tied,3,-1487378.386497989,-1504805.1882122096,True,6.305000100000143,123,0.036476868327402136
tied,4,-1488401.0988496563,-1506274.8986401726,True,4.816140900000391,96,0.028469750889679714
tied,5,-1489581.5298352486,-1507902.3277020608,True,8.948095400000057,63,0.018683274021352312
tied,6,-1490448.6624991335,-1509216.4584422417,True,8.084535699999833,54,0.01601423487544484
tied,7,-1495472.1704508562,-1514686.9644702603,True,10.72824059999948,2,0.0005931198102016608
tied,8,-1491829.7205909148,-1511491.5126866146,True,10.90029290000075,48,0.014234875444839857
tied,9,-1492543.7905665145,-1512652.5807385102,True,12.29777759999979,2,0.0005931198102016608
tied,10,-1498285.6608419996,-1518841.4490902913,True,15.579809700000624,2,0.0005931198102016608
tied,11,-1499038.7643716682,-1520041.5506962559,True,17.7033263000003,2,0.0005931198102016608
tied,12,-1499579.1920613262,-1521028.9764622096,True,19.959459299999253,2,0.0005931198102016608
full,2,-1534979.881504528,-1568051.6158891045,True,7.7834186000000045,1287,0.3816725978647687
full,3,-1559841.6547021922,-1609452.3179097166,True,10.213866699999926,552,0.16370106761565836
full,4,-1554317.7539899216,-1620467.3460203938,True,9.40910310000072,323,0.0957888493475682
full,5,-1545698.4152393814,-1628386.9360928014,True,10.783811299999797,324,0.09608540925266904
full,6,-1534107.5468214918,-1633334.9964978597,True,13.22435250000035,214,0.0634638196915777
full,7,-1514004.2707807454,-1629770.6492800612,True,12.280788500000199,83,0.02461447212336892
full,8,-1498160.5018381437,-1630465.8091604072,True,15.70786709999993,93,0.027580071174377226
full,9,-1480619.0152321241,-1629463.2513773355,True,19.177112000000307,68,0.020166073546856466
full,10,-1463727.6469854505,-1629110.8119536098,True,21.67303660000016,79,0.0234282325029656
full,11,-1444235.6613296722,-1626157.7551207792,True,24.420998200000213,50,0.01482799525504152
full,12,-1427011.4684486943,-1625472.4910627492,True,24.25067620000027,50,0.01482799525504152
