K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.3898707334474234,0.6441821247892074
2,2,0.772284033046397,0.860178204249486
2,3,-0.024853017317735832,0.23485554520037277
2,4,0.4599828325831951,0.6769964243146603
2,5,0.3158849866004783,0.6103484688489969
2,6,0.32739645689643776,0.6064410480349345
2,7,0.4108223241914224,0.6526980482204363
2,8,0.4967584896091917,0.6950920245398773
2,9,-0.02089825413134949,0.25393154486586494
2,10,0.3545790933857798,0.6045296167247387
2,11,0.37348844069768217,0.6233467510063255
2,12,0.33211724579191143,0.6198083067092651
2,13,0.3678635631525611,0.6448848419925013
2,14,0.35053805633387125,0.6063037249283668
2,15,0.49199587443798004,0.6986219292989815
2,16,-0.017677005903241314,0.09907834101382489
2,17,-0.006176134306763438,0.3045897079276773
2,18,0.34666568343863907,0.6272189349112426
2,19,0.3432080453196007,0.6173245614035088
2,20,0.4390929761761513,0.6594724220623501
3,1,0.6791186608863946,0.46899841017488075
3,2,0.6675539172084549,0.4843517138599106
3,3,0.7253134482871795,0.4818181818181818
3,4,0.6417074521922878,0.4634433962264151
3,5,0.7973512249609288,0.7013574660633484
3,6,0.13161980611202234,0.18652589240824535
3,7,0.7673818938293963,0.6186186186186187
3,8,0.6621272272542323,0.42771084337349397
3,9,0.674028432818562,0.5134328358208955
3,10,0.6908646540522819,0.5733157199471598
3,11,0.5888151087131589,0.4724220623501199
3,12,0.7248293549224124,0.47846153846153844
3,13,0.7843226026609658,0.6207951070336392
3,14,0.8102699959135118,0.6850507982583455
3,15,0.5155428399860521,0.3282051282051282
3,16,0.4701619679437403,0.3501611170784103
3,17,0.5044964319198816,0.3711843711843712
3,18,0.5883192754453324,0.3789954337899543
3,19,0.6355255294400252,0.4421052631578947
3,20,0.7172438939660332,0.5435356200527705
4,1,0.7249074619862116,0.344
4,2,0.6208170288750003,0.4119496855345912
4,3,0.7545292383743979,0.5903271692745377
4,4,0.605889793435275,0.12075471698113208
4,5,0.7260455258367351,0.5059171597633136
4,6,0.6139050725041495,0.3959445037353255
4,7,0.8031915512089319,0.6856287425149701
4,8,0.7730717319580535,0.5611620795107034
4,9,0.7479550197858907,0.35645472061657035
4,10,0.7889859414946959,0.5963020030816641
4,11,0.7021666971363807,0.4806973848069738
4,12,0.7458571738434823,0.5497237569060773
4,13,0.7452580838825453,0.3799621928166352
4,14,0.845291217990974,0.6172839506172839
4,15,0.5780244093480729,0.166044776119403
4,16,0.7245805519284509,0.49166666666666664
4,17,0.6545669771506576,0.48
4,18,0.7911467959074852,0.5817655571635311
4,19,0.8042403468738705,0.551779935275081
4,20,0.6245407363079861,0.13172541743970315
5,1,0.5279089873673101,0.050880626223091974
5,2,0.5468840201850519,0.03131115459882583
5,3,0.6408322693669137,0.0
5,4,0.6130429062437617,0.31204379562043794
5,5,0.4145347248748633,0.038834951456310676
5,6,0.4525863480980419,0.047619047619047616
5,7,0.4791807416969149,0.11264822134387352
5,8,0.5930000591697481,0.15187376725838264
5,9,0.5121578188059057,0.09477756286266925
5,10,0.37455734826425674,0.03663003663003663
5,11,0.5762099412766639,0.05860113421550094
5,12,0.632245692565082,0.07436399217221135
5,13,0.6341521542947022,0.021032504780114723
5,14,0.616065408168824,0.08302583025830258
5,15,0.41096426808373543,0.042444821731748725
5,16,0.658285028512399,0.09695817490494296
5,17,0.40240948119855957,0.09416195856873823
5,18,0.49575806283988255,0.07212475633528265
5,19,0.6427553425970025,0.04961832061068702
5,20,0.43135846785520976,0.11456859971711457
6,1,0.535485613229506,0.11627906976744186
6,2,0.5619882414573458,0.012195121951219513
6,3,0.4751895132139454,0.009036144578313253
6,4,0.46854720724929316,0.0121580547112462
6,5,0.5015986417782982,0.1391614629794826
6,6,0.4607829113671986,0.0998062015503876
6,7,0.5191911547758515,0.10309278350515463
6,8,0.5383174644467533,0.14473684210526316
6,9,0.5140592672240156,0.01089108910891089
6,10,0.4820428147917522,0.11208791208791209
6,11,0.5557828621758185,0.15546218487394958
6,12,0.47078974728133977,0.026041666666666668
6,13,0.5388122613778237,0.01580135440180587
6,14,0.47535396701397264,0.17990867579908676
6,15,0.522917918617161,0.17662337662337663
6,16,0.5580793838827036,0.13243243243243244
6,17,0.5366472232745759,0.1934673366834171
6,18,0.4969614935893974,0.06581352833638025
6,19,0.5379974292426849,0.01524390243902439
6,20,0.5210825792156315,0.03208556149732621
7,1,0.5649634820003258,0.012376237623762377
7,2,0.4197761799560278,0.053784860557768925
7,3,0.4414171880932678,0.20954003407155025
7,4,0.45676920294071305,0.03374777975133215
7,5,0.48230353641942525,0.04967602591792657
7,6,0.4122959797113802,0.0
7,7,0.5166537487083749,0.09462365591397849
7,8,0.4603037712983567,0.15261958997722094
7,9,0.5443769272857273,0.2883435582822086
7,10,0.4060834034101752,0.05
7,11,0.4881637139517326,0.07311827956989247
7,12,0.5032474890621835,0.04357298474945534
7,13,0.471799462191179,0.043933054393305436
7,14,0.37497065763095294,0.01564945226917058
7,15,0.38738318170183883,0.0027100271002710027
7,16,0.43487947816840833,0.0
7,17,0.4824420513074112,0.005376344086021506
7,18,0.3893038918893622,0.0
7,19,0.43748647661986706,0.0654627539503386
7,20,0.5655121333629998,0.116331096196868
8,1,0.5105602831564882,0.0064516129032258064
8,2,0.4864678604521177,0.0025575447570332483
8,3,0.5203740684021029,0.35714285714285715
8,4,0.4332239346042547,0.024154589371980676
8,5,0.5178984719178618,0.1967741935483871
8,6,0.5650980763447042,0.009345794392523364
8,7,0.4048938820469495,0.06772009029345373
8,8,0.5164831377843344,0.009900990099009901
8,9,0.46649980358281323,0.0035714285714285713
8,10,0.5488206614950178,0.006430868167202572
8,11,0.5589165197825388,0.0
8,12,0.4359095794708874,0.0
8,13,0.4345453003156489,0.0
8,14,0.4616990125004591,0.003125
8,15,0.5623429842710127,0.0
8,16,0.4895238381437931,0.00949367088607595
8,17,0.47633781158422744,0.008547008547008548
8,18,0.4572619831701021,0.017766497461928935
8,19,0.5804056937930212,0.0
8,20,0.46991957691023534,0.0
