lsoa,boardings_Weekday,boardings_Saturday,boardings_Sunday,alightings_Weekday,alightings_Saturday,alightings_Sunday
E01000001,854.1910999999999,499.51659000000006,388.79609999999997,351.2564999999999,332.81432,212.81816
E01000005,2426.8226500000005,1975.8019,1618.74892,2220.1169100000006,2261.76558,1876.8530500000002
E01000008,45.57725,32.25834,43.25626,127.27691999999999,102.44972999999999,71.86215999999999
E01000009,6624.805899999999,5821.18123,5029.271699999999,5091.9141899999995,4554.59262,4362.001289999999
E01000011,62.91236,71.69189999999999,52.47741,92.05456000000002,100.07107,61.19383
E01000013,2140.42508,1312.7527599999999,1077.0565,1376.0470100000002,1050.84227,971.57806
E01000017,254.97524999999996,168.29629,194.59253,422.32699999999994,339.20354000000003,251.58238000000003
E01000019,42.72685,25.318730000000002,30.220439999999996,51.4771,36.79119,25.323559999999997
E01000021,99.68038,77.94894,52.03586,118.84242,108.48648999999999,72.84122000000002
E01000024,385.78909000000004,345.3637,354.84841,698.3835700000001,563.3733199999998,432.68994999999995
E01000027,239.34363,243.62427999999997,194.97179,486.05170000000004,400.41981000000004,248.78707999999997
E01000029,142.20154000000002,107.28743999999999,120.19595999999999,316.88730999999996,226.06161999999998,173.51754
E01000030,64.71392,49.36125,55.54821999999999,179.20217999999997,149.05797999999996,88.85857999999999
E01000031,55.20652,36.2125,39.41295,91.16917,59.76659999999999,44.35255
E01000032,217.90267999999998,191.00375,127.50978,198.44459999999995,177.46101999999996,118.97147
E01000034,181.40339,91.69987000000002,99.83384,267.11992,177.4458,118.39000000000003
E01000035,281.65638,227.13019,185.33073,349.55964,297.44403000000005,218.24698999999998
E01000036,330.92383,211.09823999999998,146.22543000000002,283.32435,206.14371,199.96985999999998
E01000038,16.60912,16.79864,15.587049999999998,33.10430999999999,21.74967,16.10254
E01000040,119.49015999999999,114.21587,97.40719,227.44471000000004,208.12689000000003,150.75803000000002
E01000041,48.75520000000001,46.460950000000004,51.74474,112.08519,109.20788,89.04582
E01000042,80.91221999999999,56.944100000000006,58.425760000000004,114.56260999999999,94.51666,96.09805
E01000043,48.07753999999999,34.975139999999996,25.036689999999997,46.092859999999995,49.64234,28.89809
E01000045,249.55237000000002,186.58536,197.91419000000005,306.92977,235.19457000000006,187.33821
E01000049,41.00431999999999,35.0205,27.37642,24.114529999999995,26.093500000000002,18.953979999999998
E01000050,436.11298999999997,363.68646,328.95649999999995,582.8402300000001,460.69941,356.15508000000005
E01000052,141.27966,100.0952,116.59816000000001,298.42224,227.16328,183.13567000000006
E01000057,72.20194,63.99681999999999,49.27549,66.91422,77.69893,53.18201
E01000058,49.69471,46.27594,40.90588,82.58738,62.74280999999999,50.442609999999995
E01000060,712.5873099999999,596.6637400000002,520.8518,1001.4449,829.37021,659.7170600000001
E01000061,287.85972,227.39307999999997,205.00535,346.59388999999993,303.15760000000006,224.30056000000005
E01000062,32.87253,20.93716,28.171,87.61336999999999,56.98498,36.27951
E01000063,79.87123,59.60410999999999,85.97968,26.94379,24.099870000000006,24.347310000000004
E01000064,140.12745,119.03101999999998,114.54606000000001,205.14775000000003,155.04709,112.75218000000001
E01000065,57.83064,31.640260000000005,45.6685,135.008,64.12795999999999,53.06009999999999
E01000067,143.6983,139.10646,108.60142,194.10244000000006,192.75332999999998,154.52058000000002
E01000068,56.45768999999999,60.84182,58.802310000000006,65.83814000000001,61.403400000000005,53.17501000000001
E01000070,342.60453,310.1652200000001,272.63986,437.1823999999999,369.5684299999999,312.2068099999999
E01000071,28.09899,29.8723,18.24633,31.926839999999995,42.76137000000001,21.452339999999996
E01000072,89.48438999999999,66.41752000000001,67.82694000000001,150.51734,132.91209,81.74786
E01000073,34.50826,24.5199,29.371899999999997,38.525059999999996,27.052259999999997,24.5075
E01000074,47.2654,34.23588,30.520089999999996,61.96287,44.335480000000004,30.213799999999996
E01000075,554.5709,401.92564999999996,315.64179,412.65227999999996,428.45023999999995,338.665
E01000077,37.726820000000004,25.404339999999998,36.71997999999999,66.06615,45.23568,36.99361000000001
E01000078,156.71475,141.99525,112.87168999999999,220.65497999999997,176.35353999999998,135.64212
E01000079,37.54578,20.643409999999996,21.532230000000002,49.841,35.17583,25.28558
E01000080,25.67861,20.645049999999994,20.15254,39.64782999999999,23.169549999999997,20.881999999999998
E01000082,254.45979,226.22440999999998,232.57753000000002,588.0177199999999,448.85364,380.2486200000001
E01000083,572.03349,492.61694,469.74222,881.2973700000001,734.90157,557.38282
E01000084,141.64124999999999,84.91184999999999,95.6072,68.68288,57.924060000000004,43.621550000000006
E01000085,51.80777,38.233219999999996,42.64006,90.37487,80.06177000000001,62.17325
E01000086,70.56071999999999,55.51519000000001,62.14277,113.7902,89.67035,68.51266
E01000087,683.6014600000001,531.0386400000002,443.65195,1051.10984,785.23306,581.03667
E01000088,98.83998,64.38602,86.37728000000001,135.41876,110.70391000000001,73.62989
E01000090,92.94356,58.2344,71.42176,216.40956999999997,143.33534,112.03464
E01000091,149.36992,129.62386999999998,129.11653,591.8907,475.4046000000001,407.19293999999996
E01000093,255.31246000000004,237.71913,221.70666000000006,445.87199999999996,368.89478999999994,255.59972000000002
E01000094,296.3147,242.36747000000003,222.40328,461.27368,376.3875699999999,301.21335000000005
E01000095,634.8338800000001,528.8098600000001,357.81577999999996,579.65121,435.35516,374.76483
E01000096,153.89500999999998,91.56725999999999,82.05945,162.1649,118.91325,81.24595
E01000097,39.35601,25.397679999999998,17.2331,33.04478999999999,27.593269999999997,21.302319999999995
E01000098,145.32569,160.2721,115.23412000000002,274.89303,220.432,155.00904
E01000099,176.45907000000003,152.87828,147.94771,319.74482000000006,250.56534000000002,208.39036999999996
E01000101,117.44439,110.51475,87.02752999999998,223.29121999999998,192.87623,145.82548999999997
E01000104,159.34171,139.59497,113.10074999999999,280.65105,270.1507,193.0046
E01000105,198.38929999999996,167.92639,112.04440999999998,190.24636,160.74277000000004,151.72934000000004
E01000106,66.15426,56.181990000000006,49.07352,118.82171,113.18327000000001,67.17938000000001
E01000110,63.34850999999999,56.40785000000002,47.564370000000004,113.88534000000001,95.77168999999999,72.98069000000001
E01000111,161.54686999999996,135.77955,133.72589,231.92793000000003,170.53346000000002,123.07147
E01000112,281.92633,246.93718000000004,210.09604,405.15812000000005,343.1966699999999,261.91431
E01000113,745.45303,626.76137,431.0176900000001,451.60711000000003,372.6461300000001,325.81681999999995
E01000114,355.33356999999995,255.58857,240.39824,501.4120000000001,366.1589400000001,292.74613
E01000118,165.43322999999998,154.46712,120.15681,345.84414000000004,268.7292,191.14504999999997
E01000120,71.52888,77.16375,50.379000000000005,75.06468000000001,63.15036,47.52816
E01000121,20.50789,13.859509999999998,17.90276,48.14816,26.818029999999997,32.383
E01000123,21.04143,18.57584,10.077830000000002,61.42969999999998,42.3047,30.10414
E01000124,57.45921,51.43512,38.24862,77.55532,68.11505000000001,54.50022
E01000126,96.92872000000001,75.23002000000001,79.56465000000001,182.67138999999997,149.28981000000005,106.00907000000001
E01000127,52.906530000000004,47.49177000000001,50.02816,105.14061,92.32396999999999,60.05134000000001
E01000128,17.866509999999998,18.72121,19.535059999999998,54.20360000000001,36.15160000000001,29.373950000000004
E01000129,1614.07876,1412.2911,1175.09203,1605.84531,1436.3222899999998,1091.67063
E01000130,156.17746,105.79058000000002,100.20774,315.89738,224.97035999999994,167.60360000000003
E01000131,121.46348999999998,133.09434,85.66874999999999,124.50572000000001,130.92353,77.69574
E01000133,60.83543999999999,57.768080000000005,60.32345,197.02763,164.76899,136.20598
E01000134,22.48918,17.02176,9.77904,59.37771999999999,56.37724000000001,33.25459
E01000135,36.65192,31.003070000000005,24.783029999999993,98.21048,97.13253000000003,63.418829999999986
E01000136,121.33725,123.37938000000001,92.15878000000001,126.35150999999996,127.55073000000002,81.82880999999998
E01000138,97.76012999999999,95.93835999999999,76.65854,225.53478,177.17936,133.27717
E01000139,424.84359,418.30510999999996,293.79592999999994,886.8838899999998,675.44676,578.98072
E01000140,416.91213,362.61881000000005,286.11158,721.9946199999999,537.0541099999999,463.32367
E01000141,2105.0034600000004,2056.1350199999997,1672.4532000000004,2788.3748,2569.81223,2145.55815
E01000143,132.42492,113.86797999999997,89.15508999999999,211.57872999999995,179.96210000000002,165.30212
E01000144,291.3480200000001,261.28758999999997,269.73278000000005,202.67354000000006,218.71891999999994,168.94921
E01000146,2802.8908300000003,2425.0683299999996,2150.43843,1864.50706,1752.87002,1468.9421899999998
E01000150,184.24045,142.68679000000003,146.86180000000002,277.46765,232.55062999999998,189.83593999999997
E01000151,183.30081,160.6214,128.58954,318.70339000000007,268.13972,183.78846999999996
E01000152,17.16575,21.248410000000003,11.63877,44.009510000000006,36.730959999999996,32.767379999999996
E01000154,273.46631,171.35881999999995,141.29167,353.36144999999993,246.96703,196.77445
E01000156,263.20662999999996,279.55960000000005,171.93483,704.3787699999999,512.97329,418.33563
E01000160,130.34418,124.97579999999998,94.07150000000001,147.79674,134.8316,116.76159
E01000161,155.80361,164.12727999999998,97.21127000000004,289.11006,252.93766000000002,173.27145000000002
E01000162,418.70860999999996,383.99409,307.80562,644.61321,564.9876699999998,417.23622
E01000164,418.68606,445.5978400000001,251.96267999999998,808.1510899999998,669.92177,442.34966000000003
E01000170,68.01537,62.1788,50.34734,130.19702,92.28462000000002,76.58837000000001
E01000171,416.17785999999995,311.53337,195.62197999999998,434.76461,374.37786000000006,230.79813
E01000172,22.00105,16.853330000000003,12.346239999999998,43.91430999999999,25.131600000000002,17.834789999999998
E01000173,30.21877,27.404400000000003,15.62305,22.08877,19.02984,14.309959999999998
E01000174,127.46606000000003,109.80312,73.52279000000001,199.17071,186.67588,111.91541000000001
E01000175,21.736,14.124880000000001,10.38412,41.73292,26.40774,23.79615
