alpha,cluster_aligned_to_alpha5,metric,mean,median,p10,p90
0.0,0,total_activity,3156.4629987991493,1650.5029749999999,634.342335,6822.354953
0.0,0,direction_balance,-0.10169402462232412,-0.11620931077042956,-0.3271130577559817,0.15265295593007105
0.0,0,post_midnight_share,0.11657701613964803,0.11197034742961602,0.06797971424113586,0.16991330485276937
0.0,0,deep_night_share,0.06882361966550561,0.06414217937656518,0.033489161818264675,0.10890212655063929
0.0,0,post_midnight_persistence,0.1967644511991633,0.18172447770444164,0.10377735273203723,0.30281658392563854
0.0,0,weekend_ratio,0.7989758323934367,0.7936258876460227,0.6963793064634658,0.9023330521901589
0.0,1,total_activity,350.6025645850452,256.00315,85.29787,680.0917420000005
0.0,1,direction_balance,-0.1812983150363176,-0.19755284267219408,-0.4589097640308869,0.13367295920606806
0.0,1,post_midnight_share,0.06538858937431181,0.06137957728051059,0.021827180619112728,0.11345174225211534
0.0,1,deep_night_share,0.040459947124024565,0.035395465556396395,0.003537979541144766,0.08191719119783525
0.0,1,post_midnight_persistence,0.10048664473167275,0.09185340982238148,0.03099887114329754,0.18298652986685873
0.0,1,weekend_ratio,0.7600469817078348,0.7462523912663453,0.6044320562490728,0.9154989778270832
0.0,2,total_activity,1128.5290154858299,384.71857,126.666333,1096.7827719999998
0.0,2,direction_balance,-0.1053136181567668,-0.133469928200595,-0.42544582183403507,0.26649483700709803
0.0,2,post_midnight_share,0.15758060506774316,0.14461290466905383,0.08293164044239804,0.2515692860705057
0.0,2,deep_night_share,0.10194293033553238,0.08900013424519478,0.04028465178939305,0.17502438992553876
0.0,2,post_midnight_persistence,0.28601333786784644,0.24150073440792238,0.1297478262167088,0.488768669543557
0.0,2,weekend_ratio,0.8219855410346211,0.799188938191328,0.6590148204402563,0.9934103788175036
5.0,0,total_activity,3382.2244805232212,1778.0086,724.25687,7391.17422
5.0,0,direction_balance,-0.09428273083678007,-0.10745818777897101,-0.31734272357393567,0.1565375803044365
5.0,0,post_midnight_share,0.11855855741910744,0.11373071274879709,0.07059634442449167,0.17101535341793475
5.0,0,deep_night_share,0.06986367711136977,0.065175329174033,0.03487819862077996,0.11098954016585386
5.0,0,post_midnight_persistence,0.20071681285064072,0.1850355120657617,0.10811139109733361,0.30948143416233204
5.0,0,weekend_ratio,0.8013583098126827,0.795720752786567,0.7010498292317526,0.9026060877317027
5.0,1,total_activity,416.954060658083,292.01815,91.54816,860.092194
5.0,1,direction_balance,-0.18128349710792807,-0.19493802549368067,-0.45388994974816005,0.12360365056057837
5.0,1,post_midnight_share,0.06859309663754516,0.06479479095509569,0.02442685925099834,0.11720077561883986
5.0,1,deep_night_share,0.04222118781494781,0.036845058575081226,0.005314259867869476,0.08393393437425667
5.0,1,post_midnight_persistence,0.10590130298170897,0.09645646080988352,0.03379127355302768,0.18993605947208603
5.0,1,weekend_ratio,0.7615476068711061,0.7483006719474679,0.6081970655406411,0.915377124296617
5.0,2,total_activity,1191.446154493927,407.642825,129.490615,1389.2322239999996
5.0,2,direction_balance,-0.1017082530315971,-0.13197744317059742,-0.4077636711042875,0.26343040455919253
5.0,2,post_midnight_share,0.1604441726267821,0.14730069656431136,0.09179231109976815,0.2523679075544062
5.0,2,deep_night_share,0.10376979780250084,0.08931669110339117,0.04348543143114423,0.17589939346014125
5.0,2,post_midnight_persistence,0.2923567054142068,0.24785772678856743,0.14648392378309574,0.4905825464756801
5.0,2,weekend_ratio,0.8237986056210654,0.7999364878644286,0.6638185585690445,0.9895828301050172
20.0,0,total_activity,3555.240468847631,1889.594635,722.679784,7786.507273000001
20.0,0,direction_balance,-0.09373968629469735,-0.10693649441633135,-0.3154054698326978,0.1591410767885932
20.0,0,post_midnight_share,0.12350240071689512,0.11921174018692496,0.07532222223060726,0.17513233546053905
20.0,0,deep_night_share,0.0730918390698137,0.06926794721201938,0.0371161572220267,0.11422426864973341
20.0,0,post_midnight_persistence,0.210510027813361,0.19609572511339896,0.11435404960897291,0.3207250146375216
20.0,0,weekend_ratio,0.8061298634319563,0.7992147404209304,0.7054146024948812,0.9054436176037892
20.0,1,total_activity,489.89180355402874,328.48075,96.76393,1012.36797
20.0,1,direction_balance,-0.17881639945171993,-0.19412212669191373,-0.44674887991507783,0.11678182512983891
20.0,1,post_midnight_share,0.07180101645393135,0.06831167412113488,0.027404159379899092,0.11883426975519978
20.0,1,deep_night_share,0.044069462988302784,0.03914212951040147,0.007214100703748,0.08552725084923392
20.0,1,post_midnight_persistence,0.11089689555224792,0.10278354828248233,0.038493540099439956,0.19371699229432623
20.0,1,weekend_ratio,0.7582782637892868,0.7482994832351881,0.6108299403736257,0.9062664021336247
20.0,2,total_activity,1365.203787581395,419.821245,128.19911199999999,1888.142088000001
20.0,2,direction_balance,-0.07289926882170794,-0.08925763073854845,-0.3925836453182427,0.2695378510532329
20.0,2,post_midnight_share,0.1603639518239208,0.1460451044834461,0.08228416611372129,0.2587251296285453
20.0,2,deep_night_share,0.1032580292438388,0.08859793630478188,0.03793143728374645,0.1859044187142835
20.0,2,post_midnight_persistence,0.2965835801822519,0.249449611694054,0.12712806354756903,0.5165504134027552
20.0,2,weekend_ratio,0.8407725664340054,0.80589474996068,0.6693528825488976,1.0146864822835222
50.0,0,total_activity,3366.1700389171974,1714.08544,415.962316,7808.251483999999
50.0,0,direction_balance,-0.11560695450172657,-0.13396793932851794,-0.33667649176637465,0.13931661055432987
50.0,0,post_midnight_share,0.13535989952544314,0.12917518966186745,0.09003702148872375,0.18831173110239866
