lsoa,alpha,cluster_raw,cluster_aligned_to_alpha5,max_posterior,normalized_entropy,total_activity,activity_band,min_direction_reliability
E01000001,0.0,0,0,0.9999999999595843,9.177279725959533e-10,2639.39277,at_least_450,1.0
E01000002,0.0,1,2,1.0,1.1092565577396606e-135,186.04697,below_450,1.0
E01000005,0.0,0,0,1.0,3.01182770186072e-13,12380.10901,at_least_450,1.0
E01000007,0.0,2,1,1.0,1.704023870065686e-15,135.92386,below_450,1.0
E01000008,0.0,2,1,1.0,1.0574002359733031e-13,422.68066,below_450,1.0
E01000009,0.0,0,0,1.0,5.85469772267832e-14,31483.76693,at_least_450,1.0
E01000011,0.0,2,1,1.0,7.085596662701533e-13,440.40113,below_450,1.0
E01000013,0.0,0,0,0.9999999999932356,1.6761366436537097e-10,7928.70168,at_least_450,1.0
E01000017,0.0,0,0,0.6082507627943631,0.6094271326230497,1630.97699,at_least_450,1.0
E01000019,0.0,2,1,0.9999999999998863,3.0968884350612054e-12,211.85787,below_450,1.0
E01000020,0.0,2,1,1.0,4.236128497052757e-17,106.56273,below_450,1.0
E01000021,0.0,2,1,0.9992558402323886,0.0055563334994924605,529.83531,at_least_450,1.0
E01000024,0.0,0,0,0.9999999999999432,9.52530347687781e-13,2780.44804,at_least_450,1.0
E01000027,0.0,0,0,0.9999989633805314,1.394556206938372e-05,1813.19829,at_least_450,1.0
E01000029,0.0,2,1,0.9999989154612959,1.4579382329289568e-05,1086.15141,at_least_450,1.0
E01000030,0.0,2,1,0.9999998486351388,2.3015701414903907e-06,586.74213,at_least_450,1.0
E01000031,0.0,2,1,0.9999993676750886,8.791307970366663e-06,326.12029,below_450,1.0
E01000032,0.0,0,0,0.9999999990521928,1.8797177263123956e-08,1031.2933,at_least_450,1.0
E01000034,0.0,2,1,0.9999999964160224,6.675027511387583e-08,935.89282,at_least_450,1.0
E01000035,0.0,0,0,0.9999998748381892,1.9246469023136722e-06,1559.36796,at_least_450,1.0
E01000036,0.0,0,0,0.9997143488679809,0.0023818547390902327,1377.68542,at_least_450,1.0
E01000038,0.0,2,1,0.9999999996562678,7.130873766297462e-09,119.95133,below_450,1.0
E01000040,0.0,0,0,0.9954767710163943,0.02633482951431654,917.44285,at_least_450,1.0
E01000041,0.0,2,1,0.9999861484484814,0.00015365803509997163,457.29978,at_least_450,1.0
E01000042,0.0,2,1,0.7092441219437431,0.5487168754712612,501.4594,at_least_450,1.0
E01000043,0.0,2,1,0.9999999999977263,5.689016324602357e-11,232.72266,below_450,1.0
E01000045,0.0,0,0,0.9999643599117691,0.00036470249639962324,1363.51447,at_least_450,1.0
E01000049,0.0,2,1,0.9999999999994884,1.427697495669793e-11,172.56324999999998,below_450,1.0
E01000050,0.0,0,0,0.9999999347150513,1.0425805869654726e-06,2528.45067,at_least_450,1.0
E01000052,0.0,0,0,0.9996655545872541,0.0027557145696065315,1066.69421,at_least_450,1.0
E01000057,0.0,2,1,0.9999938341241211,7.294379338691942e-05,383.26941,below_450,1.0
E01000058,0.0,2,1,0.9999999903993739,1.701446209528428e-07,332.64933,below_450,1.0
E01000060,0.0,0,0,1.0,1.4920747227157374e-15,4320.63502,at_least_450,1.0
