alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
0.0,0,boardings,Weekday,1080,0.10853289723478411
0.0,0,boardings,Weekday,1140,0.07695189469087789
0.0,0,boardings,Weekday,1200,0.05160134130383184
0.0,0,boardings,Weekday,1260,0.036597518146631536
0.0,0,boardings,Weekday,1320,0.028208639455960142
0.0,0,boardings,Weekday,1380,0.01838041048626517
0.0,0,boardings,Weekday,1440,0.007998363428418703
0.0,0,boardings,Weekday,1500,0.0031756067449991115
0.0,0,boardings,Weekday,1560,0.002411041230540694
0.0,0,boardings,Weekday,1620,0.0036098928316426015
0.0,0,boardings,Weekday,1680,0.008547236126855817
0.0,0,boardings,Weekday,1740,0.03172739113331852
0.0,0,boardings,Saturday,1080,0.09218998961492209
0.0,0,boardings,Saturday,1140,0.07577097079861418
0.0,0,boardings,Saturday,1200,0.053551998278955494
0.0,0,boardings,Saturday,1260,0.03909382702872775
0.0,0,boardings,Saturday,1320,0.03338897801310089
0.0,0,boardings,Saturday,1380,0.0262575183768095
0.0,0,boardings,Saturday,1440,0.00620855931688028
0.0,0,boardings,Saturday,1500,0.0024132510445712433
0.0,0,boardings,Saturday,1560,0.0020273881186762942
0.0,0,boardings,Saturday,1620,0.003674578092589482
0.0,0,boardings,Saturday,1680,0.007262320134275881
0.0,0,boardings,Saturday,1740,0.01103699179888885
0.0,0,boardings,Sunday,1080,0.059865042676674377
0.0,0,boardings,Sunday,1140,0.05091436697602717
0.0,0,boardings,Sunday,1200,0.038584798107882644
0.0,0,boardings,Sunday,1260,0.027898130771069223
0.0,0,boardings,Sunday,1320,0.021157792191472822
0.0,0,boardings,Sunday,1380,0.013491734349960245
0.0,0,boardings,Sunday,1440,0.007998363428418703
0.0,0,boardings,Sunday,1500,0.0031756067449991115
0.0,0,boardings,Sunday,1560,0.002411041230540694
0.0,0,boardings,Sunday,1620,0.0036098928316426015
0.0,0,boardings,Sunday,1680,0.008547236126855817
0.0,0,boardings,Sunday,1740,0.03172739113331852
0.0,0,alightings,Weekday,1080,0.11301706177884752
0.0,0,alightings,Weekday,1140,0.08317601069235732
0.0,0,alightings,Weekday,1200,0.0564216947747357
0.0,0,alightings,Weekday,1260,0.04207082357494053
0.0,0,alightings,Weekday,1320,0.034877019082884625
0.0,0,alightings,Weekday,1380,0.025723075802665304
0.0,0,alightings,Weekday,1440,0.012572029129492556
0.0,0,alightings,Weekday,1500,0.004564465570588063
0.0,0,alightings,Weekday,1560,0.0027224453558430425
0.0,0,alightings,Weekday,1620,0.002324385662700971
0.0,0,alightings,Weekday,1680,0.0030863660860549194
0.0,0,alightings,Weekday,1740,0.011652361062145823
0.0,0,alightings,Saturday,1080,0.0859961036995762
0.0,0,alightings,Saturday,1140,0.07264291454261783
0.0,0,alightings,Saturday,1200,0.0553827717899022
0.0,0,alightings,Saturday,1260,0.0423464488503223
0.0,0,alightings,Saturday,1320,0.03706851624424303
0.0,0,alightings,Saturday,1380,0.031764699250714803
0.0,0,alightings,Saturday,1440,0.009108131327150177
0.0,0,alightings,Saturday,1500,0.0033403860219305046
0.0,0,alightings,Saturday,1560,0.0019131226433845426
0.0,0,alightings,Saturday,1620,0.0017170807181433809
0.0,0,alightings,Saturday,1680,0.0027824451811315166
0.0,0,alightings,Saturday,1740,0.005018710714226823
0.0,0,alightings,Sunday,1080,0.05863426215825324
0.0,0,alightings,Sunday,1140,0.05033511601927541
0.0,0,alightings,Sunday,1200,0.03958701243145931
0.0,0,alightings,Sunday,1260,0.030782974536571132
0.0,0,alightings,Sunday,1320,0.0247538167037047
0.0,0,alightings,Sunday,1380,0.017695695727311098
0.0,0,alightings,Sunday,1440,0.012572029129492556
0.0,0,alightings,Sunday,1500,0.004564465570588063
0.0,0,alightings,Sunday,1560,0.0027224453558430425
0.0,0,alightings,Sunday,1620,0.002324385662700971
0.0,0,alightings,Sunday,1680,0.0030863660860549194
0.0,0,alightings,Sunday,1740,0.011652361062145823
0.0,1,boardings,Weekday,1080,0.1306223091455522
0.0,1,boardings,Weekday,1140,0.08842820201722036
0.0,1,boardings,Weekday,1200,0.0550202476280831
0.0,1,boardings,Weekday,1260,0.03320695150467614
