alpha,alpha5_cluster,candidate_cluster_aligned,n
0.0,0,0,1701
0.0,0,1,0
0.0,0,2,0
0.0,1,0,140
0.0,1,1,1216
0.0,1,2,42
0.0,2,0,41
0.0,2,1,1
0.0,2,2,452
5.0,0,0,1701
5.0,0,1,0
5.0,0,2,0
5.0,1,0,0
5.0,1,1,1398
5.0,1,2,0
5.0,2,0,0
5.0,2,1,0
5.0,2,2,494
20.0,0,0,1511
20.0,0,1,183
20.0,0,2,7
20.0,1,0,1
20.0,1,1,1366
20.0,1,2,31
20.0,2,0,50
20.0,2,1,52
20.0,2,2,392
50.0,0,0,1184
50.0,0,1,458
50.0,0,2,59
50.0,1,0,21
50.0,1,1,1339
50.0,1,2,38
50.0,2,0,208
50.0,2,1,69
50.0,2,2,217
100.0,0,0,706
100.0,0,1,860
100.0,0,2,135
100.0,1,0,71
100.0,1,1,1288
100.0,1,2,39
100.0,2,0,237
100.0,2,1,92
100.0,2,2,165
200.0,0,0,573
200.0,0,1,965
200.0,0,2,163
200.0,1,0,100
200.0,1,1,1258
200.0,1,2,40
200.0,2,0,207
200.0,2,1,152
200.0,2,2,135
