alpha,K,replicate,ari_below450,ari_at_least450,ari_all
5.0,3,0,0.6092098475002891,0.5458627596637863,0.6005160538497196
20.0,3,0,0.5508784210106744,0.5288340663034163,0.5662435667640716
50.0,2,0,0.5240822320948452,0.5281616954774226,0.533537782912112
50.0,3,0,0.5357603305879117,0.46246964010051206,0.5262673791870964
100.0,2,0,0.48815869405941453,0.5218947030639126,0.5212387687238985
100.0,3,0,0.5711403278417351,0.4933108237901355,0.5438671705782909
200.0,2,0,0.4398646680435716,0.4483250273432016,0.47449958765562256
200.0,3,0,0.5361896514649519,0.47393561554797825,0.5254153541066773
5.0,3,1,0.6067259642138827,0.5542752903527035,0.6053606106677233
20.0,3,1,0.5163035570704259,0.5127276778917812,0.5447640087116848
50.0,2,1,0.5475104729952205,0.49063032365111303,0.5155210540413773
50.0,3,1,0.5091081715991601,0.4479733857098545,0.5086298982159491
100.0,2,1,0.4935827708331922,0.4711548023562421,0.48916613869329195
100.0,3,1,0.5409718902209737,0.49370015563308706,0.5354645662490427
200.0,2,1,0.5298676432211592,0.44690119824134106,0.49751044767832747
200.0,3,1,0.5589405114100932,0.471255390537871,0.5290368857216317
5.0,3,2,0.6161952461605349,0.5153498962215658,0.5794675194458302
20.0,3,2,0.536854452169059,0.5276462953440454,0.5578536802996561
50.0,2,2,0.4805084904251337,0.4907313874652875,0.493329824898948
50.0,3,2,0.49213234560023655,0.47869959169761894,0.5223245819259184
100.0,2,2,0.39533467541677225,0.48747061750998383,0.46762865203492426
100.0,3,2,0.47785709623112377,0.4914897561945953,0.5127737415003731
200.0,2,2,0.4017124394440362,0.43828803408338973,0.4576244679211123
200.0,3,2,0.45812893270775645,0.46995988611523004,0.49947977789684145
5.0,3,3,0.5727996520080293,0.5324498220872808,0.5803164900512418
20.0,3,3,0.5035405783463248,0.519278963981271,0.54488343965313
50.0,2,3,0.49494419927056127,0.5021229686059628,0.5066795154196354
50.0,3,3,0.5230426244431882,0.47348779996721546,0.5308468619493435
100.0,2,3,0.49188091572169534,0.48596496072915124,0.4982190362665279
100.0,3,3,0.543754891466459,0.4961189700806408,0.5356746592253943
200.0,2,3,0.4806241464416545,0.4007424786848356,0.4531504588571376
200.0,3,3,0.4982854624128213,0.42250567774075914,0.4754647960342478
5.0,3,4,0.6092205153556507,0.5209958135849163,0.5815506910910416
20.0,3,4,0.552876894580676,0.5161212087142448,0.5563703258501911
50.0,2,4,0.5337150701953135,0.5012117077151451,0.5186148007258014
50.0,3,4,0.5513382611485629,0.47279593729050684,0.5356214661009036
100.0,2,4,0.4633137547774767,0.5073641230164712,0.5060077880026741
100.0,3,4,0.5321732332306992,0.5144390488887434,0.5482950039521368
200.0,2,4,0.5018905185777881,0.4086120441975934,0.46393608273173353
200.0,3,4,0.523587130679051,0.48086717998492007,0.5261700682983288
5.0,3,5,0.6121670205291183,0.5406808704078415,0.5964294170178898
20.0,3,5,0.5748506976923922,0.5195961049567475,0.5659248906674118
50.0,2,5,0.4981636659730249,0.4688216573866397,0.48476909646452304
50.0,3,5,0.531346706842039,0.4837819730020037,0.5390324563343611
100.0,2,5,0.47388325820296173,0.49165568360172396,0.49472308850841407
100.0,3,5,0.522804293578377,0.5027114108111906,0.5360388099221062
200.0,2,5,0.4420150634573498,0.41084862472877176,0.4473160366034615
200.0,3,5,0.4885841691382024,0.4652504085709234,0.5037864110757465
5.0,3,6,0.5443107203468239,0.5543849765227432,0.5836978733874436
20.0,3,6,0.5015907791984743,0.5269761721822295,0.5465214331805518
50.0,2,6,0.49871270251162386,0.5343207088780796,0.5296196978837604
50.0,3,6,0.4705809950985856,0.4779882712523554,0.516140705436516
100.0,2,6,0.43119134172279744,0.48105941453273965,0.4749488120058978
100.0,3,6,0.48774998747108467,0.48563921917628866,0.5166155537621613
200.0,2,6,0.44574168581409684,0.4356747409534899,0.4651783147371064
200.0,3,6,0.5158532764190376,0.4399925917826301,0.4904833692724834
5.0,3,7,0.6084096600157717,0.5234723361953829,0.5851143123416106
20.0,3,7,0.4807290815803385,0.5251107401602978,0.5417312087661049
50.0,2,7,0.5023480760216739,0.5065325316621101,0.514569327526498
50.0,3,7,0.4811436476855687,0.480393597963164,0.5229745019982909
100.0,2,7,0.5145361370941632,0.5139189669448394,0.5260725951785339
100.0,3,7,0.5438209396499077,0.48184563045328976,0.5273487942966236
200.0,2,7,0.5037753323746171,0.4383838962882524,0.4844482283488529
200.0,3,7,0.5544850698377557,0.4579541795563746,0.5163273731031482
5.0,3,8,0.6182303559419323,0.5632986072515948,0.6130610980251237
20.0,3,8,0.5344728546929238,0.5069584822031423,0.5434114506496349
50.0,2,8,0.49406030705616205,0.46983111869465694,0.4857197571684521
50.0,3,8,0.494699534048656,0.48205315962692924,0.5262755869035717
100.0,2,8,0.44332492064570733,0.4898949954076536,0.48692351936675543
100.0,3,8,0.5463184789999466,0.4975794402636335,0.5438943405515022
200.0,2,8,0.42218627997490066,0.4386532842251179,0.46488498453905214
200.0,3,8,0.5204697543667308,0.4712532235959105,0.5175363089422494
5.0,3,9,0.6142234008800894,0.5497540630747279,0.6008499282195768
20.0,3,9,0.5498103406650711,0.5088476534494026,0.5492554689050065
50.0,2,9,0.5320628576598531,0.5109621257301711,0.5243853806846427
50.0,3,9,0.5108240396685474,0.47429573390106095,0.5252274745524105
100.0,2,9,0.4557216666720986,0.47736200444866006,0.4805164468710416
100.0,3,9,0.5456058781967855,0.49207472486700393,0.5339715979618969
200.0,2,9,0.3870614629990183,0.4542370018752318,0.46232839455909513
200.0,3,9,0.5158776198975751,0.4715851087054258,0.5139143563924375
5.0,3,10,0.6220651777326011,0.526150843253624,0.5927567763219815
20.0,3,10,0.5393187588445578,0.5156772691596578,0.5523175512791184
50.0,2,10,0.509003385033329,0.48607852254412176,0.5023801723790996
50.0,3,10,0.5175128648452757,0.5112302075074322,0.5542830050882818
100.0,2,10,0.5082917405440749,0.4891023946936448,0.5064147944874182
100.0,3,10,0.5552215439062593,0.5147956002827724,0.5587548854991613
200.0,2,10,0.4948724227257605,0.40237864552927355,0.455166605524119
