K_parent,K_child,ARI_adjacent,weighted_child_to_parent_purity,n_parent_clusters_receiving_multiple_children,smallest_child_n,smallest_child_share
2,3,0.6409672987308854,0.9384915112719177,1,494,0.13748956303924298
3,4,0.5088852128801127,0.8522126356804899,1,337,0.09379348733648761
4,5,0.7527265731916102,0.8917339270804342,1,230,0.064013359309769
5,6,0.7235951122593359,0.8555524631227387,1,156,0.04341775674923462
6,7,0.7828010490330157,0.8975786251043696,1,135,0.037573058725299195
7,8,0.5554985498275306,0.7280823824102421,1,115,0.0320066796548845
8,9,0.3912151329437983,0.6540495407737267,3,83,0.023100473142220985
9,10,0.4734225789401853,0.6440300584469802,2,91,0.025327024770386862
10,11,0.6245763945533326,0.7639855274144169,1,76,0.021152240467575842
11,12,0.5606212914524339,0.7127748399666017,1,69,0.0192040077929307
