K,cluster,n,share,median_total_activity,median_max_posterior
2,0,1996,0.5555246312273866,1590.8921,0.9999999977505922
2,1,1597,0.4444753687726134,305.26735,0.9999999999838565
3,0,1701,0.4734205399387698,1778.0086,0.9999999967596978
3,1,1398,0.3890898970219872,292.01815,0.9999999999641034
3,2,494,0.13748956303924298,407.642825,0.9999999999946567
4,0,1155,0.32145839131644866,2647.4972,0.9999963416856145
4,1,1016,0.2827720567770665,716.7229649999999,0.9999657711792261
4,2,1085,0.3019760645699972,243.41308,0.9999999848935773
4,3,337,0.09379348733648761,335.8707,0.9999999999998295
5,0,959,0.26690787642638464,846.98218,0.9999207948143217
5,1,230,0.064013359309769,315.33827499999995,0.9999997660628128
5,2,1023,0.2847202894517117,2900.7834000000003,0.9999936624874572
5,3,234,0.06512663512385193,464.303615,0.9999999999729283
5,4,1147,0.3192318396882828,252.08593,0.9999999989529442
6,0,156,0.04341775674923462,421.009215,0.9999999942562567
6,1,1081,0.30086278875591427,248.14658,0.9999999919397169
6,2,867,0.24130253270247704,3306.02715,0.9999854103638957
6,3,218,0.060673531867520177,479.40293999999994,0.9999999992051585
6,4,314,0.08739215140551071,328.36686499999996,0.9999991081075169
6,5,957,0.26635123851934317,1071.08793,0.9998929074942496
7,0,187,0.0520456443083774,522.97258,0.9999999988638137
7,1,159,0.04425271360979683,403.33898,0.999999996427448
7,2,886,0.246590592819371,1031.17864,0.9998829976008532
7,3,135,0.037573058725299195,238.34944,0.9999999755153798
7,4,279,0.077650988032285,326.12029,0.999998813113927
7,5,1037,0.28861675480100196,267.70578,0.9999998396913967
7,6,910,0.25327024770386863,3191.0744699999996,0.9999895909751111
8,0,805,0.22404675758419149,737.2161,0.999944689667148
8,1,145,0.04035624826050654,473.55888,0.9999999798615706
8,2,145,0.04035624826050654,632.41861,0.9999999999998295
8,3,1084,0.3016977456164765,2735.9326300000002,0.999994667234299
8,4,913,0.25410520456443086,258.87868,0.9999998505813436
8,5,115,0.0320066796548845,356.58292,0.9999999922384291
8,6,216,0.06011689396047871,485.02531,0.9999998084937167
8,7,170,0.047314222098524907,189.701155,0.9999997228508022
9,0,83,0.023100473142220985,1073.41679,1.0
9,1,891,0.24798218758697468,2814.47258,0.9999384478282343
9,2,204,0.05677706651822989,507.497945,0.9999978685535211
9,3,517,0.14389089897021987,148.45721,0.9999999976017193
9,4,269,0.07486779849707766,453.97921,0.9999963328389351
9,5,502,0.13971611466740885,1555.065165,0.9998735004598909
9,6,842,0.23434455886445868,511.40563499999996,0.9997951730569217
9,7,170,0.047314222098524907,333.279445,0.9999999999990337
9,8,115,0.0320066796548845,349.65581,0.9999994512643098
10,0,855,0.23796270526022822,246.63696,0.9999996962654228
10,1,130,0.03618146395769552,231.29097,0.99999999155051
10,2,91,0.025327024770386862,1163.8092,1.0
10,3,141,0.0392429724464236,366.21738,0.9999999995923758
10,4,532,0.1480656832730309,601.01133,0.999822924367847
10,5,126,0.03506818814361258,512.4772800000001,0.9999999996982183
10,6,1003,0.27915391038129694,2898.55425,0.9999967096610038
10,7,488,0.13581964931811857,962.280535,0.9998285608616645
10,8,98,0.027275257445032005,356.27320499999996,0.9999999429045958
10,9,129,0.03590314500417478,426.25944,0.9999995153996262
11,0,124,0.03451155023657111,485.199275,0.9999999999974705
11,1,873,0.24297244642360144,3043.41457,0.9999883390586933
11,2,533,0.14834400222655164,1216.53761,0.9998627662466154
11,3,522,0.14528249373782354,660.78262,0.9998804706643459
11,4,160,0.044531032563317564,325.6869,0.9999994164729229
11,5,90,0.025048705816866128,367.33943999999997,0.9999999912479041
11,6,143,0.03979961035346507,382.33886,0.9999999999882334
11,7,100,0.027831895352073477,412.935875,0.9999999958985768
11,8,76,0.021152240467575842,2029.3520749999998,1.0
11,9,835,0.23239632618981354,237.45347,0.9999999802641357
11,10,137,0.038129696632340664,285.96394,0.9999997760595216
12,0,111,0.03089340384080156,494.44061999999997,0.9999999999968168
12,1,860,0.2393543000278319,1249.3993449999998,0.9999334096644349
12,2,146,0.04063456721402728,710.413485,0.9999997907516663
12,3,106,0.029501809073197886,475.772155,0.999999695269925
12,4,160,0.044531032563317564,459.469715,0.9999993628096077
12,5,690,0.192040077929307,3679.835145,0.9999879959814649
12,6,93,0.025883662677428334,158.31796,0.999999913575895
12,7,183,0.05093236849429446,431.70444,0.9999999996311999
12,8,69,0.0192040077929307,2315.75339,1.0
12,9,212,0.05900361814639577,339.467545,0.9999999638737342
12,10,99,0.027553576398552743,337.31252,0.9999999408963749
12,11,864,0.24046757584191483,265.22413,0.9999999975041192
