unit,cluster,max_posterior,normalized_entropy
E01000001,0,0.9999999999853912,5.472900836478561e-10
E01000002,1,1.0,2.2012501690257397e-97
E01000005,0,1.0,5.064482461759145e-21
E01000007,1,1.0,5.160395846119502e-24
E01000008,1,1.0,1.5359652316738582e-17
E01000009,0,1.0,3.1381517223256152e-22
E01000011,1,1.0,3.837996605022565e-39
E01000013,0,0.9999999974889988,7.535988898172456e-08
E01000017,1,0.9996009573118377,0.005081240574249316
E01000019,1,1.0,4.394972774141985e-15
E01000020,1,1.0,3.800163389008852e-29
E01000021,1,0.9999863443311078,0.000240378359226914
E01000024,0,0.9999999999997726,8.969954407995005e-12
E01000027,0,0.8229086351770402,0.6736725152439561
E01000029,1,0.9999999999097327,3.142099426251622e-09
E01000030,1,0.9999999993088409,2.2029452599710537e-08
E01000031,1,0.999999999802526,6.651487897543078e-09
E01000032,0,0.9706283345744513,0.19123093759101567
E01000034,1,0.9999999999067768,3.2402572345079482e-09
E01000035,0,0.9934268458808639,0.05710192034149657
E01000036,0,0.9999999999886313,4.305009436923481e-10
E01000038,1,0.9999999999999432,3.0018635224941346e-12
E01000040,1,0.9619270067753207,0.23338607939353817
E01000041,1,0.9999997657527889,5.497351079106813e-06
E01000042,1,0.9919622546643561,0.06748390393371938
E01000043,1,1.0,4.9427306204885144e-17
E01000045,1,0.7594855084352523,0.7958948145370669
E01000049,1,1.0,4.9936877658123095e-15
E01000050,0,0.9921968883290417,0.06584879206613586
E01000052,1,0.9970518813692538,0.029028815297488315
E01000057,1,0.9999940412523824,0.00011201998691412171
E01000058,1,0.9999999943795501,1.6214684591948782e-07
E01000060,0,0.9999999980886969,5.811404976336421e-08
E01000061,0,0.9999999996072688,1.2837271428056345e-08
E01000062,1,1.0,1.4572040680150582e-23
E01000063,0,1.0,4.3029484261137855e-27
E01000064,1,0.9999781885453962,0.00036920759126651663
E01000065,1,1.0,2.587054063793942e-14
E01000067,0,0.9499908074891444,0.2864360049524878
E01000068,0,0.999999999996362,1.4348256174881888e-10
E01000070,0,0.9999999999787406,7.837193643582851e-10
E01000071,1,1.0,1.0978522185150066e-14
E01000072,1,0.999999999757506,8.094872072295509e-09
E01000073,1,1.0,6.276881718343601e-14
E01000074,1,0.999999999991644,3.1862408256521634e-10
E01000075,0,0.9999967453729354,6.402427177110818e-05
E01000077,1,0.9999999999812985,6.943059219742478e-10
E01000078,0,0.8566346695287226,0.592984904629401
E01000079,1,1.0,4.945641873398708e-17
E01000080,1,1.0,2.731390662064115e-19
E01000082,0,1.0,6.3810387016506e-27
