k,borough,cluster,n,within_borough_share
3,Westminster,0,10,0.11494252873563218
3,Camden,0,18,0.20454545454545456
3,Kingston upon Thames,0,33,0.4714285714285714
3,Richmond upon Thames,0,49,0.5764705882352941
3,Westminster,1,44,0.5057471264367817
3,Camden,1,57,0.6477272727272727
3,Kingston upon Thames,1,28,0.4
3,Richmond upon Thames,1,26,0.3058823529411765
3,Westminster,2,33,0.3793103448275862
3,Camden,2,13,0.14772727272727273
3,Kingston upon Thames,2,9,0.12857142857142856
3,Richmond upon Thames,2,10,0.11764705882352941
4,Westminster,0,7,0.08045977011494253
4,Camden,0,18,0.20454545454545456
4,Kingston upon Thames,0,30,0.42857142857142855
4,Richmond upon Thames,0,44,0.5176470588235295
4,Westminster,1,49,0.5632183908045977
4,Camden,1,46,0.5227272727272727
4,Kingston upon Thames,1,15,0.21428571428571427
4,Richmond upon Thames,1,19,0.2235294117647059
4,Westminster,2,21,0.2413793103448276
4,Camden,2,7,0.07954545454545454
4,Kingston upon Thames,2,3,0.04285714285714286
4,Richmond upon Thames,2,6,0.07058823529411765
4,Westminster,3,10,0.11494252873563218
4,Camden,3,17,0.19318181818181818
4,Kingston upon Thames,3,22,0.3142857142857143
4,Richmond upon Thames,3,16,0.18823529411764706
