threshold,k,cluster,n_units,pct_of_core
175.0,2,0,1920,84.17360806663744
175.0,2,1,361,15.82639193336256
175.0,3,0,1368,59.97369574747918
175.0,3,1,664,29.110039456378782
175.0,3,2,249,10.916264796142043
175.0,4,0,901,39.50021920210434
175.0,4,1,744,32.61727312582201
175.0,4,2,451,19.772029811486192
175.0,4,3,185,8.110477860587462
175.0,5,0,719,31.521262604121
175.0,5,1,547,23.980710214818064
175.0,5,2,669,29.329241560718984
175.0,5,3,131,5.743095133713283
175.0,5,4,215,9.425690486628671
200.0,2,0,344,16.022356776897997
200.0,2,1,1803,83.977643223102
200.0,3,0,1261,58.73311597578016
200.0,3,1,642,29.90218910107126
200.0,3,2,244,11.36469492314858
200.0,4,0,177,8.24406148113647
200.0,4,1,474,22.07731718677224
200.0,4,2,700,32.603632976245926
200.0,4,3,796,37.07498835584536
200.0,5,0,611,28.45831392640894
200.0,5,1,131,6.101537028411737
200.0,5,2,758,35.30507685142059
200.0,5,3,375,17.466231951560317
200.0,5,4,272,12.668840242198417
250.0,2,0,1627,84.56340956340956
250.0,2,1,297,15.436590436590437
250.0,3,0,549,28.534303534303536
250.0,3,1,217,11.278586278586278
250.0,3,2,1158,60.187110187110186
250.0,4,0,762,39.604989604989605
250.0,4,1,441,22.92099792099792
250.0,4,2,166,8.627858627858627
250.0,4,3,555,28.846153846153847
250.0,5,0,511,26.55925155925156
250.0,5,1,711,36.95426195426195
250.0,5,2,147,7.64033264033264
250.0,5,3,105,5.457380457380458
250.0,5,4,450,23.388773388773387
300.0,2,0,1439,82.89170506912443
300.0,2,1,297,17.108294930875577
300.0,3,0,582,33.525345622119815
300.0,3,1,947,54.55069124423963
300.0,3,2,207,11.923963133640553
300.0,4,0,465,26.785714285714285
300.0,4,1,460,26.497695852534562
300.0,4,2,665,38.306451612903224
300.0,4,3,146,8.410138248847927
300.0,5,0,202,11.63594470046083
300.0,5,1,604,34.7926267281106
300.0,5,2,446,25.691244239631338
300.0,5,3,379,21.831797235023043
300.0,5,4,105,6.048387096774194
