threshold,stage,k,cluster,n_units,pct_of_core
0.0,deepdive,3,0,1882,52.37962705260228
0.0,deepdive,3,1,494,13.748956303924297
0.0,deepdive,3,2,1217,33.871416643473424
50.0,deepdive,3,0,446,13.816604708798017
50.0,deepdive,3,1,1250,38.72366790582404
50.0,deepdive,3,2,1532,47.459727385377946
70.0,deepdive,3,0,335,11.063408190224571
70.0,deepdive,3,1,1488,49.14134742404227
70.0,deepdive,3,2,1205,39.795244385733156
90.0,deepdive,2,0,1602,56.25
90.0,deepdive,2,1,1246,43.75
90.0,deepdive,3,0,1954,68.60955056179775
90.0,deepdive,3,1,318,11.165730337078651
90.0,deepdive,3,2,576,20.224719101123597
100.0,deepdive,2,0,1064,38.53676204273814
100.0,deepdive,2,1,1697,61.46323795726186
100.0,deepdive,3,0,485,17.56609923940601
100.0,deepdive,3,1,1991,72.11155378486056
100.0,deepdive,3,2,285,10.32234697573343
110.0,deepdive,2,0,1004,37.226548016314425
110.0,deepdive,2,1,1693,62.773451983685575
110.0,deepdive,3,0,1839,68.18687430478309
110.0,deepdive,3,1,283,10.493140526510938
110.0,deepdive,3,2,575,21.31998516870597
125.0,deepdive,2,0,443,17.15724244771495
125.0,deepdive,2,1,2139,82.84275755228505
125.0,deepdive,3,0,258,9.992254066615027
125.0,deepdive,3,1,1175,45.50735863671572
125.0,deepdive,3,2,1149,44.500387296669246
150.0,deepdive,2,0,404,16.646065100947673
150.0,deepdive,2,1,2023,83.35393489905233
150.0,deepdive,3,0,1115,45.941491553358055
150.0,deepdive,3,1,1077,44.37577255871446
150.0,deepdive,3,2,235,9.682735887927482
