threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing,is_bic_best_k
0.0,deepdive,3,3593,100.0,0,0.0,20,42,True,24,4.764074799999435,296.15902504052633,-2061871.9550624928,-2111996.9451236865,494,1882,13.748956303924297,0.5222164550682468,2123.7075474695066,0.0,0.5910048878745143,0.026156592728155945,0.030127852422323846,0.3335178322853079,0.22610706839100467,0.2922938019764299,0.2839729008842475,1.8389658078011877,False,True
50.0,deepdive,3,3228,89.84135819649318,365,10.15864180350682,20,42,True,37,7.6820487000004505,300.52030028084664,-1874694.6724302166,-1923951.7377043332,446,1532,13.816604708798017,0.49128444274314376,1800.7255103273,0.0,0.5577443442875349,0.03634600365922468,0.02788028710006385,0.3206992902430067,0.21417129602210735,0.2885134886073864,0.2744613582908335,1.7899949406449895,False,True
70.0,deepdive,3,3028,84.27497912607849,565,15.725020873921514,20,42,True,51,6.441839200000686,302.29607153545686,-1765763.1225704635,-1814501.980563607,335,1488,11.063408190224571,0.4582521369703173,1591.238466165014,0.0,0.5253680879884344,0.031097625213671844,0.04894358511176739,0.30934178739107,0.20618467908439625,0.2918222864766621,0.26911625098404274,1.70280365936537,False,True
90.0,deepdive,2,2848,79.26523796270526,745,20.73476203729474,20,42,True,25,3.12960270000076,300.3861995263643,-1668041.230439098,-1700200.7950830427,1246,1602,43.75,0.4408522038070389,1471.9440216593903,0.0,0.5168461073996452,0.044252431871973134,0.010517633114713137,0.04080197206223271,0.004846973657781005,0.03598474451946227,0.02721123007982533,16.201112647747998,False,True
90.0,deepdive,3,2848,79.26523796270526,745,20.73476203729474,20,42,True,12,3.094946200000777,301.85939015783526,-1654925.2215039392,-1703167.5456559923,318,1954,11.165730337078651,0.04109952882372036,106.75452351520107,6.5849087263513356e-24,0.036820570655606705,0.08616335810193482,0.06420975560213238,0.3418863474390568,0.3123072356463631,0.3177712903221267,0.32398829113584887,0.12685498194898423,True,False
100.0,deepdive,2,2761,76.84386306707486,832,23.156136932925133,20,42,True,28,3.5404745000014373,301.43572485649844,-1621737.9736679844,-1653729.9773606192,1064,1697,38.53676204273814,0.4118348476459196,1371.0312869817917,4.14418336382848e-300,0.49656806342217896,0.023029226390144614,0.0017447866806224643,0.011307269920318828,5.529633016163276e-06,0.008697131140066311,0.006669976897800435,61.74456882777672,False,True
100.0,deepdive,3,2761,76.84386306707486,832,23.156136932925133,20,42,True,14,2.333113400000002,302.84794626344177,-1608118.737774754,-1656109.704987812,285,1991,10.32234697573343,0.09277404943385814,289.99647918270966,1.066754932859772e-63,0.10442221870294041,0.07412967412113507,0.0907905659836471,0.25697993052717355,0.23293395551934568,0.2530534208785351,0.2476557689750181,0.3746088767397806,True,False
110.0,deepdive,2,2697,75.06262176454217,896,24.937378235457835,20,42,True,35,5.643283200000951,302.0281200862354,-1586475.9755783346,-1618341.3102186124,1004,1693,37.226548016314425,0.39283174756489614,1288.997541453722,2.7811090841202713e-282,0.4779211656600082,0.019457419842199154,0.0017676575940711913,0.007622434607982382,0.00013885955668939618,0.005641602059450633,0.00446763207470747,87.92840166692056,False,True
110.0,deepdive,3,2697,75.06262176454217,896,24.937378235457835,20,42,True,10,2.7188479999986157,303.47572471228347,-1572919.5547486003,-1620720.5066566784,283,1839,10.493140526510938,0.05921162556009228,161.13567580881318,1.0228985883009639e-35,0.05907040675902493,0.08881015518749287,0.10059388673670729,0.30236147983316797,0.28695010658931347,0.2868303422154491,0.29204730954597685,0.20274669077466925,True,False
125.0,deepdive,2,2582,71.86195379905372,1011,28.138046200946285,20,42,True,48,6.2854368000007526,303.4408058323454,-1524535.6692808878,-1556165.6512860549,443,2139,17.15724244771495,0.023124654577629165,87.19080884649247,9.854066811311353e-21,0.03340729025057848,0.024815398134119197,0.027394133911120503,0.06609846625748608,0.048848954527969106,0.07703763224557215,0.06399501767700912,0.3613508585049886,True,True
125.0,deepdive,3,2582,71.86195379905372,1011,28.138046200946285,20,42,True,58,9.2818587999991,306.50891354106403,-1519162.1222806915,-1566610.0234482277,258,1175,9.992254066615027,0.4638598631601013,1358.7771833896313,8.81624313991673e-296,0.5260865387319238,0.07410433742219064,0.08000043611013279,0.13663167488035144,0.0657407527924253,0.15115146564163046,0.11784129777146907,3.9363098670185206,False,False
150.0,deepdive,2,2427,67.54801001948233,1166,32.45198998051767,20,42,True,47,5.964576500000476,304.66615608324605,-1436752.7787314341,-1468048.3936535635,404,2023,16.646065100947673,0.0005621340606051574,5.854945291623153,0.015533340877413536,0.0020020392955147023,0.05202762263693984,0.0403387213304256,0.07189996666419865,0.038264297164069414,0.08986099795799542,0.06667508726208783,0.008430946005297438,True,True
150.0,deepdive,3,2427,67.54801001948233,1166,32.45198998051767,20,42,True,64,6.035251199999038,307.9226625901658,-1431508.8339579965,-1478455.1535467934,235,1115,9.682735887927482,0.4506968333419851,1242.5177653403716,1.5512986800279155e-270,0.5117647546783711,0.08683723446246273,0.07271955387278418,0.1361652767565923,0.06435849673686925,0.15480551248486996,0.11844309532611048,3.8051760814007545,False,False
