threshold,stage,k,cluster,n_units,pct_of_core
0.0,scan,2,0,1116,31.060395212914
0.0,scan,2,1,2477,68.939604787086
0.0,scan,3,0,1217,33.871416643473424
0.0,scan,3,1,493,13.721124408572225
0.0,scan,3,2,1883,52.40745894795435
0.0,scan,4,0,668,18.59170609518508
0.0,scan,4,1,174,4.842749791260784
0.0,scan,4,2,1636,45.53298079599221
0.0,scan,4,3,1115,31.032563317561927
0.0,scan,5,0,1133,31.533537433899248
0.0,scan,5,1,1002,27.887559142777622
0.0,scan,5,2,1052,29.279153910381297
0.0,scan,5,3,216,6.011689396047871
0.0,scan,5,4,190,5.28806011689396
0.0,scan,6,0,1372,38.18536042304481
0.0,scan,6,1,115,3.20066796548845
0.0,scan,6,2,1124,31.283050375730586
0.0,scan,6,3,180,5.009741163373226
0.0,scan,6,4,129,3.5903145004174783
0.0,scan,6,5,673,18.73086557194545
0.0,scan,7,0,1152,32.062343445588645
0.0,scan,7,1,333,9.268021152240468
0.0,scan,7,2,106,2.9501809073197887
0.0,scan,7,3,777,21.625382688561093
0.0,scan,7,4,142,3.9521291399944336
0.0,scan,7,5,932,25.93932646813248
0.0,scan,7,6,151,4.202616198163095
0.0,scan,8,0,75,2.0873921514055107
0.0,scan,8,1,763,21.23573615363206
0.0,scan,8,2,133,3.7016420818257725
0.0,scan,8,3,580,16.142499304202616
0.0,scan,8,4,319,8.878374617311438
0.0,scan,8,5,866,24.10242137489563
0.0,scan,8,6,716,19.927637072084607
0.0,scan,8,7,141,3.9242972446423603
0.0,scan,9,0,376,10.464792652379627
0.0,scan,9,1,88,2.449206790982466
0.0,scan,9,2,703,19.565822432507655
0.0,scan,9,3,1177,32.758140829390484
0.0,scan,9,4,101,2.811021430559421
0.0,scan,9,5,766,21.319231839688282
0.0,scan,9,6,93,2.5883662677428334
0.0,scan,9,7,111,3.0893403840801557
0.0,scan,9,8,178,4.9540773726690785
0.0,scan,10,0,79,2.198719732813805
0.0,scan,10,1,1147,31.923183968828276
0.0,scan,10,2,119,3.3119955468967435
0.0,scan,10,3,741,20.623434455886446
0.0,scan,10,4,78,2.170887837461731
0.0,scan,10,5,256,7.12496521013081
0.0,scan,10,6,206,5.733370442527136
0.0,scan,10,7,160,4.453103256331756
0.0,scan,10,8,92,2.5605343723907596
0.0,scan,10,9,715,19.899805176732535
50.0,scan,2,0,2312,71.62329615861215
50.0,scan,2,1,916,28.376703841387855
50.0,scan,3,0,1250,38.72366790582404
50.0,scan,3,1,1532,47.459727385377946
50.0,scan,3,2,446,13.816604708798017
50.0,scan,4,0,1289,39.93184634448575
50.0,scan,4,1,649,20.10532837670384
50.0,scan,4,2,1059,32.806691449814124
50.0,scan,4,3,231,7.156133828996283
50.0,scan,5,0,192,5.947955390334572
50.0,scan,5,1,191,5.916976456009913
50.0,scan,5,2,528,16.356877323420075
50.0,scan,5,3,1067,33.0545229244114
50.0,scan,5,4,1250,38.72366790582404
50.0,scan,6,0,897,27.78810408921933
50.0,scan,6,1,280,8.674101610904584
50.0,scan,6,2,168,5.204460966542751
50.0,scan,6,3,188,5.8240396530359355
50.0,scan,6,4,852,26.394052044609666
50.0,scan,6,5,843,26.11524163568773
50.0,scan,7,0,289,8.952912019826519
50.0,scan,7,1,150,4.646840148698884
50.0,scan,7,2,459,14.219330855018587
50.0,scan,7,3,1158,35.87360594795539
50.0,scan,7,4,829,25.681536555142504
50.0,scan,7,5,109,3.3767038413878563
50.0,scan,7,6,234,7.24907063197026
50.0,scan,8,0,149,4.615861214374226
50.0,scan,8,1,127,3.9343246592317223
50.0,scan,8,2,997,30.885997521685255
50.0,scan,8,3,90,2.7881040892193307
50.0,scan,8,4,892,27.633209417596035
50.0,scan,8,5,685,21.220570012391573
50.0,scan,8,6,146,4.522924411400248
50.0,scan,8,7,142,4.399008674101611
50.0,scan,9,0,259,8.023543990086742
50.0,scan,9,1,112,3.469640644361834
50.0,scan,9,2,178,5.514250309789343
50.0,scan,9,3,156,4.83271375464684
50.0,scan,9,4,951,29.460966542750928
50.0,scan,9,5,587,18.18463444857497
50.0,scan,9,6,154,4.770755885997522
50.0,scan,9,7,55,1.7038413878562577
50.0,scan,9,8,776,24.039653035935565
50.0,scan,10,0,83,2.5712515489467163
50.0,scan,10,1,140,4.337050805452292
50.0,scan,10,2,180,5.5762081784386615
50.0,scan,10,3,773,23.946716232961585
50.0,scan,10,4,189,5.855018587360595
50.0,scan,10,5,83,2.5712515489467163
50.0,scan,10,6,102,3.159851301115242
50.0,scan,10,7,789,24.442379182156134
50.0,scan,10,8,674,20.879801734820322
50.0,scan,10,9,215,6.660470879801735
70.0,scan,2,0,1400,46.23513870541612
70.0,scan,2,1,1628,53.76486129458388
70.0,scan,3,0,334,11.030383091149274
70.0,scan,3,1,1205,39.795244385733156
70.0,scan,3,2,1489,49.17437252311757
70.0,scan,4,0,1058,34.94055482166446
70.0,scan,4,1,474,15.653896961690885
70.0,scan,4,2,179,5.911492734478204
70.0,scan,4,3,1317,43.494055482166445
70.0,scan,5,0,188,6.208718626155878
70.0,scan,5,1,992,32.760898282694846
70.0,scan,5,2,1049,34.64332892998679
70.0,scan,5,3,655,21.631439894319684
70.0,scan,5,4,144,4.755614266842801
70.0,scan,6,0,196,6.472919418758257
70.0,scan,6,1,981,32.39762219286658
70.0,scan,6,2,534,17.635402906208718
70.0,scan,6,3,182,6.0105680317040955
70.0,scan,6,4,103,3.401585204755614
70.0,scan,6,5,1032,34.081902245706736
70.0,scan,7,0,183,6.043593130779392
70.0,scan,7,1,417,13.771466314398943
70.0,scan,7,2,218,7.199471598414795
70.0,scan,7,3,1062,35.072655217965654
70.0,scan,7,4,129,4.260237780713342
70.0,scan,7,5,109,3.5997357992073975
