threshold,stage,k,cluster,n_units,pct_of_core
36.0,scan,2,0,1049,31.173848439821693
36.0,scan,2,1,2316,68.8261515601783
36.0,scan,3,0,1282,38.09806835066865
36.0,scan,3,1,470,13.967310549777118
36.0,scan,3,2,1613,47.934621099554235
36.0,scan,4,0,231,6.864784546805349
36.0,scan,4,1,1150,34.17533432392273
36.0,scan,4,2,1494,44.39821693907875
36.0,scan,4,3,490,14.561664190193165
36.0,scan,5,0,216,6.419019316493314
36.0,scan,5,1,150,4.457652303120357
36.0,scan,5,2,669,19.88112927191679
36.0,scan,5,3,1117,33.19465081723626
36.0,scan,5,4,1213,36.047548291233284
36.0,scan,6,0,161,4.784546805349183
36.0,scan,6,1,172,5.1114413075780085
36.0,scan,6,2,261,7.7563150074294205
36.0,scan,6,3,663,19.702823179791977
36.0,scan,6,4,879,26.12184249628529
36.0,scan,6,5,1229,36.52303120356612
36.0,scan,7,0,846,25.14115898959881
36.0,scan,7,1,200,5.943536404160476
36.0,scan,7,2,212,6.300148588410104
36.0,scan,7,3,865,25.705794947994058
36.0,scan,7,4,150,4.457652303120357
36.0,scan,7,5,206,6.121842496285289
36.0,scan,7,6,886,26.329866270430905
36.0,scan,8,0,127,3.774145616641902
36.0,scan,8,1,223,6.627043090638931
36.0,scan,8,2,229,6.805349182763744
36.0,scan,8,3,771,22.912332838038633
36.0,scan,8,4,135,4.011887072808321
36.0,scan,8,5,158,4.695393759286776
36.0,scan,8,6,850,25.26002971768202
36.0,scan,8,7,872,25.913818722139673
36.0,scan,9,0,1178,35.007429420505204
36.0,scan,9,1,732,21.75334323922734
36.0,scan,9,2,183,5.438335809806835
36.0,scan,9,3,267,7.934621099554235
36.0,scan,9,4,142,4.219910846953938
36.0,scan,9,5,85,2.526002971768202
36.0,scan,9,6,140,4.160475482912333
36.0,scan,9,7,148,4.398216939078752
36.0,scan,9,8,490,14.561664190193165
36.0,scan,10,0,107,3.179791976225854
36.0,scan,10,1,190,5.646359583952452
36.0,scan,10,2,157,4.6656760772659736
36.0,scan,10,3,1127,33.49182763744428
36.0,scan,10,4,156,4.635958395245171
36.0,scan,10,5,64,1.901931649331352
36.0,scan,10,6,203,6.0326894502228825
36.0,scan,10,7,818,24.309063893016344
36.0,scan,10,8,429,12.748885586924219
36.0,scan,10,9,114,3.387815750371471
36.0,scan,11,0,1025,30.460624071322435
36.0,scan,11,1,102,3.0312035661218424
36.0,scan,11,2,522,15.512630014858841
36.0,scan,11,3,810,24.071322436849925
36.0,scan,11,4,149,4.4279346210995545
36.0,scan,11,5,103,3.0609212481426447
36.0,scan,11,6,47,1.3967310549777117
36.0,scan,11,7,106,3.150074294205052
36.0,scan,11,8,317,9.420505200594354
36.0,scan,11,9,129,3.833580980683507
36.0,scan,11,10,55,1.6344725111441307
36.0,scan,12,0,869,25.824665676077267
36.0,scan,12,1,694,20.62407132243685
36.0,scan,12,2,338,10.044576523031203
36.0,scan,12,3,153,4.546805349182764
36.0,scan,12,4,645,19.167904903417533
36.0,scan,12,5,92,2.734026745913819
36.0,scan,12,6,97,2.8826151560178306
36.0,scan,12,7,109,3.239227340267459
36.0,scan,12,8,95,2.823179791976226
36.0,scan,12,9,116,3.447251114413076
36.0,scan,12,10,102,3.0312035661218424
36.0,scan,12,11,55,1.6344725111441307
