threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
0.0,scan,2,3593,100.0,0,0.0,5,42,True,23,3.96418100000119,290.05200698368185,-2040103.3198111462,-2073517.9176043463,1116,2477,31.060395212914,0.4455575976589847,1759.5616340457436,0.0,0.4897136268576284,0.007893592643172374,0.004813171015479613,0.09401822467151515,0.04523957894252247,0.07421893244313614,0.07115891201905793,6.261444772225502,False
0.0,scan,3,3593,100.0,0,0.0,5,42,True,24,1.0588416000009602,296.158701724234,-2061869.222766757,-2111994.2128279507,493,1883,13.721124408572225,0.5222353500631381,2124.0218734407317,0.0,0.591092443855357,0.026148592981673,0.03032237970701347,0.3332930171863602,0.22562693274332563,0.2922011068277582,0.28370701891914796,1.8407558334394505,False
0.0,scan,4,3593,100.0,0,0.0,5,42,True,28,1.495433199999752,297.8430177981792,-2051863.8356231945,-2118699.217952382,174,1636,4.842749791260784,0.5659074766253404,2276.285797720997,0.0,0.6334036772697121,0.043473736775307054,0.054951980090169494,0.341728706106127,0.22701645328550651,0.3056892271940216,0.291478128861885,1.9415092269015213,False
0.0,scan,5,3593,100.0,0,0.0,5,42,True,22,1.916815200000201,298.8872969734703,-2037251.097233497,-2120796.871830678,190,1133,5.28806011689396,0.6388444211001674,2458.762911480113,0.0,0.6841591169119602,0.0760573245539116,0.05186165835345058,0.3543888449168561,0.26356629980467894,0.3124029342129011,0.310119359644812,2.0599952928828853,False
0.0,scan,6,3593,100.0,0,0.0,5,42,True,28,2.6221791000007215,299.41956675336587,-2018959.4067229256,-2119215.5735881003,115,1372,3.20066796548845,0.6038231393737689,2372.9314797858933,0.0,0.6601425926361565,0.07848289824914657,0.06134423945360868,0.3609758387929395,0.2774961945152676,0.32605056243521235,0.3215075319144731,1.878099513806715,False
0.0,scan,7,3593,100.0,0,0.0,5,42,True,22,2.898651499999687,300.40936746325076,-2003971.8051130872,-2120938.3642462553,106,1152,2.9501809073197887,0.6405250850381101,2473.2567292559324,0.0,0.688024743239245,0.06763192642352515,0.08642693902553247,0.42591073681437047,0.32444755865073605,0.3812804118210849,0.37721290242873046,1.6980465962696734,False
0.0,scan,8,3593,100.0,0,0.0,5,42,True,28,4.111463700000968,301.2204911517673,-1987689.486542674,-2121366.4379438357,75,866,2.0873921514055107,0.6040531240965624,2393.025028415321,0.0,0.6655578879819584,0.11437998909500394,0.10336834028394355,0.4895043113586725,0.3511879223682943,0.4521907337857776,0.4309609891709148,1.4016422350863897,False
0.0,scan,9,3593,100.0,0,0.0,5,42,True,32,4.524416100000963,301.578497685325,-1968154.7185694424,-2118542.062238598,88,1177,2.449206790982466,0.6228632724472539,2406.828105718494,0.0,0.6693158777116334,0.08660967391885321,0.10104949868811897,0.4470890113423675,0.3489189876024293,0.4311598854964021,0.40905596148039963,1.5226847451216015,False
0.0,scan,10,3593,100.0,0,0.0,5,42,True,32,5.658896500000992,302.2913407577661,-1951143.3458141482,-2118241.081751297,78,1147,2.170887837461731,0.6195481239275686,2413.0237308571377,0.0,0.6709527577050343,0.08828381668851372,0.10683787747472637,0.4861257472203977,0.3664221505153904,0.45199066725279774,0.43484618832952865,1.424752338999628,False
50.0,scan,2,3228,89.84135819649318,365,10.15864180350682,5,42,True,28,0.9956978999998682,296.1809193659015,-1868508.1138443623,-1901344.130821097,916,2312,28.376703841387855,0.2735537718477646,1050.3705438235302,2.022044634445007e-230,0.3252853514642065,9.658286986228957e-05,0.0002485230251317178,0.0009580804087639287,0.00034711571895635696,5.344261105075192e-07,0.00043524351794359766,628.5074000417712,False
50.0,scan,3,3228,89.84135819649318,365,10.15864180350682,5,42,True,37,1.8776021000012406,300.5202500256045,-1874694.3974799332,-1923951.4627540498,446,1532,13.816604708798017,0.49128444274314376,1800.7255103273,0.0,0.5577443442875349,0.03634600365922468,0.027880287100063843,0.3206992902430067,0.2141712960221074,0.2885134886073864,0.2744613582908335,1.7899949406449895,False
50.0,scan,4,3228,89.84135819649318,365,10.15864180350682,5,42,True,49,2.4300487999989855,302.05779728290787,-1862804.307109582,-1928482.4206810805,231,1289,7.156133828996283,0.5416406274257509,1910.1396896427013,0.0,0.5915445687477362,0.07088096318388883,0.0352793330256816,0.35243420900605055,0.24721151855253998,0.31026512628830266,0.3033036179489644,1.7858033843727197,False
50.0,scan,5,3228,89.84135819649318,365,10.15864180350682,5,42,True,16,1.377078999999867,302.67981700663006,-1845011.5088741295,-1927110.67074301,191,1250,5.916976456009913,0.5520185865532717,1935.2809977630423,0.0,0.599218429340069,0.08443689016096761,0.06998906332273513,0.35592556799242187,0.27184080405266475,0.3135308858962205,0.3137657526471023,1.7593334578300406,False
50.0,scan,6,3228,89.84135819649318,365,10.15864180350682,5,42,True,35,2.7815159000001586,303.8494001673086,-1830726.6489845305,-1929246.859150793,168,897,5.204460966542751,0.6014158631236901,2016.695308325283,0.0,0.62436229308668,0.1393871443722805,0.06981736909195646,0.3670419371821936,0.2856231487326808,0.32059962723692925,0.3244215710506012,1.8538097241070481,False
50.0,scan,7,3228,89.84135819649318,365,10.15864180350682,5,42,True,42,3.4928230000004987,304.6269195720686,-1813922.1097128196,-1928863.368176464,109,1158,3.3767038413878563,0.5463749560792304,1903.2134731096085,0.0,0.5890138072367614,0.10783483668446615,0.08914176849832085,0.4501926031955642,0.35870838116927767,0.4261845428521035,0.4116951757389818,1.3271347061536536,False
50.0,scan,8,3228,89.84135819649318,365,10.15864180350682,5,42,True,56,4.752077199998894,304.97544013169335,-1794346.5597165711,-1925708.8664775973,90,997,2.7881040892193307,0.5801479646224283,1970.7571572660163,0.0,0.6098624712006262,0.12736398179930902,0.09787987923797477,0.4158129886213537,0.31531988219948365,0.40108014122238894,0.3774043373477421,1.5372053450670264,False
