K,cluster,metric,value
3,0,log_total_activity,7.878682961589385
3,0,log_total_activity,9.423927123001912
3,0,log_total_activity,10.35725911832279
3,0,log_total_activity,6.274451822476142
3,0,log_total_activity,7.503398935616184
3,0,log_total_activity,6.939538111089153
3,0,log_total_activity,7.352676944225077
3,0,log_total_activity,6.822679681706853
3,0,log_total_activity,6.127523511480051
3,0,log_total_activity,6.219514840649156
3,0,log_total_activity,7.218553944709241
3,0,log_total_activity,7.8357574316639855
3,0,log_total_activity,5.951343895131205
3,0,log_total_activity,5.810090531255288
3,0,log_total_activity,8.37138908648571
3,0,log_total_activity,6.742469643327201
3,0,log_total_activity,6.839243573858939
3,0,log_total_activity,6.379963439498682
3,0,log_total_activity,5.51959325486499
3,0,log_total_activity,7.805028666025112
3,0,log_total_activity,6.851430749128981
3,0,log_total_activity,8.21851067803198
3,0,log_total_activity,5.903427935654149
3,0,log_total_activity,6.1338142036782815
3,0,log_total_activity,8.313036155057342
3,0,log_total_activity,6.544457408948238
3,0,log_total_activity,7.976674636947216
3,0,log_total_activity,6.537916672966896
3,0,log_total_activity,6.977436161735048
3,0,log_total_activity,6.777623370130829
3,0,log_total_activity,7.053450696469833
3,0,log_total_activity,6.889671315337122
3,0,log_total_activity,6.156118721596778
3,0,log_total_activity,6.864414667490594
3,0,log_total_activity,7.467501715525516
3,0,log_total_activity,7.607201305097153
3,0,log_total_activity,7.128315937498782
3,0,log_total_activity,5.955357539338859
3,0,log_total_activity,5.853103051149809
3,0,log_total_activity,9.02837476622414
3,0,log_total_activity,6.513751592128022
3,0,log_total_activity,6.519043403488546
3,0,log_total_activity,6.512646053143413
3,0,log_total_activity,8.095371846380248
3,0,log_total_activity,7.933443737200846
3,0,log_total_activity,9.498397638533852
3,0,log_total_activity,6.794912328486877
3,0,log_total_activity,7.2539727759260435
3,0,log_total_activity,9.430737504131548
3,0,log_total_activity,7.126202483703952
3,0,log_total_activity,7.232891888026739
3,0,log_total_activity,7.762761390038424
3,0,log_total_activity,6.6197817107162455
3,0,log_total_activity,7.033031353794395
3,0,log_total_activity,7.915109155670572
3,0,log_total_activity,8.018845756881136
3,0,log_total_activity,6.175059293052545
3,0,log_total_activity,7.582877893657404
3,0,log_total_activity,6.696483441679726
3,0,log_total_activity,5.697332451239649
3,0,log_total_activity,6.134264998968895
3,0,log_total_activity,6.048085825049602
3,0,log_total_activity,7.488570001835535
3,0,log_total_activity,6.1340579120030965
3,0,log_total_activity,6.302004409648465
3,0,log_total_activity,6.5013347746282895
3,0,log_total_activity,6.653672585445336
3,0,log_total_activity,6.147561303527794
3,0,log_total_activity,5.733708749824372
3,0,log_total_activity,9.549928662227078
3,0,log_total_activity,8.045969970771157
3,0,log_total_activity,8.07141096131823
3,0,log_total_activity,5.841491761049134
3,0,log_total_activity,5.929010731461111
3,0,log_total_activity,6.312152870573387
3,0,log_total_activity,7.490014786139895
3,0,log_total_activity,5.675985082221188
3,0,log_total_activity,5.615847289268781
3,0,log_total_activity,8.495554988962283
3,0,log_total_activity,7.0960708855131145
3,0,log_total_activity,8.339517238276251
3,0,log_total_activity,9.365850756699912
3,0,log_total_activity,6.8714402897212645
3,0,log_total_activity,7.51245347332368
3,0,log_total_activity,7.648947774951966
3,0,log_total_activity,7.079596255865737
3,0,log_total_activity,8.536757180436647
3,0,log_total_activity,6.281197820657673
3,0,log_total_activity,5.823970083674135
3,0,log_total_activity,6.134220849734549
3,0,log_total_activity,6.867552176242183
3,0,log_total_activity,5.567046677215616
3,0,log_total_activity,6.948877164530583
3,0,log_total_activity,7.017271850263896
3,0,log_total_activity,9.16063708548743
3,0,log_total_activity,5.938238570503279
3,0,log_total_activity,7.944298865109301
3,0,log_total_activity,7.440421369884586
3,0,log_total_activity,7.709087434157667
3,0,log_total_activity,8.836654385782296
3,0,log_total_activity,7.441887431265208
3,0,log_total_activity,6.061351715259107
3,0,log_total_activity,6.415036662754785
3,0,log_total_activity,7.687762569674791
3,0,log_total_activity,5.720970870832496
3,0,log_total_activity,6.139204191523047
3,0,log_total_activity,6.699916485088459
3,0,log_total_activity,5.948346350624312
3,0,log_total_activity,8.457691088339837
3,0,log_total_activity,7.099284266985265
3,0,log_total_activity,7.78685989019527
3,0,log_total_activity,6.003762886556948
3,0,log_total_activity,7.766434241089603
3,0,log_total_activity,6.841100172791279
3,0,log_total_activity,5.988934398981024
3,0,log_total_activity,7.865409081368528
3,0,log_total_activity,6.854791210681483
3,0,log_total_activity,6.2971616574225004
3,0,log_total_activity,5.844950558385847
3,0,log_total_activity,6.239325647287018
3,0,log_total_activity,6.191093381839861
3,0,log_total_activity,5.503797432968657
3,0,log_total_activity,8.46611931085045
3,0,log_total_activity,5.719373402045455
3,0,log_total_activity,7.61491013732874
3,0,log_total_activity,8.115807373677919
3,0,log_total_activity,7.327825846199423
3,0,log_total_activity,7.507476092248249
3,0,log_total_activity,9.38967706265287
3,0,log_total_activity,8.87064410394651
3,0,log_total_activity,7.399810255257567
3,0,log_total_activity,7.982335899754467
3,0,log_total_activity,5.7689028889611
3,0,log_total_activity,7.11381098919118
3,0,log_total_activity,9.34079182771072
3,0,log_total_activity,6.248257938421147
3,0,log_total_activity,5.8788722785795695
3,0,log_total_activity,6.960826788906888
3,0,log_total_activity,5.794700142702348
3,0,log_total_activity,6.549939298594557
3,0,log_total_activity,5.545485131514051
3,0,log_total_activity,7.382555890538884
3,0,log_total_activity,5.858075744317046
3,0,log_total_activity,8.453185234571203
3,0,log_total_activity,9.379841454910943
3,0,log_total_activity,7.632196667716664
3,0,log_total_activity,7.144577828743294
3,0,log_total_activity,5.63839395681821
3,0,log_total_activity,7.475760208036515
3,0,log_total_activity,6.56086332516322
3,0,log_total_activity,8.171164980764981
3,0,log_total_activity,6.186052397706048
3,0,log_total_activity,6.850048313538794
3,0,log_total_activity,8.334369131588778
3,0,log_total_activity,6.169568639555352
3,0,log_total_activity,8.262588910643016
3,0,log_total_activity,7.615563395873277
3,0,log_total_activity,7.979408601736885
3,0,log_total_activity,7.181682799799996
3,0,log_total_activity,5.642591021387835
3,0,log_total_activity,5.839282012544908
3,0,log_total_activity,7.219612200739718
3,0,log_total_activity,5.911341671637761
3,0,log_total_activity,6.321954981944468
3,0,log_total_activity,5.514608775462922
3,0,log_total_activity,7.973080792478001
3,0,log_total_activity,6.404841424465327
3,0,log_total_activity,8.310613267693615
3,0,log_total_activity,8.29008348027808
3,0,log_total_activity,8.935883756342157
3,0,log_total_activity,5.819206582079668
3,0,log_total_activity,6.367210362930097
3,0,log_total_activity,6.099013414077495
3,0,log_total_activity,6.261936871470079
3,0,log_total_activity,8.097735477820128
