K_parent,K_child,ARI_adjacent,weighted_child_to_parent_purity,smallest_child_share
2,3,0.23321593938408008,0.9951287404314544,0.0883785664578984
3,4,0.17095568396646285,0.5556715379262352,0.014265831593597773
4,5,0.777281843372009,0.988169798190675,0.014265831593597773
5,6,0.8249577070600377,0.9742519137091162,0.014265831593597773
6,7,0.8013304918647306,0.9558107167710508,0.020528879610299235
7,8,0.5670592758276733,0.8698677800974252,0.0003479471120389701
8,9,0.827952031620386,0.9512874043145442,0.0003479471120389701
9,10,0.7511353934096002,0.9401530967292971,0.003479471120389701
10,11,0.8223923457883998,0.9331941544885177,0.0003479471120389701
11,12,0.6469324685129546,0.8643006263048016,0.0003479471120389701
