covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
spherical,2,-1306882.3083985772,-1307758.9370283731,True,3.981969800001025,1313,0.4568545581071677,1561,0.5431454418928323,"[1561, 1313]"
spherical,3,-1327874.9699341485,-1329192.8946088757,True,0.5386652000015602,831,0.28914405010438415,1086,0.3778705636743215,"[1086, 957, 831]"
spherical,4,-1346612.3415651387,-1348371.5622847972,True,0.8945873000011488,397,0.1381350034794711,905,0.3148921363952679,"[905, 900, 672, 397]"
spherical,5,-1356074.2610189146,-1358274.7777835045,True,1.2036686999999802,346,0.12038970076548365,872,0.3034098816979819,"[872, 723, 557, 376, 346]"
spherical,6,-1363671.3176195647,-1366313.1304290858,True,1.1825556000003417,316,0.10995128740431455,615,0.2139874739039666,"[615, 560, 559, 457, 367, 316]"
spherical,7,-1369399.0441680343,-1372482.1530224867,True,1.0967500999995536,297,0.10334029227557412,537,0.18684759916492694,"[537, 525, 423, 411, 355, 326, 297]"
spherical,8,-1373808.2303936856,-1377332.6352930693,True,1.351130799999737,154,0.05358385525400139,503,0.17501739735560196,"[503, 449, 410, 409, 338, 321, 290, 154]"
spherical,9,-1377694.231199395,-1381659.9321437099,True,1.6922759999997652,149,0.05184411969380654,431,0.14996520528879612,"[431, 403, 370, 355, 340, 327, 312, 187, 149]"
spherical,10,-1380838.549604711,-1385245.546593957,True,2.048810100000992,135,0.04697286012526096,401,0.13952679192762701,"[401, 367, 348, 333, 326, 315, 309, 172, 168, 135]"
spherical,11,-1383534.9899642363,-1388383.2829984138,True,1.8880678999994416,144,0.05010438413361169,360,0.12526096033402923,"[360, 343, 325, 318, 304, 279, 256, 203, 184, 158, 144]"
spherical,12,-1386532.9557767161,-1391822.544855825,True,1.8915010999990045,105,0.03653444676409186,343,0.11934585942936674,"[343, 342, 315, 296, 291, 266, 254, 217, 177, 137, 131, 105]"
diag,2,-1499673.4120669567,-1501396.8520262155,True,0.786404999998922,848,0.2950591510090466,2026,0.7049408489909533,"[2026, 848]"
diag,3,-1530282.1043459023,-1532870.2460148237,True,1.1594487000002118,384,0.1336116910229645,1294,0.45024356297842727,"[1294, 1196, 384]"
diag,4,-1549203.998849425,-1552656.842228009,True,1.18500160000076,320,0.11134307585247043,1037,0.360821155184412,"[1037, 765, 752, 320]"
diag,5,-1558150.7479914597,-1562468.2930797064,True,2.3650133999999525,286,0.09951287404314545,934,0.32498260264439804,"[934, 602, 590, 462, 286]"
diag,6,-1564740.9318357827,-1569923.178633692,True,1.5477396000005683,242,0.08420320111343076,852,0.2964509394572025,"[852, 591, 425, 408, 356, 242]"
diag,7,-1569659.0990037816,-1575706.0475113534,True,1.256753599998774,173,0.060194850382741825,688,0.23938761308281142,"[688, 627, 455, 330, 306, 295, 173]"
diag,8,-1574474.2863859385,-1581385.9366031731,True,1.3609223000003112,117,0.0407098121085595,752,0.2616562282533055,"[752, 552, 360, 316, 299, 276, 202, 117]"
diag,9,-1578379.6969801656,-1586156.0489070627,True,1.5279571999999462,109,0.037926235212247736,575,0.2000695894224078,"[575, 498, 399, 339, 321, 288, 191, 154, 109]"
diag,10,-1581230.8071247996,-1589871.8607613596,True,1.4544356000005791,108,0.037578288100208766,633,0.22025052192066805,"[633, 473, 299, 295, 259, 253, 219, 186, 149, 108]"
diag,11,-1583807.7376984537,-1593313.4930446763,True,1.9700596000002406,75,0.026096033402922755,530,0.18441196938065413,"[530, 477, 305, 292, 268, 267, 258, 138, 135, 129, 75]"
diag,12,-1585875.2827212312,-1596245.7397771163,True,1.7995722000014212,77,0.026791927627000695,534,0.18580375782881003,"[534, 443, 291, 280, 264, 241, 237, 152, 128, 123, 104, 77]"
tied,2,-1674501.586924622,-1691038.261689412,True,2.151852900000449,242,0.08420320111343076,2632,0.9157967988865693,"[2632, 242]"
