K,replicate,base_cluster,matched_jaccard
2,1,0,0.8498168498168498
2,1,1,0.9844814534443603
2,2,0,0.6677115987460815
2,2,1,0.9601653513716648
2,3,0,0.7108843537414966
2,3,1,0.9681050656660413
2,4,0,0.3847826086956522
2,4,1,0.8950685947348906
2,5,0,0.8549618320610687
2,5,1,0.9856603773584905
2,6,0,0.8645418326693227
2,6,1,0.9872036130974784
2,7,0,0.677536231884058
2,7,1,0.9668775586155564
2,8,0,0.8980392156862745
2,8,1,0.9901701323251417
2,9,0,0.7325102880658436
2,9,1,0.9758902077151336
2,10,0,0.6634615384615384
2,10,1,0.9606299212598425
2,11,0,0.831275720164609
2,11,1,0.9846556886227545
2,12,0,0.7569444444444444
2,12,1,0.973644578313253
2,13,0,0.8149606299212598
2,13,1,0.9823772028496438
2,14,0,0.8609022556390977
2,14,1,0.9860113421550094
2,15,0,0.7985865724381626
2,15,1,0.9784743202416919
2,16,0,0.8980392156862745
2,16,1,0.9901701323251417
2,17,0,0.5424657534246575
2,17,1,0.9375934230194319
2,18,0,0.0
2,18,1,0.9144050104384134
2,19,0,0.5912408759124088
2,19,1,0.9587020648967551
2,20,0,0.7670682730923695
2,20,1,0.9783824077525158
3,1,0,0.8717948717948718
3,1,1,0.09064748201438849
3,1,2,0.48542914171656687
3,2,0,0.7948717948717948
3,2,1,0.5894874022589053
3,2,2,0.25905511811023624
3,3,0,0.8428571428571429
3,3,1,0.7504445761707172
3,3,2,0.6806784660766961
3,4,0,0.6474576271186441
3,4,1,0.7191818684355997
3,4,2,0.6266061980347695
3,5,0,0.33410138248847926
3,5,1,0.6821615339918652
3,5,2,0.638328530259366
3,6,0,0.8389513108614233
3,6,1,0.6923076923076923
3,6,2,0.5277127244340359
3,7,0,0.8587786259541985
3,7,1,0.09077912794853467
3,7,2,0.48390941597139453
3,8,0,0.7360594795539034
3,8,1,0.6619581100828057
3,8,2,0.4578783151326053
3,9,0,0.83984375
3,9,1,0.7335180055401662
3,9,2,0.6447166921898928
3,10,0,0.8076923076923077
3,10,1,0.04878048780487805
3,10,2,0.47279042840602087
3,11,0,0.7601476014760148
3,11,1,0.6428226196230062
3,11,2,0.4422187981510015
3,12,0,0.9157509157509157
3,12,1,0.05183585313174946
3,12,2,0.4778170396544955
3,13,0,0.13075060532687652
3,13,1,0.5873831775700935
3,13,2,0.4447852760736196
3,14,0,0.8269230769230769
3,14,1,0.6361717100633357
3,14,2,0.682648401826484
3,15,0,0.7788461538461539
3,15,1,0.7946537059538274
3,15,2,0.7065548780487805
3,16,0,0.80859375
3,16,1,0.5015048908954101
3,16,2,0.005439005439005439
3,17,0,0.7629179331306991
3,17,1,0.7700059276822763
3,17,2,0.663109756097561
3,18,0,0.5518987341772152
3,18,1,0.5770419426048565
3,18,2,0.22877358490566038
3,19,0,0.8981132075471698
3,19,1,0.6220546654099905
3,19,2,0.3847926267281106
3,20,0,0.7984496124031008
3,20,1,0.050468637346791634
3,20,2,0.47305619707467284
4,1,0,0.6857677902621723
4,1,1,0.023255813953488372
4,1,2,0.008951406649616368
4,1,3,0.8157894736842105
4,2,0,0.8253308128544423
4,2,1,0.34782608695652173
4,2,2,0.0
4,2,3,0.8254716981132075
4,3,0,0.8131785847997005
4,3,1,0.06451612903225806
4,3,2,0.013477088948787063
4,3,3,0.7412280701754386
4,4,0,0.94494691309477
4,4,1,0.7142857142857143
4,4,2,0.6238532110091743
4,4,3,0.7425742574257426
4,5,0,0.7907514450867053
4,5,1,0.7142857142857143
4,5,2,0.06153846153846154
4,5,3,0.5909090909090909
