K,BIC,silhouette,davies_bouldin,activity_eta2,activity_kw_epsilon2,timing_mean_eta2,direction_balance_eta2,weekend_ratio_eta2,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc,gate_activity_below_timing,bootstrap_ari_mean,bootstrap_min_cluster_jaccard_mean,calinski_harabasz,bootstrap_ari_sd
2,-1677864.937418498,0.0785111880008322,4.393668451701939,0.4500751702540139,0.5197118697774917,0.0302356820141662,0.0562019471595179,0.0170733597230641,1322,0.4599860821155184,1552,0.5400139178844816,"[1552, 1322]",False,0.3461027520652008,0.5036930992823259,131.63697402162327,0.3633178637668121
3,-1667665.7764727888,0.0988528229866878,2.755801766644117,0.0270522731956163,0.0224321199700532,0.3231140763922773,0.0761002529821262,0.0594959352828489,302,0.1050800278357689,1939,0.674669450243563,"[1939, 633, 302]",True,0.5103686080774883,0.5093426174019763,205.8774758604537,0.23830362082600215
4,-1667459.157904073,0.0304735807573698,4.017959970195954,0.4877388905323238,0.5383909809414904,0.3022634707999141,0.0637753921687159,0.0824694154465504,224,0.0779401530967293,1191,0.4144050104384134,"[1191, 1060, 399, 224]",False,0.6615819551734796,0.4963647653750678,124.99503280519787,0.052002405827558
5,-1650211.151249407,0.0294377218079402,3.755568955006539,0.483709776186303,0.5217450430910294,0.3395627894899617,0.1006971568984557,0.1192134165956354,159,0.0553235908141962,1119,0.3893528183716075,"[1119, 818, 587, 191, 159]",False,0.5250230633329973,0.2346292329040951,129.73358081449942,0.05865529475400049
6,-1634328.5643250097,-0.0002834873452964,3.7356898265889966,0.556441963516917,0.5740625042882209,0.3562606520006163,0.1431486817197855,0.1013285152557325,134,0.0466249130132219,827,0.2877522616562282,"[827, 803, 722, 216, 172, 134]",False,0.4490772563142563,0.0640125329229992,121.2357865873519,0.06219891073107814
7,-1616577.0876602223,0.0005524151174308,3.4632063407724174,0.5298111054676778,0.5437083583657352,0.3863021351050843,0.1297057674558572,0.1335527623508536,119,0.0414057063326374,891,0.3100208768267223,"[891, 771, 548, 212, 185, 148, 119]",False,0.438891583700447,0.03357442755125,114.7722103852734,0.044102741702584804
8,-1599171.7304070184,0.0029798847565399,3.647102303860498,0.5146941839634556,0.5300276114417054,0.493027772924647,0.1148995805967231,0.1465534790832047,76,0.0264439805149617,933,0.3246346555323591,"[933, 707, 465, 188, 188, 161, 156, 76]",False,0.4781760597670031,0.0993186545178777,108.26416988825744,0.06623839034291806
9,-1581722.6698737305,-0.0071050916789826,3.838398049653612,0.5194509768816429,0.5328136096365199,0.4180317468051792,0.1488249587191393,0.1879354456150292,84,0.0292275574112734,869,0.302366040361865,"[869, 780, 434, 165, 155, 144, 131, 112, 84]",False,,,99.2772444751531,
10,-1562967.6265437074,-0.0059828454406727,4.051543382054885,0.5373833908204758,0.5365323039377707,0.4568954734361866,0.1412468097655702,0.1985748062018995,74,0.0257480862908837,797,0.2773138482950592,"[797, 757, 431, 180, 147, 142, 138, 129, 79, 74]",False,,,97.49924671438052,
11,-1544577.0379851733,-0.0128840749262017,3.968463146823741,0.5066428229646814,0.5151645105882889,0.4233555145251117,0.1245740765387305,0.2150878140146123,57,0.0198329853862212,810,0.2818371607515658,"[810, 698, 442, 179, 158, 134, 129, 101, 93, 73, 57]",False,,,83.8439349125904,
12,-1525807.735541825,0.0028333609430446,3.545968586801312,0.5274590945637819,0.5249058854301588,0.5107041503757233,0.1764849823757635,0.2622171781084114,57,0.0198329853862212,762,0.2651356993736952,"[762, 677, 521, 144, 140, 127, 109, 94, 93, 77, 73, 57]",False,,,97.79452696474628,
