K,covariance,BIC,AIC,silhouette,calinski_harabasz,davies_bouldin,median_max_posterior,median_normalized_entropy,activity_log_total_eta2,activity_kw_epsilon2,activity_kw_p,converged,n_iter,fit_seconds,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,bootstrap_ari_mean,bootstrap_ari_sd,bootstrap_min_cluster_jaccard_mean,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2
2,full,-1939845.278709023,-1972905.7893994907,0.1418329232279732,28.85837488861393,10.215707145983036,0.9999999993303844,2.1373511998853488e-08,0.3563447263907238,0.4110504863078887,8.664560632588313e-303,True,30,4.158954400001676,1049,0.3117384843982169,2316,0.6882615156017831,0.4772047288795671,0.250227538186987,0.6430092376091938,0.0099217668874367,0.0014771147186786,0.0041253773381703,0.0006981279622488,0.0004081113242661,0.0051747529814285
3,full,-1949113.9098828663,-1998707.736510189,0.0546054855424731,114.97482339393645,5.93340040154241,0.9999999989049116,2.1707388886413072e-08,0.5018341972593815,0.5690255661888395,0.0,True,30,5.319068500000867,461,0.1369985141158989,1621,0.4817236255572065,0.607452474279836,0.0751011526908969,0.396347458964194,0.3272067601398106,0.2173705179828398,0.2926930793052507,0.0392611691387632,0.0333875118645121,0.2790901191426337
4,full,-1936042.928076693,-2002170.0706408708,-0.0090991442765828,120.49476210552314,5.059585966298753,0.9999990903030084,9.798377044016614e-06,0.5886240003883686,0.6224019432637292,0.0,True,32,5.90442289999919,311,0.0924219910846954,1147,0.3408618127786033,0.5636813082538582,0.0326152702840643,0.2812560103582123,0.3342251069952757,0.2429711967545487,0.2891562332626458,0.1110105689517772,0.03699864133939,0.2887841790041567
5,full,-1922650.471244896,-2005310.929745928,-0.0298045617580097,105.67584187069912,4.804284745808118,0.999990255753414,7.716313491572487e-05,0.6420217505481997,0.667707264647257,0.0,True,35,6.373630000001867,279,0.0829123328380386,1043,0.3099554234769688,0.4406752702305754,0.0492100087842609,0.1549061183779173,0.3463778810247405,0.2493210889507154,0.2992778716808866,0.1090178671152594,0.041139814678292,0.2983256138854475
6,full,-1906656.91249973,-2005850.686937617,-0.0213778571247736,99.88789280406122,5.073749405420554,0.999995505865778,3.384539667455114e-05,0.6154931063735237,0.6460347837946387,0.0,True,28,9.965651700003946,174,0.0517087667161961,951,0.2826151560178306,0.4936232542076889,0.0443600061282613,0.0344818417552421,0.3614110682934482,0.2739060393358121,0.3127672784235383,0.1186663864807801,0.0831048344242062,0.3160281286842663
7,full,-1889541.83986196,-2005268.9302367023,-0.0056570736482831,89.39830720419833,5.149899611387657,0.9999985794683964,1.0591854569430637e-05,0.5946250944776985,0.6308863959816403,0.0,True,43,12.068837600003462,123,0.0365527488855869,1043,0.3099554234769688,0.5087373001200617,0.0460423791933506,0.0829584753160435,0.3800950111190163,0.262706579790522,0.3476503133783853,0.1286065430659522,0.0917685118120238,0.3301506347626412
8,full,-1871938.155687861,-2004198.561999458,-0.0276203649553871,92.2409716908522,5.159897642809959,0.9999971246458996,1.9209050863772523e-05,0.6197146801734444,0.6432321597638855,0.0,True,37,20.086848300001293,127,0.037741456166419,872,0.2591381872213967,0.4428270296800782,0.0442798838353625,0.0343762233825527,0.4038184052192831,0.3118850849879119,0.3599007102967954,0.1583631370842152,0.1000805467249013,0.3585347335013302
9,full,-1852205.337729512,-2000999.0599779645,-0.0232501520947627,96.46586129660518,4.461102730697951,0.9999966564603444,2.110849228854897e-05,0.5914886792115395,0.6219467883036722,0.0,True,18,22.404524999998102,78,0.0231797919762258,915,0.2719167904903417,,,,0.4461425383484451,0.3950955153602283,0.4134966637118977,0.1430779029928557,0.104361553308235,0.4182449058068571
10,full,-1833857.4195790312,-1999184.4577643385,-0.0168019841798776,76.79319531605572,4.93798597149902,0.9999990851920508,5.987844938842938e-06,0.591793686699691,0.6270800594253927,0.0,True,59,23.166359399998328,91,0.0270430906389301,1038,0.3084695393759287,,,,0.4540661172559801,0.3701961526378557,0.4295760061676407,0.1312046516075974,0.1883246916153686,0.4179460920204922
11,full,-1815406.370674124,-1997266.7247962856,-0.0198606948647228,74.92589502973831,4.234286217688521,0.9999990292320312,6.036836354976109e-06,0.5704485056030082,0.6054636434009759,0.0,True,47,29.66732259999844,47,0.0139673105497771,1025,0.3046062407132243,,,,0.451320734341714,0.3284440143814046,0.432351638488723,0.1093111718709953,0.1715758622801837,0.4040387957372806
12,full,-1796379.078927734,-1994772.7489867508,-0.0160229274974134,81.45782047877609,4.075403867048662,0.9999982110300124,1.0408850173454973e-05,0.5845707276087393,0.6086516204900174,0.0,True,76,28.92275180000433,55,0.0163447251114413,869,0.2582466567607727,,,,0.463518940389229,0.3788581943104404,0.4372595108998697,0.1374167199958146,0.1972320701133637,0.4265455485331797
