lsoa,retained_for_fit,min_direction_activity,cluster
E01000001,True,896.88898,1
E01000002,False,20.30766000000001,-1
E01000005,True,6021.37347,1
E01000007,False,32.21606,-1
E01000008,True,121.09185000000002,0
E01000009,True,14008.5081,1
E01000011,True,187.08167000000003,0
E01000013,True,3398.467340000001,1
E01000017,True,617.86407,0
E01000019,True,98.26602000000004,0
E01000020,False,35.82244000000001,-1
E01000021,True,229.66518,0
E01000024,True,1086.0012000000002,1
E01000027,True,677.9397000000001,1
E01000029,True,369.68494,0
E01000030,True,169.62338999999997,0
E01000031,True,130.83196999999998,0
E01000032,True,494.87709000000007,1
E01000034,True,372.9371,0
E01000035,True,694.1173,1
E01000036,True,688.2474999999998,1
E01000038,True,48.99481,0
E01000040,True,331.11322,0
E01000041,True,146.96089,0
E01000042,True,196.28208000000004,0
E01000043,True,108.08937000000005,0
E01000045,True,634.0519199999999,1
E01000049,True,69.16201000000001,0
E01000050,True,1128.75595,1
E01000052,True,357.97302,0
E01000057,True,185.47425,0
E01000058,True,136.87653000000003,0
E01000060,True,1830.1028499999995,1
E01000061,True,720.2581499999999,1
E01000062,True,81.98069,0
E01000063,True,75.39097,2
E01000064,True,373.70453,0
E01000065,True,135.1394,0
E01000067,True,391.40618,1
E01000068,True,176.10181999999998,2
E01000070,True,925.4096099999998,1
E01000071,True,76.21761999999998,0
E01000072,True,223.72885,0
E01000073,True,88.40006,0
E01000074,True,112.02137000000003,0
E01000075,True,1179.7675199999996,1
E01000077,True,99.85114,0
E01000078,True,411.58169000000015,1
E01000079,True,79.72142000000001,0
E01000080,True,66.47619999999998,0
E01000082,True,713.2617299999998,1
E01000083,True,1534.3926499999998,1
E01000084,True,170.22849000000005,0
E01000085,True,132.68105,0
E01000086,True,188.21868,0
E01000087,True,1658.29205,1
E01000088,True,249.60328,0
E01000090,True,222.59972,0
E01000091,True,408.11032,1
E01000093,True,714.7382500000001,1
E01000094,True,761.0854499999998,1
E01000095,True,1389.7711999999997,1
E01000096,True,327.52172,0
E01000097,True,81.94037999999999,0
E01000098,True,420.8319100000001,0
E01000099,True,477.28506,1
E01000101,True,314.98667,1
E01000103,False,32.46995999999999,-1
E01000104,True,412.0374300000001,1
E01000105,True,478.3601000000001,1
E01000106,True,171.40976999999998,0
E01000108,False,25.23166,-1
E01000110,True,167.32072999999994,0
E01000111,True,431.0523099999999,0
E01000112,True,738.9595499999998,1
E01000113,True,1150.0700599999998,1
E01000114,True,851.3203799999999,1
E01000117,False,29.27451,-1
E01000118,True,440.05716,1
E01000120,True,185.7432,0
E01000121,True,52.27015999999999,0
E01000123,True,49.69509999999999,0
E01000124,True,147.14294999999998,0
E01000126,True,251.72338999999997,1
E01000127,True,150.42646000000002,2
E01000128,True,56.122780000000006,0
E01000129,True,4133.83823,1
E01000130,True,362.1757799999999,1
E01000131,True,333.12499,0
E01000133,True,178.92696999999993,0
E01000134,True,49.28997999999999,0
E01000135,True,92.43802,2
E01000136,True,335.73105,1
E01000138,True,270.35703,1
E01000139,True,1136.9446299999995,1
E01000140,True,1065.6425200000003,1
E01000141,True,5833.591680000001,1
E01000143,True,335.44799000000006,0
E01000144,True,590.34167,1
E01000146,True,5086.319270000001,1
E01000150,True,473.7890400000001,1
E01000151,True,472.51175,1
E01000152,True,50.05292999999999,0
E01000154,True,586.1167999999999,1
E01000156,True,714.7010599999998,1
E01000159,False,33.86906,-1
E01000160,True,349.39148,0
E01000161,True,417.1421600000001,1
E01000162,True,1110.50832,1
E01000164,True,1116.2465799999998,1
E01000167,False,33.734660000000005,-1
E01000170,True,180.54151,0
E01000171,True,923.33321,1
E01000172,True,51.20062,0
E01000173,True,55.42857,0
E01000174,True,310.79197,1
E01000175,True,46.245000000000005,0
E01000176,True,96.33294999999998,0
E01000178,True,224.9299000000001,1
E01000180,True,37.60513,2
E01000181,True,209.89971000000003,1
E01000182,True,823.6572799999998,1
E01000183,True,228.92618,1
E01000184,True,145.57907999999998,0
E01000185,True,157.61442999999997,0
E01000186,True,245.01636,2
E01000187,False,1.75864,-1
E01000188,True,89.74984,0
E01000189,False,26.00263,-1
E01000191,True,206.86609,0
E01000192,True,148.19019,0
E01000193,True,6900.593819999999,1
E01000194,True,1253.5681699999998,1
E01000196,True,1495.5569799999994,1
E01000197,True,160.80989000000005,2
E01000198,True,131.55182000000002,0
E01000199,False,32.43852999999999,-1
E01000200,True,143.01649999999998,0
E01000201,True,214.32201000000003,0
E01000202,True,171.1415,1
E01000203,True,875.4917500000003,1
E01000205,True,83.42331,0
E01000206,True,110.56174,0
E01000207,False,29.13371,-1
E01000208,True,1783.9164300000004,1
E01000209,False,22.96617,-1
E01000210,True,534.9327699999999,0
E01000211,True,1605.76469,1
E01000213,True,55.04992,0
E01000214,True,4980.695880000001,1
E01000215,True,433.4473200000001,1
E01000218,True,844.73965,1
E01000219,True,340.9413,1
E01000221,True,1029.17055,1
E01000222,True,366.84238,1
E01000223,True,2298.7488,1
E01000224,True,76.49488999999998,0
E01000226,True,159.46361,0
E01000227,True,152.56658,0
E01000228,True,79.38884999999999,0
E01000229,True,171.84809,2
E01000230,False,16.170769999999997,-1
E01000231,True,239.25789000000003,1
E01000232,True,189.92021,0
E01000233,True,388.24508,0
E01000234,True,90.4339,0
E01000235,True,361.29047,0
E01000236,True,531.4823000000001,1
E01000237,True,4723.336719999999,1
E01000238,False,34.57451999999999,-1
E01000239,True,553.78457,1
E01000240,True,239.17408,1
E01000242,True,153.93285,0
E01000243,True,1174.6319,1
E01000244,True,762.91141,1
E01000246,True,40.73033999999999,0
E01000247,False,27.85579,-1
E01000248,True,1070.43675,0
E01000250,True,3204.2747700000004,1
E01000251,True,728.4138399999999,1
E01000252,True,40.08118999999999,0
E01000253,True,87.87631999999998,0
E01000255,True,204.72815,0
E01000256,True,206.57972000000004,0
E01000257,True,1071.6245,1
E01000258,True,114.17688,0
E01000259,True,195.52756000000005,0
E01000260,True,247.9143699999999,1
E01000261,True,169.25179999999995,0
E01000263,True,234.69831,1
E01000264,True,2249.24951,1
E01000265,True,374.63472,1
E01000266,True,50.4556,0
E01000267,False,34.756919999999994,-1
E01000268,True,1033.43953,1
E01000269,True,183.49318999999997,2
E01000270,False,30.63264000000001,-1
E01000271,True,130.23927000000003,0
E01000273,True,1147.7167599999998,1
E01000274,True,285.58890999999994,0
E01000277,False,19.70144,-1
E01000278,True,170.98880999999997,0
E01000279,True,80.31837,0
E01000280,False,31.545439999999985,-1
E01000281,True,1227.5244700000003,1
E01000282,True,333.67252,1
E01000283,False,33.122440000000005,-1
E01000284,True,255.38875,1
E01000285,True,49.94531,0
E01000286,True,200.56593,0
E01000287,False,35.222840000000005,-1
