K,borough,cluster,n,within_borough_share
3,Camden,0,35,0.3977272727272727
3,Camden,1,46,0.5227272727272727
3,Camden,2,7,0.07954545454545454
3,Kingston upon Thames,0,36,0.5142857142857142
3,Kingston upon Thames,1,18,0.2571428571428571
3,Kingston upon Thames,2,16,0.22857142857142856
3,Richmond upon Thames,0,58,0.6823529411764706
3,Richmond upon Thames,1,10,0.11764705882352941
3,Richmond upon Thames,2,17,0.2
3,Westminster,0,37,0.42528735632183906
3,Westminster,1,48,0.5517241379310345
3,Westminster,2,2,0.022988505747126436
4,Camden,0,7,0.07954545454545454
4,Camden,1,44,0.5
4,Camden,2,1,0.011363636363636364
4,Camden,3,36,0.4090909090909091
4,Kingston upon Thames,0,12,0.17142857142857143
4,Kingston upon Thames,1,17,0.24285714285714285
4,Kingston upon Thames,2,4,0.05714285714285714
4,Kingston upon Thames,3,37,0.5285714285714286
4,Richmond upon Thames,0,2,0.023529411764705882
4,Richmond upon Thames,1,10,0.11764705882352941
4,Richmond upon Thames,2,15,0.17647058823529413
4,Richmond upon Thames,3,58,0.6823529411764706
4,Westminster,0,1,0.011494252873563218
4,Westminster,1,48,0.5517241379310345
4,Westminster,2,1,0.011494252873563218
4,Westminster,3,37,0.42528735632183906
