covariance,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
spherical,2,558698.5181847365,557970.0973789291,True,3.1329922000004444,1612,0.47904903417533434
spherical,3,522635.54526825045,521539.85346791835,True,0.8098631000029854,942,0.2799405646359584
spherical,4,510331.38272485055,508868.4199299937,True,0.9306843000013032,633,0.18811292719167905
spherical,5,498839.5990607282,497009.36527134664,True,0.903301599995757,514,0.15274888558692423
spherical,6,489232.53826229414,487035.03347838786,True,1.4765628000022843,325,0.09658246656760773
spherical,7,483298.2304408885,480733.45466245746,True,1.8914441000015358,320,0.0950965824665676
spherical,8,478282.526287038,475350.47951408225,True,2.266212499998801,308,0.09153046062407132
spherical,9,474021.76260194037,470722.44483445986,True,2.2529082000037306,214,0.06359583952451708
spherical,10,471092.393322229,467425.80456022377,True,2.2119768999982625,165,0.04903417533432392
spherical,11,469109.26200725377,465075.4022507238,True,2.3305231999984244,144,0.042793462109955424
spherical,12,466802.81224891986,462401.6814978652,True,2.244434700005513,156,0.04635958395245171
diag,2,254443.19814519768,253016.9624497933,True,0.7730826000042725,1124,0.3340267459138187
diag,3,239089.8711794579,236947.4570447303,True,0.9167413000031956,794,0.23595839524517087
diag,4,235430.87275862525,232572.28018457443,True,1.034242699999595,654,0.19435364041604755
diag,5,232360.46827014143,228785.6972567674,True,2.129865400005656,359,0.10668647845468053
diag,6,228965.79258646583,224674.84313376856,True,1.8127868000010494,361,0.10728083209509658
diag,7,227697.74370038664,222690.61580836616,True,2.5599540999974124,253,0.07518573551263001
diag,8,226382.1630380302,220658.8567066865,True,2.499141000000236,153,0.045468053491827636
diag,9,225822.22442553838,219382.73965487146,True,2.4712389999986044,162,0.048142644873699854
diag,10,225046.9783440026,217891.31513401243,True,2.533603999996558,162,0.048142644873699854
diag,11,224978.8105803754,217106.96893106203,True,2.992970499995863,160,0.0475482912332838
diag,12,224707.95376129093,216119.93367265433,True,2.6239927999995416,54,0.016047548291233282
tied,2,312949.16042252857,301759.63745600847,True,0.9840728999988642,1247,0.37057949479940566
tied,3,309016.0804168599,297465.40763905714,True,1.762480500001402,410,0.12184249628528974
tied,4,306106.41845240805,294194.59586332267,True,2.4060091999999713,404,0.12005943536404161
tied,5,304362.66034953983,292089.68794917176,True,3.393046700002742,217,0.06448736998514117
tied,6,302776.7446108243,290142.62239917356,True,4.14414989999932,215,0.0638930163447251
tied,7,302002.86030749965,289007.5882845663,True,5.796343699999852,171,0.050817236255572065
tied,8,300927.7346978353,287571.3128636193,True,7.140146300000197,87,0.025854383358098067
tied,9,300192.07463292836,286474.50298742973,True,7.354984700003115,87,0.025854383358098067
tied,10,299582.3694450678,285503.64798828645,True,8.81477370000357,90,0.02674591381872214
tied,11,298783.3792325444,284343.50796448044,True,9.2732354999971,62,0.018424962852897474
tied,12,298706.8540304904,283905.8329511438,True,9.978414200006227,34,0.010104011887072809
full,2,268032.2683876297,246369.40089391274,True,3.6902435999945737,1432,0.42555720653789003
full,3,160956.62475223685,128459.26292004035,True,5.519240599998739,944,0.28053491827637445
full,4,136320.89348865818,92989.03731798215,True,6.632543899999291,558,0.16582466567607726
full,5,145283.69018939277,91117.3396802372,True,7.085945500002708,235,0.06983655274888559
full,6,146731.1739729392,81730.32912530411,True,8.666951999999583,43,0.012778603268945022
full,7,153968.8271691738,78133.48798305921,True,11.096410899997863,60,0.017830609212481426
full,8,158659.89692770148,71990.06340310737,True,13.732908099998895,63,0.018722139673105497
full,9,164267.16904108174,66762.8411780081,True,14.90352189999976,46,0.013670133729569094
full,10,181769.99562887067,73431.17342731751,True,15.84455469999375,67,0.01991084695393759
full,11,180253.3948476658,61080.07830763307,True,18.820527600000787,44,0.013075780089153046
full,12,194095.0744864079,64087.263607895635,True,19.64359319999494,41,0.012184249628528975
