K,replicate,ARI,min_matched_cluster_jaccard
2,1,0.29376492368209856,0.6026901189860321
2,2,0.36905733160674026,0.6590791515778582
2,3,0.29441856344709244,0.6032074495602691
2,4,0.41862275944762267,0.6932229694774961
2,5,0.30430558159156523,0.6109674081738231
2,6,0.3009927363857526,0.6083807553026384
2,7,0.29376492368209856,0.6026901189860321
2,8,0.2983548249330134,0.6063114330056907
2,9,0.29376492368209856,0.6026901189860321
2,10,0.29441856344709244,0.6032074495602691
2,11,0.29769706427026715,0.6057941024314537
2,12,0.39873848024677416,0.6797723745473357
2,13,0.30165393152145514,0.6088980858768753
2,14,0.29376492368209856,0.6026901189860321
2,15,0.3475196357219,0.6435592343507501
2,16,0.4017672501889898,0.6818416968442835
2,17,0.9287551107685839,0.9586720867208672
2,18,0.30165393152145514,0.6088980858768753
2,19,0.9218738451396968,0.9538885065381968
2,20,0.29376492368209856,0.6026901189860321
3,1,0.8622754584851904,0.876898481215028
3,2,0.8647323765759075,0.8797770700636943
3,3,0.8978453556869082,0.9113222486144101
3,4,0.813124738586651,0.8235294117647058
3,5,0.9162276611950401,0.9270833333333334
3,6,0.9153439347254381,0.9263410728582866
3,7,0.8978430223671822,0.9113924050632911
3,8,0.8747773890251295,0.8895071542130366
3,9,0.9030623661857639,0.9160063391442155
3,10,0.9215469344878812,0.9306688417618271
3,11,0.9331747005584532,0.9410801963993454
3,12,0.906541442334279,0.9184
3,13,0.7507674771603847,0.7558502340093604
3,14,0.718898921824828,0.7187004754358162
3,15,0.7699122463558504,0.7773497688751926
3,16,0.8918085095046256,0.9055555555555556
3,17,0.8564557618076176,0.8717131474103585
3,18,0.8832537412485546,0.8974562798092209
3,19,0.744936776783668,0.7566539923954373
3,20,0.9126898272340014,0.9233252623083131
4,1,0.7602329471341405,0.3500810372771475
4,2,0.7948522705528487,0.3225806451612903
4,3,0.7988903288191578,0.3338735818476499
4,4,0.8186150740524477,0.792778649921507
4,5,0.7802280185664926,0.3467741935483871
4,6,0.7702687592348295,0.3554119547657512
4,7,0.7911406796255526,0.06597222222222222
4,8,0.7505741568099046,0.04607508532423208
4,9,0.8251061251511481,0.7960526315789473
4,10,0.7931196627370679,0.7735042735042735
4,11,0.7700692984239119,0.36187399030694667
4,12,0.7917307816510208,0.3485342019543974
4,13,0.7672358215898945,0.6314935064935064
4,14,0.7759497913679111,0.510569105691057
4,15,0.783702058446067,0.32854864433811803
4,16,0.7816415693503069,0.3554119547657512
4,17,0.8390189994400366,0.8056013179571664
4,18,0.7948539908063263,0.3382113821138211
4,19,0.7994313891498374,0.33548387096774196
4,20,0.7724756956299988,0.3440514469453376
5,1,0.8020396747260096,0.1812227074235808
5,2,0.7622767982206776,0.18466898954703834
5,3,0.7779648552358778,0.01152073732718894
5,4,0.6649489847881008,0.012956419316843345
5,5,0.6573999677779364,0.008130081300813009
5,6,0.8002888299101927,0.008948545861297539
5,7,0.8090299542128453,0.01583710407239819
5,8,0.8718572975593099,0.13565891472868216
5,9,0.6115513154061143,0.0
5,10,0.6291772104778259,0.0
5,11,0.6451369934401711,0.010011123470522803
5,12,0.8105029535269205,0.011135857461024499
5,13,0.8158448645181375,0.020454545454545454
5,14,0.7730612659161415,0.01762114537444934
5,15,0.8338809345096494,0.14007782101167315
5,16,0.8213121901104884,0.0022727272727272726
5,17,0.8463157793170034,0.639225181598063
5,18,0.7395510334414425,0.008456659619450317
5,19,0.898016907123856,0.749034749034749
5,20,0.8484204629815104,0.3446969696969697
