K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,bootstrap_ari_mean,bootstrap_min_cluster_jaccard_mean
2,268032.2683876297,0.26159445312413676,1.354490171046888,0.5102707095129062,0.49655209058110744,0.42555720653789003,0.13723128108219765,0.04593414173358089,0.11906373100971662,0.03454265267550641,0.03802431710994755,0.10074305127516504,0.3824327114324247,0.6569575692387422
3,160956.62475223685,0.19317037402670018,1.954788784556384,0.5585296773708097,0.8281775917735515,0.28053491827637445,0.2470370870661502,0.11600019597463268,0.20472053740905746,0.04733165383341101,0.051186763271366245,0.18925260681661346,0.8617609321066677,0.8729305635115214
4,136320.89348865818,0.14922534701145806,2.4910655175607164,0.5741031485382099,0.9181654787640994,0.16582466567607726,0.25858329377869743,0.10839858313037255,0.21519265694785636,0.049630428129916145,0.05623368327067582,0.19405817795230876,0.7879568709269451,0.4271441848342626
5,145283.69018939277,0.14309511279224765,2.50655926198574,0.5782887381308128,0.9278335793432947,0.06983655274888559,0.2670535606469389,0.12192894496426135,0.22080242664310837,0.049148963692308284,0.055995046944597095,0.20326164408476954,0.7709289136600106,0.12509651397860083
6,146731.1739729392,0.13502884454739186,2.8055151813701467,0.5895662760650681,0.9287976869540736,0.012778603268945022,0.2650117208882324,0.12959569212229324,0.22344335643449034,0.0493025086797258,0.05553551306817261,0.20601692314833864,,
7,153968.8271691738,0.06944604844001218,3.288633095435521,0.6224538867134105,0.9423301775975857,0.017830609212481426,0.2807897858259544,0.13689243214905694,0.23883852830090233,0.05432821404602114,0.060172006027800096,0.21884024875863786,,
8,158659.89692770148,0.07541302603868345,3.3650176166636756,0.6272012134982838,0.9491327246048893,0.018722139673105497,0.28743617511751574,0.15211743565828642,0.24822942165108303,0.056662804070213964,0.05854523059743271,0.22926101080896175,,
9,164267.16904108174,0.07026623573253404,3.5987208053715594,0.654430338475225,0.9438278393768641,0.013670133729569094,0.2855573211753454,0.1450268116362358,0.24425341806812229,0.05581244955195469,0.060739479949725,0.22494585029323447,,
10,181769.99562887067,0.049163828966020284,3.2607844709544977,0.6280668524416894,0.9451674171446262,0.01991084695393759,0.29191156023728915,0.14968270542133674,0.24401598258199841,0.06873582117742931,0.06492961974096348,0.22853674941354143,,
11,180253.3948476658,0.05493148160655793,3.35050362072765,0.6427586211252813,0.9466169752941911,0.013075780089153046,0.30036392785288246,0.1705097624306515,0.2552757252379434,0.06428475157702779,0.06225631444439863,0.2420498051738258,,
12,194095.0744864079,0.05976129413377148,3.201008778196306,0.639041515904088,0.9442135961216916,0.012184249628528975,0.306293568921859,0.18684951850788972,0.2609421179942278,0.06398486062325218,0.06744021670798013,0.2513617351413255,,
