K,BIC,silhouette,davies_bouldin,activity_eta2,zero_bin_eta2,min_cluster_share,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,direction_balance_eta2,weekend_ratio_eta2,timing_mean_eta2,bootstrap_ari_mean,bootstrap_min_cluster_jaccard_mean,calinski_harabasz,ARI_mean,ARI_sd
2,268032.2683876297,0.2615944531241367,1.354490171046888,0.5102707095129062,0.4965520905811074,0.42555720653789,0.1372312810821976,0.0459341417335808,0.1190637310097166,0.0345426526755064,0.0380243171099475,0.100743051275165,0.3824327114324247,0.6569575692387422,1323.9361810455664,0.38243271143242463,0.19024236222117832
3,160956.62475223685,0.1931703740267001,1.954788784556384,0.5585296773708097,0.8281775917735515,0.2805349182763744,0.2470370870661502,0.1160001959746326,0.2047205374090574,0.047331653833411,0.0511867632713662,0.1892526068166134,0.8617609321066677,0.8729305635115214,1185.3300110309822,0.8617609321066677,0.06576314059829508
4,136320.89348865818,0.149225347011458,2.4910655175607164,0.5741031485382099,0.9181654787640994,0.1658246656760772,0.2585832937786974,0.1083985831303725,0.2151926569478563,0.0496304281299161,0.0562336832706758,0.1940581779523087,0.7879568709269451,0.4271441848342626,1134.1491165627187,0.7879568709269451,0.021830117861044062
5,145283.69018939277,0.1430951127922476,2.50655926198574,0.5782887381308128,0.9278335793432948,0.0698365527488855,0.2670535606469389,0.1219289449642613,0.2208024266431083,0.0491489636923082,0.055995046944597,0.2032616440847695,0.7709289136600106,0.1250965139786008,934.4553245074717,0.7709289136600106,0.08520717438985974
6,146731.1739729392,0.1350288445473918,2.8055151813701467,0.5895662760650681,0.9287976869540736,0.012778603268945,0.2650117208882324,0.1295956921222932,0.2234433564344903,0.0493025086797258,0.0555355130681726,0.2060169231483386,,,733.1483802318232,,
7,153968.8271691738,0.0694460484400121,3.288633095435521,0.6224538867134105,0.9423301775975856,0.0178306092124814,0.2807897858259544,0.1368924321490569,0.2388385283009023,0.0543282140460211,0.0601720060278,0.2188402487586378,,,643.570705144881,,
8,158659.89692770148,0.0754130260386834,3.365017616663676,0.6272012134982838,0.9491327246048892,0.0187221396731054,0.2874361751175157,0.1521174356582864,0.248229421651083,0.0566628040702139,0.0585452305974327,0.2292610108089617,,,570.8165414542237,,
9,164267.16904108174,0.070266235732534,3.59872080537156,0.654430338475225,0.943827839376864,0.013670133729569,0.2855573211753454,0.1450268116362358,0.2442534180681222,0.0558124495519546,0.060739479949725,0.2249458502932344,,,494.4636439186939,,
10,181769.99562887067,0.0491638289660202,3.2607844709544977,0.6280668524416894,0.9451674171446262,0.0199108469539375,0.2919115602372891,0.1496827054213367,0.2440159825819984,0.0687358211774293,0.0649296197409634,0.2285367494135414,,,491.30602983749077,,
11,180253.3948476658,0.0549314816065579,3.35050362072765,0.6427586211252813,0.9466169752941912,0.013075780089153,0.3003639278528824,0.1705097624306515,0.2552757252379434,0.0642847515770277,0.0622563144443986,0.2420498051738258,,,426.40859367636625,,
12,194095.0744864079,0.0597612941337714,3.201008778196306,0.639041515904088,0.9442135961216916,0.0121842496285289,0.306293568921859,0.1868495185078897,0.2609421179942278,0.0639848606232521,0.0674402167079801,0.2513617351413255,,,395.91146617638196,,
