unit,cluster
E01000001,0
E01000005,0
E01000008,3
E01000009,0
E01000011,8
E01000013,6
E01000017,9
E01000019,3
E01000021,3
E01000024,0
E01000027,3
E01000029,10
E01000030,3
E01000031,3
E01000032,4
E01000034,10
E01000035,10
E01000036,3
E01000038,9
E01000040,3
E01000041,3
E01000042,3
E01000043,3
E01000045,3
E01000049,3
E01000050,4
E01000052,8
E01000057,3
E01000058,3
E01000060,0
E01000061,0
E01000062,3
E01000063,4
E01000064,10
E01000065,9
E01000067,4
E01000068,8
E01000070,0
E01000071,3
E01000072,3
E01000073,3
E01000074,3
E01000075,11
E01000077,3
E01000078,3
E01000079,3
E01000080,3
E01000082,0
E01000083,0
E01000084,9
E01000085,3
E01000086,9
E01000087,9
E01000088,9
E01000090,3
E01000091,0
E01000093,4
E01000094,0
E01000095,3
E01000096,3
E01000097,3
E01000098,8
E01000099,4
E01000101,4
E01000104,3
E01000105,3
E01000106,3
E01000110,8
E01000111,3
E01000112,0
E01000113,8
E01000114,0
E01000118,3
E01000120,3
E01000121,3
E01000123,3
E01000124,10
E01000126,4
E01000127,4
E01000128,8
E01000129,0
E01000130,4
E01000131,4
E01000133,10
E01000134,3
E01000135,8
E01000136,4
E01000138,4
E01000139,0
E01000140,0
E01000141,0
E01000143,3
E01000144,2
E01000146,0
E01000150,0
E01000151,0
E01000152,3
E01000154,0
E01000156,0
E01000160,3
E01000161,4
E01000162,4
E01000164,0
E01000170,3
E01000171,10
E01000172,3
E01000173,9
E01000174,10
E01000175,3
E01000176,3
E01000178,2
E01000180,2
E01000181,2
E01000182,0
E01000183,4
E01000184,2
E01000185,8
E01000186,8
E01000188,3
E01000191,5
E01000192,1
E01000193,0
E01000194,0
E01000196,0
E01000197,2
E01000198,3
E01000200,3
E01000201,8
E01000202,8
E01000203,2
E01000205,8
E01000206,10
E01000208,0
E01000210,8
E01000211,0
E01000213,7
E01000214,0
E01000215,4
E01000218,4
E01000219,5
E01000221,0
E01000222,8
E01000223,0
E01000224,3
E01000226,3
E01000227,3
E01000228,3
E01000229,8
E01000231,4
E01000232,8
E01000233,10
E01000234,3
E01000235,10
E01000236,4
E01000237,0
E01000239,0
E01000240,8
E01000242,10
E01000243,10
E01000244,10
E01000246,3
E01000248,2
E01000250,0
E01000251,10
E01000252,7
E01000253,3
E01000255,3
E01000256,8
E01000257,10
E01000258,8
E01000259,3
E01000260,4
E01000261,10
E01000263,4
E01000264,8
E01000265,9
E01000266,3
E01000268,0
E01000269,2
E01000271,8
E01000273,2
E01000274,9
E01000278,3
E01000279,3
E01000281,0
E01000282,3
E01000284,2
E01000285,3
E01000286,3
E01000288,1
E01000289,3
E01000290,3
E01000292,3
E01000296,0
E01000297,3
E01000298,0
E01000299,0
E01000301,3
E01000302,2
E01000305,0
E01000307,2
E01000309,4
E01000313,0
E01000314,0
E01000315,3
E01000316,0
E01000318,8
E01000321,4
E01000323,0
E01000324,8
E01000325,1
E01000326,9
E01000327,8
E01000329,9
E01000330,8
E01000331,4
E01000332,3
E01000333,10
E01000334,3
E01000335,10
E01000336,3
E01000338,11
E01000340,8
E01000343,2
E01000344,11
E01000345,9
E01000347,4
E01000349,8
E01000350,9
E01000352,4
E01000353,3
E01000354,9
E01000356,9
E01000358,3
E01000359,3
E01000360,0
E01000362,0
E01000363,7
E01000367,4
E01000369,8
E01000370,4
E01000374,3
E01000375,5
E01000383,3
E01000384,8
E01000385,3
E01000386,0
E01000389,4
E01000392,4
E01000394,8
E01000398,9
E01000399,4
E01000400,9
E01000402,3
E01000403,0
E01000404,10
E01000405,6
E01000406,10
E01000407,3
E01000408,10
E01000409,9
E01000412,7
E01000413,6
E01000414,0
E01000416,2
E01000417,10
E01000418,2
E01000420,10
E01000421,9
E01000422,4
E01000423,8
E01000426,8
E01000427,8
E01000428,2
E01000429,8
E01000430,4
E01000431,3
E01000433,4
E01000434,4
E01000436,9
E01000439,8
E01000441,2
E01000442,6
E01000443,3
E01000444,9
E01000445,3
E01000447,4
E01000448,8
E01000450,9
E01000451,9
E01000454,11
E01000455,11
E01000457,4
E01000459,8
E01000461,3
E01000462,9
E01000463,9
E01000465,9
E01000466,10
E01000467,0
E01000469,2
E01000470,0
E01000472,0
E01000473,0
E01000475,4
E01000476,3
E01000477,3
E01000478,10
E01000479,4
E01000480,3
E01000481,0
E01000483,0
E01000485,10
E01000487,10
E01000489,5
E01000491,3
E01000493,4
E01000494,0
E01000495,4
E01000497,4
E01000498,9
E01000499,11
E01000501,3
E01000502,3
E01000506,4
E01000507,10
E01000508,0
E01000510,0
E01000511,4
E01000512,9
E01000513,0
E01000515,4
E01000516,0
E01000518,0
E01000519,0
E01000520,3
E01000521,0
E01000523,0
E01000524,0
E01000525,8
E01000526,0
E01000528,4
E01000530,3
E01000531,4
E01000532,4
E01000533,0
E01000535,0
E01000541,10
E01000543,0
E01000544,4
E01000545,0
E01000547,2
E01000548,0
E01000550,0
E01000551,8
E01000552,2
E01000553,4
E01000554,2
E01000555,10
E01000556,0
E01000557,4
E01000563,4
E01000564,10
E01000565,4
E01000568,2
E01000571,10
E01000574,3
E01000575,10
E01000576,3
E01000577,10
E01000578,4
E01000580,2
E01000581,4
E01000583,0
E01000586,0
E01000587,3
E01000589,8
E01000590,3
E01000591,4
E01000592,2
E01000594,0
E01000595,3
E01000596,11
E01000599,4
E01000601,3
E01000602,11
E01000603,11
E01000604,3
E01000605,8
E01000606,3
E01000608,0
E01000609,3
E01000612,0
E01000615,1
E01000616,4
E01000620,0
E01000621,0
E01000622,3
E01000623,4
E01000625,4
E01000626,0
E01000627,4
E01000628,0
E01000633,0
E01000634,0
E01000636,0
E01000638,0
E01000640,0
E01000642,0
E01000643,0
E01000646,3
E01000648,3
E01000649,10
E01000650,3
E01000651,3
E01000653,3
E01000656,3
E01000657,3
E01000659,3
E01000661,4
E01000662,2
E01000663,8
E01000665,9
E01000666,3
E01000667,9
E01000668,0
E01000670,2
E01000671,4
E01000672,8
E01000673,3
E01000674,8
E01000676,0
E01000677,9
E01000678,8
E01000679,3
E01000682,9
E01000683,9
E01000684,7
E01000685,3
E01000686,9
E01000687,3
E01000690,3
E01000691,8
E01000692,8
E01000693,10
E01000694,3
E01000696,2
E01000697,10
E01000698,3
E01000699,6
E01000700,3
E01000702,2
E01000703,2
E01000704,3
E01000705,9
E01000706,10
E01000707,11
E01000708,9
E01000710,3
E01000712,9
E01000714,0
E01000715,3
E01000716,3
E01000717,3
E01000718,9
E01000719,9
E01000722,0
E01000727,4
E01000728,8
E01000730,2
E01000732,3
E01000735,11
E01000736,3
E01000737,3
E01000738,9
E01000741,0
E01000742,3
E01000743,0
E01000744,6
E01000745,4
E01000747,3
E01000751,6
E01000752,9
E01000753,3
E01000754,2
E01000755,1
E01000756,6
E01000757,8
E01000760,8
E01000761,3
E01000762,1
E01000763,8
E01000765,4
E01000766,3
E01000767,2
E01000769,3
E01000770,8
E01000771,9
E01000772,8
E01000773,3
E01000774,9
E01000775,6
E01000777,9
E01000778,10
E01000779,10
E01000780,9
E01000781,4
E01000782,8
E01000784,3
E01000785,3
E01000787,3
E01000788,2
E01000789,3
E01000790,0
E01000791,3
E01000794,9
E01000795,3
E01000797,8
E01000798,4
E01000799,0
E01000801,4
E01000802,9
E01000805,10
E01000806,4
E01000807,2
E01000809,9
E01000813,8
E01000819,9
E01000820,3
E01000824,4
E01000827,8
E01000828,10
E01000832,3
E01000834,3
E01000835,4
E01000838,8
E01000841,8
E01000843,3
E01000846,8
E01000847,8
E01000848,7
E01000849,0
E01000850,0
E01000855,0
E01000856,0
E01000858,0
E01000861,0
E01000862,3
E01000863,0
E01000867,0
E01000868,8
E01000869,0
E01000871,4
E01000872,0
E01000873,3
E01000874,8
E01000875,4
E01000876,0
E01000877,2
E01000879,3
E01000880,8
E01000881,4
E01000883,0
E01000884,2
E01000886,3
E01000887,8
E01000888,2
E01000890,4
E01000895,2
E01000896,2
E01000898,4
E01000899,2
E01000900,4
E01000902,3
E01000904,0
E01000905,2
E01000906,0
E01000908,3
E01000909,2
E01000912,4
E01000913,8
E01000914,0
E01000916,2
E01000917,2
E01000918,0
E01000919,0
E01000920,6
E01000921,2
E01000922,0
E01000924,4
E01000926,0
E01000927,0
E01000928,0
E01000929,4
E01000930,0
E01000931,0
E01000932,4
E01000933,0
E01000934,4
E01000935,4
E01000938,2
E01000939,0
E01000942,0
E01000946,0
E01000947,0
E01000948,2
E01000954,4
E01000956,0
E01000958,1
E01000959,4
E01000960,4
E01000963,0
E01000969,0
E01000972,0
E01000973,0
E01000974,0
E01000975,6
E01000976,11
E01000977,10
E01000978,8
E01000979,3
E01000980,3
E01000981,9
E01000982,1
E01000983,11
E01000984,9
E01000985,3
E01000992,11
E01000993,3
E01000994,3
E01000995,4
E01000997,4
E01000998,3
E01001000,4
E01001003,3
E01001004,3
E01001006,4
E01001008,8
E01001010,8
E01001011,0
E01001013,0
E01001015,8
E01001016,3
E01001018,8
E01001019,9
E01001020,8
E01001021,1
E01001023,0
E01001026,3
E01001027,7
E01001029,8
E01001032,3
E01001033,4
E01001034,3
E01001035,4
E01001036,8
E01001037,4
E01001038,8
E01001040,4
E01001041,0
E01001042,0
E01001044,8
E01001047,3
E01001049,4
E01001050,4
E01001051,8
E01001052,4
E01001053,4
E01001054,4
E01001055,4
E01001058,3
E01001059,3
E01001060,3
E01001061,4
E01001062,4
E01001063,4
E01001064,4
E01001065,2
E01001066,8
E01001068,3
E01001070,9
E01001071,3
E01001074,4
E01001075,3
E01001076,8
E01001078,2
E01001079,8
E01001080,4
E01001081,8
E01001083,8
E01001084,0
E01001085,0
E01001087,0
E01001089,2
E01001091,4
E01001092,3
E01001093,4
E01001094,3
E01001095,4
E01001097,0
E01001099,3
E01001102,3
E01001103,3
E01001104,3
E01001105,3
E01001106,3
E01001107,3
E01001108,3
E01001109,9
E01001110,0
E01001111,0
E01001112,9
E01001114,0
E01001115,3
E01001116,4
E01001118,4
E01001119,3
E01001120,8
E01001122,8
E01001125,4
E01001127,3
E01001129,3
E01001130,3
E01001132,3
E01001133,2
E01001134,1
E01001135,4
E01001136,9
E01001137,2
E01001138,3
E01001139,0
E01001140,1
E01001142,10
E01001143,9
E01001144,3
E01001145,9
E01001147,8
E01001148,3
E01001149,8
E01001150,4
E01001151,0
E01001152,0
E01001154,4
E01001155,0
E01001156,0
E01001157,0
E01001158,8
E01001159,4
E01001162,3
E01001163,8
E01001164,0
E01001165,10
E01001166,4
E01001167,4
E01001168,9
E01001169,8
E01001170,0
E01001171,8
E01001172,4
E01001173,3
E01001175,8
E01001176,3
E01001177,4
E01001178,0
E01001180,4
E01001181,0
E01001182,0
E01001183,0
E01001185,11
E01001186,9
E01001187,3
E01001192,10
E01001193,3
E01001195,3
E01001197,7
E01001199,4
E01001202,2
E01001204,8
E01001205,1
E01001206,3
E01001207,10
E01001208,0
E01001209,2
E01001210,4
E01001211,8
E01001212,2
E01001214,4
E01001215,0
E01001216,4
E01001218,3
E01001219,3
E01001220,3
E01001225,0
E01001226,8
E01001228,2
E01001229,2
E01001230,8
E01001233,4
E01001235,0
E01001239,4
E01001240,8
E01001241,2
E01001243,0
E01001244,0
E01001245,0
E01001246,4
E01001247,0
E01001248,6
E01001249,0
E01001250,0
E01001251,4
E01001252,0
E01001253,10
E01001254,11
E01001257,8
E01001258,0
E01001259,0
E01001260,8
E01001261,0
E01001263,3
E01001264,3
E01001266,1
E01001267,4
E01001268,3
E01001269,9
E01001271,10
E01001272,2
E01001275,2
E01001276,11
E01001277,2
E01001278,0
E01001280,8
E01001281,2
E01001282,3
E01001283,0
E01001285,6
E01001286,6
E01001289,6
E01001290,10
E01001291,8
E01001293,4
E01001294,11
E01001295,4
E01001296,4
E01001297,11
E01001298,0
E01001299,3
E01001301,0
E01001302,2
E01001303,2
E01001308,1
E01001312,10
E01001313,3
E01001315,4
E01001316,4
E01001317,3
E01001318,2
E01001321,4
E01001322,0
E01001323,0
E01001324,2
E01001325,9
E01001326,4
E01001327,4
E01001328,0
E01001329,9
E01001330,0
E01001331,4
E01001333,0
E01001334,3
E01001336,11
E01001337,0
E01001338,0
E01001339,3
E01001341,4
E01001342,8
E01001343,8
E01001344,4
E01001347,3
E01001348,2
E01001349,4
E01001351,0
E01001352,0
E01001353,0
E01001354,4
E01001355,0
E01001357,3
E01001358,10
E01001359,0
E01001361,0
E01001362,0
E01001363,0
E01001367,0
E01001369,11
E01001370,0
E01001375,8
E01001376,4
E01001377,8
E01001384,8
E01001385,2
E01001386,8
E01001387,2
E01001388,0
E01001390,8
E01001393,4
E01001394,0
E01001395,3
E01001396,0
E01001397,3
E01001398,3
E01001399,3
E01001400,4
E01001402,4
E01001403,3
E01001404,3
E01001406,9
E01001408,3
E01001409,3
E01001411,3
E01001412,9
E01001414,3
E01001415,2
E01001418,8
E01001419,2
E01001423,3
E01001425,4
E01001426,9
E01001427,9
E01001429,0
E01001430,0
E01001433,3
E01001436,3
E01001437,7
E01001438,3
E01001439,0
E01001440,8
E01001441,4
E01001442,1
E01001444,0
E01001445,1
E01001446,4
E01001447,1
E01001449,1
E01001450,0
E01001451,2
E01001453,3
E01001454,3
E01001455,4
E01001458,0
E01001461,10
E01001465,0
E01001468,3
E01001469,3
E01001470,10
E01001471,3
E01001474,6
E01001476,4
E01001478,3
E01001479,0
E01001480,9
E01001481,3
E01001483,3
E01001485,4
E01001486,9
E01001488,9
E01001489,3
E01001491,0
E01001492,3
E01001493,8
E01001498,0
E01001499,4
E01001500,8
E01001501,0
E01001502,0
E01001504,3
E01001505,2
E01001507,0
E01001509,3
E01001511,6
E01001512,6
E01001513,6
E01001515,9
E01001516,10
