NLC,Station,Fare Zone,easting,northing,lon,lat
500,Acton Town,3,519477.6064,179592.1471,-0.28002176408560275,51.50264555083834
501,Barbican,1,532004.2025,181856.329700001,-0.09879996291215272,51.520208600153815
502,Aldgate,1,533613.1509,181262.295499999,-0.07584896688802757,51.51449244157986
503,Aldgate East,1,533936.1921,181374.788000001,-0.07115364166807008,51.51542691621208
505,Alperton,4,517996.164,183795.164000001,-0.299949349972513,51.540730963558445
506,Amersham,9,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566
507,Angel,1,531560.5615,183099.9257,-0.10472643840232035,51.53148758749647
508,Archway,2/3,529363.5176,186721.2423,-0.13505202452388373,51.56453819250787
509,Arnos Grove,4,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506
510,Arsenal,2,531305.0253,186112.096899999,-0.10728530327692844,51.55861585603557
511,Baker Street,1,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108
512,Balham LU,3,528480.3274,173244.480799999,-0.15269122947563088,51.44362737290878
513,Bank and Monument,1,532710.1551,181119.8978,-0.08890808727118107,51.513425435909184
514,Barking,4,544358.8052,184382.179,0.08018208014455507,51.539885097485445
515,Barkingside,4,544798.7557,189493.9487,0.08862520423436726,51.58570377518845
516,Barons Court,2,524045.7583,178327.6646,-0.21468405012348488,51.49029837209941
517,Bayswater,1,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448
518,Becontree,5,547627.5438,184527.341,0.1273417848283317,51.54034470776378
519,Belsize Park,2,527353.7983,185088.897399999,-0.16462098681641185,51.55032570077621
520,Bethnal Green LU,2,535043.5417,182718.410700001,-0.05469030192583057,51.527237667207054
521,Blackfriars LU,1,531693.8776,180893.0855,-0.10362963813725404,51.51162476747557
522,Blackhorse Road,3,535760.6278,189370.2981,-0.041793873795219,51.586840594392974
524,Bond Street,1,528490.674,181117.635,-0.1496811425789451,51.51437958002913
525,Borough,1,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754
526,Boston Manor,4,516333.5188,178693.009,-0.3255952087308763,51.495219674970095
527,Bounds Green,3/4,529984.4864,191469.272600001,-0.12434197787111509,51.60706378685743
528,Bow Road,2,537089.8973,182735.951300001,-0.02520321216907312,51.526902665586434
529,Brent Cross,3,523873.7006,187934.037,-0.21378475842151334,51.576668983672164
530,Bromley-by-Bow,2/3,538049.5634,182523.513599999,-0.0114614594625467,51.524760125717506
531,Buckhurst Hill,5,541777.5666,193891.179,0.04682407515656278,51.625982897027
532,Burnt Oak,4,520325.5892,190759.991599999,-0.26399369483295404,51.602834176714175
534,Caledonian Road,2,530558.3633,184969.7784,-0.11847347641237985,51.54852353192346
535,Camden Town,2,528910.2525,183893.5725,-0.14262297026124665,51.53923059833878
536,Cannon Street LU,1,532611.4757,180900.064999999,-0.09041192056785469,51.511473069259
537,Canons Park,5,518186.8967,191252.07,-0.29469410620588665,51.60770907048488
539,Chalfont & Latimer,8,499633.5338,197564.355,-0.5607234520464773,51.668031426229064
540,Chalk Farm,2,528202.4569,184390.607000001,-0.15264214766916676,51.54385835909765
541,Chancery Lane,1,531123.9465,181615.465500001,-0.11156930260294359,51.51824890350831
542,Embankment,1,530419.3254,180395.871400001,-0.12216953430795731,51.50745185655674
543,Chesham,9,496079.3711,201633.0847,-0.6109804023947352,51.70522161796168
544,Chigwell,4,543795.2009,193021.039000001,0.0755949749891976,51.61765286220907
545,Chiswick Park,3,520293.2801,178723.680199999,-0.26857152550054486,51.49466748590177
546,Chorleywood,7,502580.7743,196094.9067,-0.5185530310182181,51.65429398451199
547,Clapham Common,2,529504.8104,175338.249199999,-0.13719253566731915,51.46221051259463
548,Clapham North,2,530038.9661,175743.4515,-0.12935895070321768,51.46572960060881
