metric,group_i,group_j,z,p_value,p_fdr_bh
log_total_activity,1,2,4.283909786842811,1.836373960581723e-05,2.1424362873453437e-05
log_total_activity,1,3,6.8848720128559195,5.7839512809410395e-12,8.097531793317455e-12
log_total_activity,1,4,7.473008300190929,7.838190147808646e-14,1.371683275866513e-13
log_total_activity,1,5,13.158130964058532,1.528195262859121e-39,4.5845857885773633e-39
log_total_activity,1,6,14.44590385472561,2.660441767239908e-47,1.8623092370679355e-46
log_total_activity,1,7,17.968350181809072,3.4481768780058176e-72,7.241171443812217e-71
log_total_activity,2,3,3.7852222241770743,0.0001535712854567513,0.00016973668392588302
log_total_activity,2,4,4.52516583278235,6.034816638048565e-06,7.454773494059992e-06
log_total_activity,2,5,12.71257331977388,5.034984868327046e-37,1.3216835279358496e-36
log_total_activity,2,6,13.969490737716502,2.393318699825894e-44,1.2564923174085942e-43
log_total_activity,2,7,17.871755252256914,1.9573745609984373e-71,2.0552432890483593e-70
log_total_activity,3,4,0.4917980930622928,0.6228620847408639,0.6228620847408639
log_total_activity,3,5,7.359412065184559,1.8472199321447395e-13,2.9839706596184254e-13
log_total_activity,3,6,9.320729738476492,1.1554285654988953e-20,2.6959999861640892e-20
log_total_activity,3,7,13.876108975077637,8.841497167311376e-44,3.094524008558982e-43
log_total_activity,4,5,7.228232297950332,4.893212287411062e-13,7.339818431116592e-13
log_total_activity,4,6,9.24748091213411,2.298456048169505e-20,4.3879615465054187e-20
log_total_activity,4,7,13.903588968105431,6.024321423575331e-44,2.530214997901639e-43
log_total_activity,5,6,3.287789654180603,0.0010097725443686744,0.001060261171587108
log_total_activity,5,7,9.265466766025162,1.9422593039866325e-20,4.0787445383719285e-20
log_total_activity,6,7,6.037642475774117,1.563820695036485e-09,2.0525146622353866e-09
post_midnight_share,1,2,4.474127772944538,7.672385457226362e-06,1.0070005912609602e-05
post_midnight_share,1,3,4.876575059977804,1.0794362500826727e-06,1.7437047116720096e-06
post_midnight_share,1,4,4.548209236061834,5.410432964819883e-06,7.907260381819114e-06
post_midnight_share,1,5,8.109646569244687,5.076720921521825e-16,1.5230162764565476e-15
post_midnight_share,1,6,10.053475877207775,8.868303304839362e-24,3.724687388032532e-23
post_midnight_share,1,7,13.356416077302294,1.0867169405161482e-40,2.282105575083911e-39
post_midnight_share,2,3,0.8475718616539639,0.3966764505139664,0.43843186635754183
post_midnight_share,2,4,0.25032154873511997,0.8023386933451823,0.8023386933451823
post_midnight_share,2,5,5.071678842543694,3.943214461869991e-07,6.900625308272485e-07
post_midnight_share,2,6,7.799387878557116,6.220818249812477e-15,1.6329647905757752e-14
post_midnight_share,2,7,11.915687311236367,9.805424113450811e-33,1.0295695319123353e-31
post_midnight_share,3,4,-0.5865281849780809,0.55752062678575,0.5853966581250375
post_midnight_share,3,5,3.6367944359945357,0.0002760520594478313,0.00032206073602246985
post_midnight_share,3,6,6.380473101612343,1.7654173427247758e-10,3.7073764197220293e-10
post_midnight_share,3,7,10.568888162325667,4.1538996424427926e-26,2.180797312282466e-25
post_midnight_share,4,5,4.539153794102304,5.648043129870795e-06,7.907260381819114e-06
post_midnight_share,4,6,7.263195917105043,3.780497428632614e-13,8.821160666809432e-13
post_midnight_share,4,7,11.400234222944292,4.169956844640999e-30,2.918969791248699e-29
post_midnight_share,5,6,3.669535957837847,0.00024299115824594358,0.0003001655484214597
post_midnight_share,5,7,8.668964410587625,4.36068225625597e-18,1.5262387896895895e-17
post_midnight_share,6,7,5.210544968072437,1.8828673538422234e-07,3.594564948244245e-07
direction_balance,1,2,5.195784769221888,2.038580098808373e-07,4.756686897219537e-07
direction_balance,1,3,6.432454910738864,1.2555928489542452e-10,3.7667785468627355e-10
direction_balance,1,4,7.637952220438022,2.2070372695181502e-14,9.26955653197623e-14
direction_balance,1,5,10.90576013502697,1.081852548784269e-27,2.271890352446965e-26
direction_balance,1,6,9.943963339404773,2.6794925264773705e-23,2.813467152801239e-22
direction_balance,1,7,9.104952924054158,8.630385696977964e-20,6.041269987884575e-19
direction_balance,2,3,2.0168051051668425,0.04371585598676009,0.0540019397483507
