unit,station,mode,direction_balance,night_activity,seed_support
524,Bond Street,"EZL,LU",0.5007499363919709,153076.6295053877,1.0
590,Green Park,LU,0.4898955829806307,115055.53815306824,1.0
607,Holborn,LU,0.4462270520811353,78112.43957790108,1.0
669,Oxford Circus,LU,0.4260420057586002,218750.25297820845,1.0
631,Leicester Square,LU,0.4209739489719897,177735.30840152336,1.0
728,Tottenham Court Road,"EZL,LU",0.4093724657995882,305209.50901581504,1.0
674,Piccadilly Circus,LU,0.3959793998751283,172934.9793351932,1.0
553,Covent Garden,LU,0.3573507027321151,61910.546917216605,1.0
542,Embankment,LU,0.3536150790769299,83089.29412287241,1.0
718,Charing Cross LU,LU,0.3031194933192794,73131.50772776245,1.0
1024,Shoreditch High Street,LO,0.2986527449245421,34606.03848189571,1.0
507,Angel,LU,0.1010869824159205,57649.7526291,1.0
