K,BIC_canonical,silhouette_canonical,BIC_allmodes,silhouette_allmodes
2,-966684.4062989502,0.3158722642798143,-1480613.7022034542,0.3160429759545448
3,-971849.7200803736,0.159712059931492,-1490429.361314579,0.1490570304341126
4,-972699.3231431356,0.1828284096449487,-1496338.9599385909,0.1295418091818677
5,-974893.2925598536,0.1417129545489346,-1499102.3735544372,0.1163172239020029
6,-975013.527502057,0.1414978755924123,-1501451.3942591287,0.0874162124392679
7,-974472.05069677,0.112112884166763,-1499670.260657885,0.1130955997524978
8,-972937.5214551564,0.1039894396933255,-1501283.8427563764,0.0915638502713549
9,-971510.3788800118,0.109581291113098,-1499155.4646814263,0.0951116172603373
10,-969691.4609762804,0.1191948462919608,-1498731.7011298656,0.060340128557703
11,-967004.9593903628,0.1090931879644761,-1496826.6363085883,0.0671928480836702
12,-964990.4992325804,0.121314769025452,-1495004.7010671045,0.0834429728635221
